store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
104,"Strathroy, ON","Échelle de piscine en A en acier Bestway Flowclear avec rampe, 42 po","Échelle de piscine en A en acier Bestway Flowclear avec rampe, 42 po",19.88,"19,88 $",99.99,"Était±  99,99 $prix était 99,99 $",19.88,"19,88 $",19.88,"19,88 $",true,https://www.canadiantire.ca/fr/pdp/echelle-de-piscine-en-a-en-acier-bestway-flowclear-avec-rampe-42-po-0813926p.html,https://www.canadiantire.ca/fr/pdp/echelle-de-piscine-en-a-en-acier-bestway-flowclear-avec-rampe-42-po-0813926p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-fun/pool-maintenance/0813926/42-pool-ladder-1e5af39a-d711-4efc-88d9-7f79508fac9d-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-fun/pool-maintenance/0813926/42-pool-ladder-1e5af39a-d711-4efc-88d9-7f79508fac9d-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0813926,081-3926-6,16 En Stock#081-3926-6,Liquidation◊,80.12,"19,88","99,99"
104,"Strathroy, ON","Bibliothèque à 2 niveaux et 3 tiroirs pour rangement et présentation CANVAS Copenhagen, blanc","Bibliothèque à 2 niveaux et 3 tiroirs pour rangement et présentation CANVAS Copenhagen, blanc",124.93,"124,93 $",249.99,"Était±  249,99 $prix était 249,99 $",124.93,"124,93 $",124.93,"124,93 $",true,https://www.canadiantire.ca/fr/pdp/bibliotheque-a-2-niveaux-et-3-tiroirs-pour-rangement-et-presentation-canvas-copenhagen-blanc-1680002p.html,https://www.canadiantire.ca/fr/pdp/bibliotheque-a-2-niveaux-et-3-tiroirs-pour-rangement-et-presentation-canvas-copenhagen-blanc-1680002p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680002/canvas-copenhagen-2-shelf-bookcase-with-3-drawers-white-c62a249f-ff8f-4a89-a69c-e1cb36cb860e-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680002/canvas-copenhagen-2-shelf-bookcase-with-3-drawers-white-c62a249f-ff8f-4a89-a69c-e1cb36cb860e-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1680002,168-0002-8,Il n’en reste que 2 #168-0002-8,Liquidation◊Exclusivité,50.03,"124,93","249,99"
104,"Strathroy, ON","Bibliothèque à cadre en métal à 5 niveaux avec rangement CANVAS Robson, fini chêne","Bibliothèque à cadre en métal à 5 niveaux avec rangement CANVAS Robson, fini chêne",139.93,"139,93 $",349.99,"Était±  349,99 $prix était 349,99 $",139.93,"139,93 $",139.93,"139,93 $",true,https://www.canadiantire.ca/fr/pdp/bibliotheque-a-cadre-en-metal-a-5-niveaux-avec-rangement-canvas-robson-fini-chene-1680047p.html,https://www.canadiantire.ca/fr/pdp/bibliotheque-a-cadre-en-metal-a-5-niveaux-avec-rangement-canvas-robson-fini-chene-1680047p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680047/canvas-robson-wide-bookcase-cc404526-7e49-447a-b2ad-88a6bd2c5a81-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680047/canvas-robson-wide-bookcase-cc404526-7e49-447a-b2ad-88a6bd2c5a81-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1680047,168-0047-2,Il n’en reste que 3 #168-0047-2,Liquidation◊Mieux notés,60.02,"139,93","349,99"
104,"Strathroy, ON","Lampe à faisceau large à DEL Mastercraft, 1500 lumens, compatible PWR POD","Lampe à faisceau large à DEL Mastercraft, 1500 lumens, compatible PWR POD",31.93,"31,93 $",119.99,"Était±  119,99 $prix était 119,99 $",31.93,"31,93 $",31.93,"31,93 $",true,https://www.canadiantire.ca/fr/pdp/lampe-a-faisceau-large-a-del-mastercraft-1500-lumens-compatible-pwr-pod-0372969p.html,https://www.canadiantire.ca/fr/pdp/lampe-a-faisceau-large-a-del-mastercraft-1500-lumens-compatible-pwr-pod-0372969p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-accessories/0372969/mastercraft-1500-lumens-spotlight-pwr-pod-compatible-363c7083-04a4-4a37-b863-da8214fd1958-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-accessories/0372969/mastercraft-1500-lumens-spotlight-pwr-pod-compatible-363c7083-04a4-4a37-b863-da8214fd1958-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0372969,037-2969-8,Il n’en reste que 1 #037-2969-8,Liquidation◊Mieux notés,73.39,"31,93","119,99"
104,"Strathroy, ON","Vélo de montagne semi-rigide Raleigh Rogue, pneus surdimensionnés, roue de 26 po, rouge","Vélo de montagne semi-rigide Raleigh Rogue, pneus surdimensionnés, roue de 26 po, rouge",399.93,"399,93 $",849.99,"Était±  849,99 $prix était 849,99 $",399.93,"399,93 $",399.93,"399,93 $",true,https://www.canadiantire.ca/fr/pdp/velo-de-montagne-semi-rigide-raleigh-rogue-pneus-surdimensionnes-roue-de-26-po-rouge-0711974p.html,https://www.canadiantire.ca/fr/pdp/velo-de-montagne-semi-rigide-raleigh-rogue-pneus-surdimensionnes-roue-de-26-po-rouge-0711974p.html,https://media-www.canadiantire.ca/product/playing/cycling/bicycles/0711974/raleigh-rogue-4-0-fat-tire-hardtail-mountain-bike-26-in-9d6902e1-33ed-4939-aa46-03c0ee34c9bd-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/cycling/bicycles/0711974/raleigh-rogue-4-0-fat-tire-hardtail-mountain-bike-26-in-9d6902e1-33ed-4939-aa46-03c0ee34c9bd-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0711974,071-1974-6,Il n’en reste que 1 #071-1974-6,Liquidation◊Exclusivité,52.95,"399,93","849,99"
104,"Strathroy, ON","Sac banane/Sac de taille pour hanche/épaule Outbound avec sangle ajustable, choix varié, 2 l","Sac banane/Sac de taille pour hanche/épaule Outbound avec sangle ajustable, choix varié, 2 l",4.93,"4,93 $",9.99,"Était±  9,99 $prix était 9,99 $",4.93,"4,93 $",4.93,"4,93 $",true,https://www.canadiantire.ca/fr/pdp/sac-banane-sac-de-taille-pour-hanche-epaule-outbound-avec-sangle-ajustable-choix-varie-2-l-0766195p.html,https://www.canadiantire.ca/fr/pdp/sac-banane-sac-de-taille-pour-hanche-epaule-outbound-avec-sangle-ajustable-choix-varie-2-l-0766195p.html,https://media-www.canadiantire.ca/product/playing/camping/backpacks-luggage-accessories/0766195/outbound-hip-pack-27a2088e-6a32-45e0-ab5f-bf6f9f92e327-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/camping/backpacks-luggage-accessories/0766195/outbound-hip-pack-27a2088e-6a32-45e0-ab5f-bf6f9f92e327-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0766195,076-6195-0,Il n’en reste que 1 #076-6195-0,Liquidation◊Mieux notés,50.65,"4,93","9,99"
104,"Strathroy, ON","Support à pneus à tablette réglable MotoMaster, capacité de 300 lb","Support à pneus à tablette réglable MotoMaster, capacité de 300 lb",33.93,"33,93 $",74.99,"Était±  74,99 $prix était 74,99 $",33.93,"33,93 $",33.93,"33,93 $",true,https://www.canadiantire.ca/fr/pdp/support-a-pneus-a-tablette-reglable-motomaster-capacite-de-300-lb-0091537p.html,https://www.canadiantire.ca/fr/pdp/support-a-pneus-a-tablette-reglable-motomaster-capacite-de-300-lb-0091537p.html,https://media-www.canadiantire.ca/product/automotive/auto-maintenance/auto-shop-equipment-supplies/0091537/motomaster-adjustable-tire-storage-shelves-797f8bda-21ae-4374-ab65-dfc1341fe0c4-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/auto-maintenance/auto-shop-equipment-supplies/0091537/motomaster-adjustable-tire-storage-shelves-797f8bda-21ae-4374-ab65-dfc1341fe0c4-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0091537,009-1537-0,Il n’en reste que 2 #009-1537-0,Liquidation◊Exclusivité,54.75,"33,93","74,99"
104,"Strathroy, ON","Table à dîner haute d'extérieur/de jardin CANVAS Mercier avec dessus en verre trempé, noir","Table à dîner haute d'extérieur/de jardin CANVAS Mercier avec dessus en verre trempé, noir",99.93,"99,93 $",249.99,"Était±  249,99 $prix était 249,99 $",99.93,"99,93 $",99.93,"99,93 $",true,https://www.canadiantire.ca/fr/pdp/table-a-diner-haute-d-exterieur-de-jardin-canvas-mercier-avec-dessus-en-verre-trempe-noir-1880294p.html,https://www.canadiantire.ca/fr/pdp/table-a-diner-haute-d-exterieur-de-jardin-canvas-mercier-avec-dessus-en-verre-trempe-noir-1880294p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/1880294/canvas-mercier-high-dining-table-a1e4ede4-bd3b-4e48-b361-73188e8df24d-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/1880294/canvas-mercier-high-dining-table-a1e4ede4-bd3b-4e48-b361-73188e8df24d-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1880294,188-0294-4,Il n’en reste que 1 #188-0294-4,Liquidation◊Exclusivité,60.03,"99,93","249,99"
104,"Strathroy, ON","Bols pour chiens Woods pliants étanches PAW-THORN, camping et voyage, paq. 2, 2 L chacun","Bols pour chiens Woods pliants étanches PAW-THORN, camping et voyage, paq. 2, 2 L chacun",8.93,"8,93 $",19.99,"Était±  19,99 $prix était 19,99 $",8.93,"8,93 $",8.93,"8,93 $",true,https://www.canadiantire.ca/fr/pdp/bols-pour-chiens-woods-pliants-etanches-paw-thorn-camping-et-voyage-paq-2-2-l-chacun-0766426p.html,https://www.canadiantire.ca/fr/pdp/bols-pour-chiens-woods-pliants-etanches-paw-thorn-camping-et-voyage-paq-2-2-l-chacun-0766426p.html,https://media-www.canadiantire.ca/product/playing/camping/camping-accessories/0766426/woods-pawthorn-pet-bowls-10c337e6-6f18-495f-a5d6-0f0ef4d7ab3b-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/camping/camping-accessories/0766426/woods-pawthorn-pet-bowls-10c337e6-6f18-495f-a5d6-0f0ef4d7ab3b-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0766426,076-6426-2,Il n’en reste que 2 #076-6426-2,Liquidation◊Mieux notés,55.33,"8,93","19,99"
104,"Strathroy, ON","Tabouret de bar métal et bois CANVAS Union, paq. 2, brun","Tabouret de bar métal et bois CANVAS Union, paq. 2, brun",69.93,"69,93 $",229.99,"Était±  229,99 $prix était 229,99 $",69.93,"69,93 $",69.93,"69,93 $",true,https://www.canadiantire.ca/fr/pdp/tabouret-de-bar-metal-et-bois-canvas-union-paq-2-brun-0687563p.html,https://www.canadiantire.ca/fr/pdp/tabouret-de-bar-metal-et-bois-canvas-union-paq-2-brun-0687563p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/0687563/canvas-union-stool-2-pk-29ecf7e3-3af9-4631-ab03-ba8946104db3-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/0687563/canvas-union-stool-2-pk-29ecf7e3-3af9-4631-ab03-ba8946104db3-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0687563,068-7563-8,Il n’en reste que 2 #068-7563-8,Liquidation◊Mieux notés,69.59,"69,93","229,99"
