store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
108,"Collingwood, ON","Minimoules aux biscuits au sucre Reese's, 200 g","Minimoules aux biscuits au sucre Reese's, 200 g",2,"2,00 $",6.99,"Était±  6,99 $prix était 6,99 $",2,"2,00 $",2,"2,00 $",true,https://www.canadiantire.ca/fr/pdp/minimoules-aux-biscuits-au-sucre-reese-s-200-g-1519638p.html,https://www.canadiantire.ca/fr/pdp/minimoules-aux-biscuits-au-sucre-reese-s-200-g-1519638p.html,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1519638/reese-s-miniature-sugar-cookies-200g-0a44f142-5403-4cbd-bb23-660dd1899c34-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1519638/reese-s-miniature-sugar-cookies-200g-0a44f142-5403-4cbd-bb23-660dd1899c34-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1519638,151-9638-0,Il n’en reste que 1 #151-9638-0,Liquidation◊Mieux notés,71.39,"2,00","6,99"
108,"Collingwood, ON","Tapis d’auto toute saison MotoMaster, paq. 4","Tapis d’auto toute saison MotoMaster, paq. 4",9.93,"9,93 $",39.99,"39,99 $Était   et+ prix était à partir de 39,99 $",9.93,"9,93 $",9.93,"9,93 $",true,https://www.canadiantire.ca/fr/pdp/tapis-d-auto-toute-saison-motomaster-paq-4-0312551p.html,https://www.canadiantire.ca/fr/pdp/tapis-d-auto-toute-saison-motomaster-paq-4-0312551p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-comfort/0312551/motomaster-all-season-floor-mat-set-4pc-black-0c79241c-5a26-437d-a9ee-e2ef6dccdd11-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-comfort/0312551/motomaster-all-season-floor-mat-set-4pc-black-0c79241c-5a26-437d-a9ee-e2ef6dccdd11-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0312551,031-2551,,Liquidation◊Mieux notés,75.17,"9,93","39,99"
108,"Collingwood, ON","Tabouret de bar réglable FOR LIVING avec dossier incurvé, noir","Tabouret de bar réglable FOR LIVING avec dossier incurvé, noir",99.93,"99,93 $",199.99,"Était±  199,99 $prix était 199,99 $",99.93,"99,93 $",99.93,"99,93 $",true,https://www.canadiantire.ca/fr/pdp/tabouret-de-bar-reglable-for-living-avec-dossier-incurve-noir-1680124p.html,https://www.canadiantire.ca/fr/pdp/tabouret-de-bar-reglable-for-living-avec-dossier-incurve-noir-1680124p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680124/for-living-adjustable-bar-stool-a5255c71-f960-41f9-a8f1-6cdbaf086b0c-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680124/for-living-adjustable-bar-stool-a5255c71-f960-41f9-a8f1-6cdbaf086b0c-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1680124,168-0124-8,Il n’en reste que 5 #168-0124-8,Liquidation◊Exclusivité,50.03,"99,93","199,99"
108,"Collingwood, ON","Boîte de maïs soufflé FRANK est d'humeur festive avec maïs au caramel, maïs soufflé de style cinéma et maïs soufflé sucré-salé, 270 g","Boîte de maïs soufflé FRANK est d'humeur festive avec maïs au caramel, maïs soufflé de style cinéma et maïs soufflé sucré-salé, 270 g",4,"4,00 $",19.99,"Était±  19,99 $prix était 19,99 $",4,"4,00 $",4,"4,00 $",true,https://www.canadiantire.ca/fr/pdp/boite-de-mais-souffle-frank-est-d-humeur-festive-avec-mais-au-caramel-mais-souffle-de-style-cinema-et-mais-souffle-sucre-sale-270-g-1514174p.html,https://www.canadiantire.ca/fr/pdp/boite-de-mais-souffle-frank-est-d-humeur-festive-avec-mais-au-caramel-mais-souffle-de-style-cinema-et-mais-souffle-sucre-sale-270-g-1514174p.html,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1514174/frank-christmas-popcorn-tin-270-gram-98dac7eb-3c20-4ac6-8595-c870470139b5-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1514174/frank-christmas-popcorn-tin-270-gram-98dac7eb-3c20-4ac6-8595-c870470139b5-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1514174,151-4174-2,Il n’en reste que 1 #151-4174-2,Liquidation◊Exclusivité,79.99,"4,00","19,99"
108,"Collingwood, ON","Tubes salés prémontés Matzuo, paq. 3","Tubes salés prémontés Matzuo, paq. 3",2.93,"2,93 $",5.99,"5,99 $Était   et+ prix était à partir de 5,99 $",2.93,"2,93 $",2.93,"2,93 $",true,https://www.canadiantire.ca/fr/pdp/tubes-sales-premontes-matzuo-paq-3-0787946p.html,https://www.canadiantire.ca/fr/pdp/tubes-sales-premontes-matzuo-paq-3-0787946p.html,https://media-www.canadiantire.ca/product/playing/fishing/fishing-lures/0787946/matzuo-tubes-3-pack-pumpkin-chartreuse-d9d8aa79-f300-4740-8d58-7a4eb492cc48-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/fishing/fishing-lures/0787946/matzuo-tubes-3-pack-pumpkin-chartreuse-d9d8aa79-f300-4740-8d58-7a4eb492cc48-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0787946,078-7946,,Liquidation◊Exclusivité,51.09,"2,93","5,99"
108,"Collingwood, ON","Ensemble de cuillères tournantes Matzuo, 5 pces","Ensemble de cuillères tournantes Matzuo, 5 pces",8.43,"8,43 $",16.99,"16,99 $Était   et+ prix était à partir de 16,99 $",8.43,"8,43 $",8.43,"8,43 $",true,https://www.canadiantire.ca/fr/pdp/ensemble-de-cuilleres-tournantes-matzuo-5-pces-0770318p.html,https://www.canadiantire.ca/fr/pdp/ensemble-de-cuilleres-tournantes-matzuo-5-pces-0770318p.html,https://media-www.canadiantire.ca/product/playing/fishing/fishing-lures/0770318/matzuo-spinner-lure-kit-5-pack-1-16-oz-3b48dbd8-eedc-4c02-9a5e-d73926b47887-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/fishing/fishing-lures/0770318/matzuo-spinner-lure-kit-5-pack-1-16-oz-3b48dbd8-eedc-4c02-9a5e-d73926b47887-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0770318,077-0318,,Liquidation◊Mieux notés,50.38,"8,43","16,99"
108,"Collingwood, ON","Prise double Leviton, blanc","Prise double Leviton, blanc",1.93,"1,93 $",4.49,"4,49 $Était   et+ prix était à partir de 4,49 $",1.93,"1,93 $",1.93,"1,93 $",true,https://www.canadiantire.ca/fr/pdp/prise-double-leviton-blanc-0527242p.html,https://www.canadiantire.ca/fr/pdp/prise-double-leviton-blanc-0527242p.html,https://media-www.canadiantire.ca/product/fixing/electrical/rough-electrical/0527242/heavy-duty-self-grounding-duplex-receptacle-cfad6ef3-dadb-4911-a589-24783de925c3-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/electrical/rough-electrical/0527242/heavy-duty-self-grounding-duplex-receptacle-cfad6ef3-dadb-4911-a589-24783de925c3-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0527242,052-7242,,Liquidation◊Mieux notés,57.02,"1,93","4,49"
108,"Collingwood, ON","Bonbons au caramel Waterbridge Toffee Gold, 150 g","Bonbons au caramel Waterbridge Toffee Gold, 150 g",1,"1,00 $",4.49,"Était±  4,49 $prix était 4,49 $",1,"1,00 $",1,"1,00 $",true,https://www.canadiantire.ca/fr/pdp/bonbons-au-caramel-waterbridge-toffee-gold-150-g-1519659p.html,https://www.canadiantire.ca/fr/pdp/bonbons-au-caramel-waterbridge-toffee-gold-150-g-1519659p.html,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1519659/waterbridge-toffee-gold-caramel-candy-150g-fe277f09-6892-4993-8c52-31cfcd28baa1-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1519659/waterbridge-toffee-gold-caramel-candy-150g-fe277f09-6892-4993-8c52-31cfcd28baa1-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1519659,151-9659-0,Il n’en reste que 5 #151-9659-0,Liquidation◊Mieux notés,77.73,"1,00","4,49"
108,"Collingwood, ON","Plafonnier CANVAS Orla rond, abat-jour en verre transparent, noir mat, 7-7/8 po","Plafonnier CANVAS Orla rond, abat-jour en verre transparent, noir mat, 7-7/8 po",29.93,"29,93 $",59.99,"Était±  59,99 $prix était 59,99 $",29.93,"29,93 $",29.93,"29,93 $",true,https://www.canadiantire.ca/fr/pdp/plafonnier-canvas-orla-rond-abat-jour-en-verre-transparent-noir-mat-7-7-8-po-0522673p.html,https://www.canadiantire.ca/fr/pdp/plafonnier-canvas-orla-rond-abat-jour-en-verre-transparent-noir-mat-7-7-8-po-0522673p.html,https://media-www.canadiantire.ca/product/living/home-decor/lighting/0522673/canvas-orla-flushmount-04cacdf0-b565-4311-82c7-1b7b27ab0647-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/lighting/0522673/canvas-orla-flushmount-04cacdf0-b565-4311-82c7-1b7b27ab0647-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0522673,052-2673-2,Il n’en reste que 2 #052-2673-2,Liquidation◊Mieux notés,50.11,"29,93","59,99"
108,"Collingwood, ON","Élément de surface Laser 62474 pour cuisinière, cosses, 1 500 W, 240 V, 6 po","Élément de surface Laser 62474 pour cuisinière, cosses, 1 500 W, 240 V, 6 po",14.93,"14,93 $",29.99,"Était±  29,99 $prix était 29,99 $",14.93,"14,93 $",14.93,"14,93 $",true,https://www.canadiantire.ca/fr/pdp/element-de-surface-laser-62474-pour-cuisiniere-cosses-1-500-w-240-v-6-po-0522505p.html,https://www.canadiantire.ca/fr/pdp/element-de-surface-laser-62474-pour-cuisiniere-cosses-1-500-w-240-v-6-po-0522505p.html,https://media-www.canadiantire.ca/product/fixing/electrical/rough-electrical/0522505/spade-surface-element-6--8db34eaa-8b4e-4c73-8a89-41b1fcef74ca-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/electrical/rough-electrical/0522505/spade-surface-element-6--8db34eaa-8b4e-4c73-8a89-41b1fcef74ca-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0522505,052-2505-4,Il n’en reste que 4 #052-2505-4,Liquidation◊,50.22,"14,93","29,99"
