store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
122,"Burlington Fairview, ON","Échelle de piscine en A en acier Bestway Flowclear avec rampe, 42 po","Échelle de piscine en A en acier Bestway Flowclear avec rampe, 42 po",22.98,"22,98 $",99.99,"Était±  99,99 $prix était 99,99 $",22.98,"22,98 $",22.98,"22,98 $",true,https://www.canadiantire.ca/fr/pdp/echelle-de-piscine-en-a-en-acier-bestway-flowclear-avec-rampe-42-po-0813926p.html,https://www.canadiantire.ca/fr/pdp/echelle-de-piscine-en-a-en-acier-bestway-flowclear-avec-rampe-42-po-0813926p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-fun/pool-maintenance/0813926/42-pool-ladder-1e5af39a-d711-4efc-88d9-7f79508fac9d-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-fun/pool-maintenance/0813926/42-pool-ladder-1e5af39a-d711-4efc-88d9-7f79508fac9d-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0813926,081-3926-6,10 En Stock#081-3926-6,Liquidation◊,77.02,"22,98","99,99"
122,"Burlington Fairview, ON",Abri de camping à auvent chapiteau Woods,Abri de camping à auvent chapiteau Woods,89.98,"89,98 $",289.99,"Était±  289,99 $prix était 289,99 $",89.98,"89,98 $",89.98,"89,98 $",true,https://www.canadiantire.ca/fr/pdp/abri-de-camping-a-auvent-chapiteau-woods-0766532p.html,https://www.canadiantire.ca/fr/pdp/abri-de-camping-a-auvent-chapiteau-woods-0766532p.html,https://media-www.canadiantire.ca/product/playing/camping/tents-shelters/0766532/woods-marquee-camp-shelter-098d48ca-7473-4b64-a3a7-00643d1edbd7-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/camping/tents-shelters/0766532/woods-marquee-camp-shelter-098d48ca-7473-4b64-a3a7-00643d1edbd7-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0766532,076-6532-8,39 En Stock#076-6532-8,Liquidation◊Mieux notés,68.97,"89,98","289,99"
122,"Burlington Fairview, ON",Garde-robe à miroir rétractable Canvas,Garde-robe à miroir rétractable Canvas,199.93,"199,93 $",499.99,"Était±  499,99 $prix était 499,99 $",199.93,"199,93 $",199.93,"199,93 $",true,https://www.canadiantire.ca/fr/pdp/garde-robe-a-miroir-retractable-canvas-1680201p.html,https://www.canadiantire.ca/fr/pdp/garde-robe-a-miroir-retractable-canvas-1680201p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680201/canvas-wardrobe-with-pullout-mirror-22f525bf-93c2-43fc-b5b1-e5ba5516f382-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680201/canvas-wardrobe-with-pullout-mirror-22f525bf-93c2-43fc-b5b1-e5ba5516f382-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1680201,168-0201-4,Il n’en reste que 1 #168-0201-4,Liquidation◊Exclusivité,60.01,"199,93","499,99"
122,"Burlington Fairview, ON","Tasses à mesurer empilables en plastique MASTER Chef, paq. 10","Tasses à mesurer empilables en plastique MASTER Chef, paq. 10",8.93,"8,93 $",24.99,"Était±  24,99 $prix était 24,99 $",8.93,"8,93 $",8.93,"8,93 $",true,https://www.canadiantire.ca/fr/pdp/tasses-a-mesurer-empilables-en-plastique-master-chef-paq-10-1429676p.html,https://www.canadiantire.ca/fr/pdp/tasses-a-mesurer-empilables-en-plastique-master-chef-paq-10-1429676p.html,https://media-www.canadiantire.ca/product/living/kitchen/bakeware-baking-prep/1429676/master-chef-10pc-measuring-cup-set-73c761cb-c28c-42fe-a32e-f57a30c6b9a6-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/bakeware-baking-prep/1429676/master-chef-10pc-measuring-cup-set-73c761cb-c28c-42fe-a32e-f57a30c6b9a6-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1429676,142-9676-0,147 En Stock#142-9676-0,Liquidation◊Mieux notés,64.27,"8,93","24,99"
122,"Burlington Fairview, ON","Lit de camp pliant portatif pour chiens Woods DOG-WOOD avec sac de transport, capacité de 70 lb, bleu","Lit de camp pliant portatif pour chiens Woods DOG-WOOD avec sac de transport, capacité de 70 lb, bleu",19.98,"19,98 $",79.99,"Était±  79,99 $prix était 79,99 $",19.98,"19,98 $",19.98,"19,98 $",true,https://www.canadiantire.ca/fr/pdp/lit-de-camp-pliant-portatif-pour-chiens-woods-dog-wood-avec-sac-de-transport-capacite-de-70-lb-bleu-0766424p.html,https://www.canadiantire.ca/fr/pdp/lit-de-camp-pliant-portatif-pour-chiens-woods-dog-wood-avec-sac-de-transport-capacite-de-70-lb-bleu-0766424p.html,https://media-www.canadiantire.ca/product/playing/camping/camping-accessories/0766424/woods-dogwood-quad-fold-pet-cot-fe2e4cef-58fa-4578-93b8-795fe70105e1-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/camping/camping-accessories/0766424/woods-dogwood-quad-fold-pet-cot-fe2e4cef-58fa-4578-93b8-795fe70105e1-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0766424,076-6424-6,12 En Stock#076-6424-6,Liquidation◊Mieux notés,75.02,"19,98","79,99"
122,"Burlington Fairview, ON","Housse de pare-brise 2-en-1 MyRide pour soleil et neige, convient à la plupart des véhicules","Housse de pare-brise 2-en-1 MyRide pour soleil et neige, convient à la plupart des véhicules",9.98,"9,98 $",32.99,"Était±  32,99 $prix était 32,99 $",9.98,"9,98 $",9.98,"9,98 $",true,https://www.canadiantire.ca/fr/pdp/housse-de-pare-brise-2-en-1-myride-pour-soleil-et-neige-convient-a-la-plupart-des-vehicules-0304491p.html,https://www.canadiantire.ca/fr/pdp/housse-de-pare-brise-2-en-1-myride-pour-soleil-et-neige-convient-a-la-plupart-des-vehicules-0304491p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-winter-accessories/0304491/myride-sun-and-snow-windshield-cover-1d0e1f73-cc79-4090-b8a5-bdaefbe970b7-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-winter-accessories/0304491/myride-sun-and-snow-windshield-cover-1d0e1f73-cc79-4090-b8a5-bdaefbe970b7-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0304491,030-4491-4,84 En Stock#030-4491-4,Liquidation◊Articles à succès,69.75,"9,98","32,99"
122,"Burlington Fairview, ON","Service de vaisselle en porcelaine festonnée CANVAS Odessa, blanc, paq. 12","Service de vaisselle en porcelaine festonnée CANVAS Odessa, blanc, paq. 12",29.98,"29,98 $",79.99,"Était±  79,99 $prix était 79,99 $",29.98,"29,98 $",29.98,"29,98 $",true,https://www.canadiantire.ca/fr/pdp/service-de-vaisselle-en-porcelaine-festonnee-canvas-odessa-blanc-paq-12-2421125p.html,https://www.canadiantire.ca/fr/pdp/service-de-vaisselle-en-porcelaine-festonnee-canvas-odessa-blanc-paq-12-2421125p.html,https://media-www.canadiantire.ca/product/living/kitchen/dining-and-entertaining/2421125/canvas-12-pc-scalloped-porcelain-dinnerware-set-ee9e4e35-9ab4-4375-aacf-2b058a08cc90-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/dining-and-entertaining/2421125/canvas-12-pc-scalloped-porcelain-dinnerware-set-ee9e4e35-9ab4-4375-aacf-2b058a08cc90-jpgrendition.jpg?im=whresize&wid=200&hei=200,,2421125,242-1125-2,11 En Stock#242-1125-2,Liquidation◊Mieux notés,62.52,"29,98","79,99"
122,"Burlington Fairview, ON","Service de vaisselle coupé en grès MasterChef pour 8 personnes, paq. 24, bleu sodalite","Service de vaisselle coupé en grès MasterChef pour 8 personnes, paq. 24, bleu sodalite",39.93,"39,93 $",99.99,"Était±  99,99 $prix était 99,99 $",39.93,"39,93 $",39.93,"39,93 $",true,https://www.canadiantire.ca/fr/pdp/service-de-vaisselle-coupe-en-gres-masterchef-pour-8-personnes-paq-24-bleu-sodalite-2421196p.html,https://www.canadiantire.ca/fr/pdp/service-de-vaisselle-coupe-en-gres-masterchef-pour-8-personnes-paq-24-bleu-sodalite-2421196p.html,https://media-www.canadiantire.ca/product/living/kitchen/dining-and-entertaining/2421196/master-chef-essential-coupe-24pc-dinnerware-set-blue-c85cb18a-8249-4642-84cd-a5744c25b94f-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/dining-and-entertaining/2421196/master-chef-essential-coupe-24pc-dinnerware-set-blue-c85cb18a-8249-4642-84cd-a5744c25b94f-jpgrendition.jpg?im=whresize&wid=200&hei=200,,2421196,242-1196-2,9 En Stock#242-1196-2,Liquidation◊Exclusivité,60.07,"39,93","99,99"
122,"Burlington Fairview, ON","Ponceuse à bande Mastercraft 20 V, sans balais","Ponceuse à bande Mastercraft 20 V, sans balais",39.98,"39,98 $",134.99,"Était±  134,99 $prix était 134,99 $",39.98,"39,98 $",39.98,"39,98 $",true,https://www.canadiantire.ca/fr/pdp/ponceuse-a-bande-mastercraft-20-v-sans-balais-0547577p.html,https://www.canadiantire.ca/fr/pdp/ponceuse-a-bande-mastercraft-20-v-sans-balais-0547577p.html,https://media-www.canadiantire.ca/product/fixing/tools/portable-power-tools/0547577/mastercraft-20v-belt-sander-29b77927-3d92-4f92-b246-28781e24ea2d-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/tools/portable-power-tools/0547577/mastercraft-20v-belt-sander-29b77927-3d92-4f92-b246-28781e24ea2d-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0547577,054-7577-8,10 En Stock#054-7577-8,Liquidation◊Mieux notés,70.38,"39,98","134,99"
122,"Burlington Fairview, ON","Toupie à base fixe et table à toupie Mastercraft, 9,5 A, 1-3/4 HP","Toupie à base fixe et table à toupie Mastercraft, 9,5 A, 1-3/4 HP",79.98,"79,98 $",279.99,"Était±  279,99 $prix était 279,99 $",79.98,"79,98 $",79.98,"79,98 $",true,https://www.canadiantire.ca/fr/pdp/toupie-a-base-fixe-et-table-a-toupie-mastercraft-9-5-a-1-3-4-hp-0547059p.html,https://www.canadiantire.ca/fr/pdp/toupie-a-base-fixe-et-table-a-toupie-mastercraft-9-5-a-1-3-4-hp-0547059p.html,https://media-www.canadiantire.ca/product/fixing/tools/portable-power-tools/0547059/mastercraft-fixed-base-router-and-router-table-combo-kit-8b61baf7-ebdd-41b7-8444-77b12db654b8-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/tools/portable-power-tools/0547059/mastercraft-fixed-base-router-and-router-table-combo-kit-8b61baf7-ebdd-41b7-8444-77b12db654b8-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0547059,054-7059-2,54 En Stock#054-7059-2,Liquidation◊Exclusivité,71.43,"79,98","279,99"
