store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
143,"Oakville, ON","Liquide de préparation Evans, 1 gal","Liquide de préparation Evans, 1 gal",12.93,"12,93 $",49.99,"Était±  49,99 $prix était 49,99 $",12.93,"12,93 $",12.93,"12,93 $",true,https://www.canadiantire.ca/fr/pdp/liquide-de-preparation-evans-1-gal-0293102p.html,https://www.canadiantire.ca/fr/pdp/liquide-de-preparation-evans-1-gal-0293102p.html,https://media-www.canadiantire.ca/product/automotive/auto-maintenance/auto-fluids/0293102/evans-prep-fluid-1gal-5e8adf31-ac7c-40e9-9306-c6aa92e46670-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/auto-maintenance/auto-fluids/0293102/evans-prep-fluid-1gal-5e8adf31-ac7c-40e9-9306-c6aa92e46670-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0293102,029-3102-4,Il n’en reste que 3 #029-3102-4,Liquidation◊Mieux notés,74.13,"12,93","49,99"
143,"Oakville, ON","Revêtement antidérapant DAP Tank Bond Liquid Grip pour fixations, vis et boulons, 6 mL","Revêtement antidérapant DAP Tank Bond Liquid Grip pour fixations, vis et boulons, 6 mL",3.93,"3,93 $",13.99,"Était±  13,99 $prix était 13,99 $",3.93,"3,93 $",3.93,"3,93 $",true,https://www.canadiantire.ca/fr/pdp/revetement-antiderapant-dap-tank-bond-liquid-grip-pour-fixations-vis-et-boulons-6-ml-0670057p.html,https://www.canadiantire.ca/fr/pdp/revetement-antiderapant-dap-tank-bond-liquid-grip-pour-fixations-vis-et-boulons-6-ml-0670057p.html,https://media-www.canadiantire.ca/product/fixing/paint/surface-prep-maintenance/0670057/dap-tank-bond-liquid-grip-74962919-e563-41c7-a786-f07ef6736345-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/paint/surface-prep-maintenance/0670057/dap-tank-bond-liquid-grip-74962919-e563-41c7-a786-f07ef6736345-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0670057,067-0057-8,Il n’en reste que 2 #067-0057-8,Liquidation◊,71.91,"3,93","13,99"
143,"Oakville, ON","Liquide de protection contre les inondations Flex Seal, protection imperméable contre les inondations, 10 oz","Liquide de protection contre les inondations Flex Seal, protection imperméable contre les inondations, 10 oz",14.93,"14,93 $",29.99,"Était±  29,99 $prix était 29,99 $",14.93,"14,93 $",14.93,"14,93 $",true,https://www.canadiantire.ca/fr/pdp/liquide-de-protection-contre-les-inondations-flex-seal-protection-impermeable-contre-les-inondations-10-oz-0641544p.html,https://www.canadiantire.ca/fr/pdp/liquide-de-protection-contre-les-inondations-flex-seal-protection-impermeable-contre-les-inondations-10-oz-0641544p.html,https://media-www.canadiantire.ca/product/fixing/paint/surface-prep-maintenance/0641544/flex-seal-liquid-flood-protection-10-oz--1160382c-9005-48e6-a50c-ea4ef2e9c99d-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/paint/surface-prep-maintenance/0641544/flex-seal-liquid-flood-protection-10-oz--1160382c-9005-48e6-a50c-ea4ef2e9c99d-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0641544,064-1544-8,11 En Stock#064-1544-8,Liquidation◊,50.22,"14,93","29,99"
143,"Oakville, ON","Radiateur à convection au propane liquide Dyna-Glo, 50K-80K BTU","Radiateur à convection au propane liquide Dyna-Glo, 50K-80K BTU",99.93,"99,93 $",209.99,"Était±  209,99 $prix était 209,99 $",99.93,"99,93 $",99.93,"99,93 $",true,https://www.canadiantire.ca/fr/pdp/radiateur-a-convection-au-propane-liquide-dyna-glo-50k-80k-btu-0766274p.html,https://www.canadiantire.ca/fr/pdp/radiateur-a-convection-au-propane-liquide-dyna-glo-50k-80k-btu-0766274p.html,https://media-www.canadiantire.ca/product/playing/camping/camping-living/0766274/dyna-glo-50k-80k-btu-liquid-propane-convection-heater-f54aafdf-3387-43cc-ae59-d06190ab77e1-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/camping/camping-living/0766274/dyna-glo-50k-80k-btu-liquid-propane-convection-heater-f54aafdf-3387-43cc-ae59-d06190ab77e1-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0766274,076-6274-2,Il n’en reste que 1 #076-6274-2,Liquidation◊,52.41,"99,93","209,99"
143,"Oakville, ON","Maison de poupée à 3 étages pour enfants, bord de mer, 25 accessoires","Maison de poupée à 3 étages pour enfants, bord de mer, 25 accessoires",96.93,"96,93 $",249.99,"Était±  249,99 $prix était 249,99 $",96.93,"96,93 $",96.93,"96,93 $",true,https://www.canadiantire.ca/fr/pdp/maison-de-poupee-a-3-etages-pour-enfants-bord-de-mer-25-accessoires-1501666p.html,https://www.canadiantire.ca/fr/pdp/maison-de-poupee-a-3-etages-pour-enfants-bord-de-mer-25-accessoires-1501666p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/toys/toys-games/1501666/beachside-doll-house-499b056d-aa09-4c1b-8974-7e409c58a2fc-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/toys/toys-games/1501666/beachside-doll-house-499b056d-aa09-4c1b-8974-7e409c58a2fc-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1501666,150-1666-2,Il n’en reste que 1 #150-1666-2,Liquidation◊Mieux notés,61.23,"96,93","249,99"
143,"Oakville, ON","NOMA - Couronne de Noël illuminée en eucalyptus décorative multicolore ornée d'une boucle argentée, 24 po","NOMA - Couronne de Noël illuminée en eucalyptus décorative multicolore ornée d'une boucle argentée, 24 po",29.93,"29,93 $",66.99,"Était±  66,99 $prix était 66,99 $",29.93,"29,93 $",29.93,"29,93 $",true,https://www.canadiantire.ca/fr/pdp/noma-couronne-de-noel-illuminee-en-eucalyptus-decorative-multicolore-ornee-d-une-boucle-argentee-24-po-1518525p.html,https://www.canadiantire.ca/fr/pdp/noma-couronne-de-noel-illuminee-en-eucalyptus-decorative-multicolore-ornee-d-une-boucle-argentee-24-po-1518525p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/seasonal-decor/1518525/wreath-24-eucalyptus-with-silver-bow-723f7fff-b426-4ec6-bb04-74f4a79b19bb-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/seasonal-decor/1518525/wreath-24-eucalyptus-with-silver-bow-723f7fff-b426-4ec6-bb04-74f4a79b19bb-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1518525,151-8525-4,9 En Stock#151-8525-4,Liquidation◊Mieux notés,55.32,"29,93","66,99"
143,"Oakville, ON","Chaise d'extérieur empilable en plastique léger CANVAS Como pour la terrasse et la salle à manger. Résistante à la décoloration et aux taches, 18 po","Chaise d'extérieur empilable en plastique léger CANVAS Como pour la terrasse et la salle à manger. Résistante à la décoloration et aux taches, 18 po",27.19,"27,19 $",79.99,"79,99 $Était   et+ prix était à partir de 79,99 $",27.19,"27,19 $",27.19,"27,19 $",true,https://www.canadiantire.ca/fr/pdp/chaise-d-exterieur-empilable-en-plastique-leger-canvas-como-pour-la-terrasse-et-la-salle-a-manger-resistante-a-la-decoloration-et-aux-taches-18-po-1880396p.html,https://www.canadiantire.ca/fr/pdp/chaise-d-exterieur-empilable-en-plastique-leger-canvas-como-pour-la-terrasse-et-la-salle-a-manger-resistante-a-la-decoloration-et-aux-taches-18-po-1880396p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/1880397/canvas-como-stacking-chair-black-5d68b743-a549-4973-8cf0-faabf4c56fa1-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/1880397/canvas-como-stacking-chair-black-5d68b743-a549-4973-8cf0-faabf4c56fa1-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1880396,188-0396,,Liquidation◊Exclusivité,66.01,"27,19","79,99"
143,"Oakville, ON","Robinet de lavabo de salle de bains central Delta Faucet Struct, poignée simple, certifié WaterSense, 4 po, nickel brossé","Robinet de lavabo de salle de bains central Delta Faucet Struct, poignée simple, certifié WaterSense, 4 po, nickel brossé",114.93,"114,93 $",249.99,"Était±  249,99 $prix était 249,99 $",114.93,"114,93 $",114.93,"114,93 $",true,https://www.canadiantire.ca/fr/pdp/robinet-de-lavabo-de-salle-de-bains-central-delta-faucet-struct-poignee-simple-certifie-watersense-4-po-nickel-brosse-0639892p.html,https://www.canadiantire.ca/fr/pdp/robinet-de-lavabo-de-salle-de-bains-central-delta-faucet-struct-poignee-simple-certifie-watersense-4-po-nickel-brosse-0639892p.html,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0639892/delta-struct-1-handle-lavatory-faucet-matte-black-bc3d168a-78b2-46aa-bdb5-57d2f3caa99a-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0639892/delta-struct-1-handle-lavatory-faucet-matte-black-bc3d168a-78b2-46aa-bdb5-57d2f3caa99a-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0639892,063-9892-2,Il n’en reste que 1 #063-9892-2,Liquidation◊Mieux notés,54.03,"114,93","249,99"
143,"Oakville, ON","Mini ampoules à DEL d'extérieur For Living, multicolores, paq. 300","Mini ampoules à DEL d'extérieur For Living, multicolores, paq. 300",29.93,"29,93 $",59.99,"Était±  59,99 $prix était 59,99 $",29.93,"29,93 $",29.93,"29,93 $",true,https://www.canadiantire.ca/fr/pdp/mini-ampoules-a-del-d-exterieur-for-living-multicolores-paq-300-1513444p.html,https://www.canadiantire.ca/fr/pdp/mini-ampoules-a-del-d-exterieur-for-living-multicolores-paq-300-1513444p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/christmas-lights-outdoor-decor/1513444/for-living-outdoor-300-mini-led-lights-multicoloured-3c9723f9-6378-4bba-aa99-89cada612f80-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/christmas-lights-outdoor-decor/1513444/for-living-outdoor-300-mini-led-lights-multicoloured-3c9723f9-6378-4bba-aa99-89cada612f80-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1513444,151-3444-6,,Liquidation◊Exclusivité,50.11,"29,93","59,99"
143,"Oakville, ON","Tabouret de bar réglable FOR LIVING avec dossier incurvé, noir","Tabouret de bar réglable FOR LIVING avec dossier incurvé, noir",99.93,"99,93 $",199.99,"Était±  199,99 $prix était 199,99 $",99.93,"99,93 $",99.93,"99,93 $",true,https://www.canadiantire.ca/fr/pdp/tabouret-de-bar-reglable-for-living-avec-dossier-incurve-noir-1680124p.html,https://www.canadiantire.ca/fr/pdp/tabouret-de-bar-reglable-for-living-avec-dossier-incurve-noir-1680124p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680124/for-living-adjustable-bar-stool-a5255c71-f960-41f9-a8f1-6cdbaf086b0c-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680124/for-living-adjustable-bar-stool-a5255c71-f960-41f9-a8f1-6cdbaf086b0c-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1680124,168-0124-8,Il n’en reste que 3 #168-0124-8,Liquidation◊Exclusivité,50.03,"99,93","199,99"
143,"Oakville, ON","Jeu d'arcade de tir pliable Skee-Ball Toss Bullseye avec tableau électronique et 6 balles, 94 po","Jeu d'arcade de tir pliable Skee-Ball Toss Bullseye avec tableau électronique et 6 balles, 94 po",79.93,"79,93 $",179.99,"Était±  179,99 $prix était 179,99 $",79.93,"79,93 $",79.93,"79,93 $",true,https://www.canadiantire.ca/fr/pdp/jeu-d-arcade-de-tir-pliable-skee-ball-toss-bullseye-avec-tableau-electronique-et-6-balles-94-po-1840880p.html,https://www.canadiantire.ca/fr/pdp/jeu-d-arcade-de-tir-pliable-skee-ball-toss-bullseye-avec-tableau-electronique-et-6-balles-94-po-1840880p.html,https://media-www.canadiantire.ca/product/playing/team-sports-and-golf/sports-equipment-accessories/1840880/skee-ball-arcade-game-5045c8b7-d866-41c3-8cc7-42135d56baea-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/team-sports-and-golf/sports-equipment-accessories/1840880/skee-ball-arcade-game-5045c8b7-d866-41c3-8cc7-42135d56baea-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1840880,184-0880-6,Il n’en reste que 4 #184-0880-6,Liquidation◊,55.59,"79,93","179,99"
143,"Oakville, ON","Sachets nettoyants pour tapis Hoover, nett.prof/animaux, paq. 14","Sachets nettoyants pour tapis Hoover, nett.prof/animaux, paq. 14",9.93,"9,93 $",19.99,"Était±  19,99 $prix était 19,99 $",9.93,"9,93 $",9.93,"9,93 $",true,https://www.canadiantire.ca/fr/pdp/sachets-nettoyants-pour-tapis-hoover-nett-prof-animaux-paq-14-1531872p.html,https://www.canadiantire.ca/fr/pdp/sachets-nettoyants-pour-tapis-hoover-nett-prof-animaux-paq-14-1531872p.html,https://media-www.canadiantire.ca/product/living/cleaning/household-cleaning-solutions/1531872/hoover-oxy-permanent-stain-removal-clean-pack-14-count-6483f862-06c3-4f95-8f7e-80ecf7f85294-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/cleaning/household-cleaning-solutions/1531872/hoover-oxy-permanent-stain-removal-clean-pack-14-count-6483f862-06c3-4f95-8f7e-80ecf7f85294-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1531872,153-1872-4,12 En Stock#153-1872-4,Liquidation◊Mieux notés,50.33,"9,93","19,99"
143,"Oakville, ON","Four à pizza de table portatif au gaz Vida par PADERNO, 1 brûleur, 12 po","Four à pizza de table portatif au gaz Vida par PADERNO, 1 brûleur, 12 po",199.93,"199,93 $",399.99,"Était±  399,99 $prix était 399,99 $",199.93,"199,93 $",199.93,"199,93 $",true,https://www.canadiantire.ca/fr/pdp/four-a-pizza-de-table-portatif-au-gaz-vida-par-paderno-1-bruleur-12-po-0850001p.html,https://www.canadiantire.ca/fr/pdp/four-a-pizza-de-table-portatif-au-gaz-vida-par-paderno-1-bruleur-12-po-0850001p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-cooking/0850001/vida-by-paderno-pizza-oven-c3f6852d-30b5-4ad8-96fe-41ea01ff0eaa-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-cooking/0850001/vida-by-paderno-pizza-oven-c3f6852d-30b5-4ad8-96fe-41ea01ff0eaa-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0850001,085-0001-6,Il n’en reste que 1 #085-0001-6,Liquidation◊Exclusivité,50.02,"199,93","399,99"
143,"Oakville, ON","Abri de camping instantané, auvent ou abri Woods Lookout, 12 x 12 pi","Abri de camping instantané, auvent ou abri Woods Lookout, 12 x 12 pi",199.93,"199,93 $",399.99,"Était±  399,99 $prix était 399,99 $",199.93,"199,93 $",199.93,"199,93 $",true,https://www.canadiantire.ca/fr/pdp/abri-de-camping-instantane-auvent-ou-abri-woods-lookout-12-x-12-pi-0765842p.html,https://www.canadiantire.ca/fr/pdp/abri-de-camping-instantane-auvent-ou-abri-woods-lookout-12-x-12-pi-0765842p.html,https://media-www.canadiantire.ca/product/playing/camping/tents-shelters/0765842/woods-picnic-shelter-12-x-12--22067a99-7691-4fe1-a904-1d34c4ea07c0-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/camping/tents-shelters/0765842/woods-picnic-shelter-12-x-12--22067a99-7691-4fe1-a904-1d34c4ea07c0-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0765842,076-5842-6,Il n’en reste que 3 #076-5842-6,Liquidation◊Exclusivité,50.02,"199,93","399,99"
