store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
172,"Essex, ON","Tasses à mesurer empilables en plastique MASTER Chef, paq. 10","Tasses à mesurer empilables en plastique MASTER Chef, paq. 10",8.93,"8,93 $",24.99,"Était±  24,99 $prix était 24,99 $",8.93,"8,93 $",8.93,"8,93 $",true,https://www.canadiantire.ca/fr/pdp/tasses-a-mesurer-empilables-en-plastique-master-chef-paq-10-1429676p.html,https://www.canadiantire.ca/fr/pdp/tasses-a-mesurer-empilables-en-plastique-master-chef-paq-10-1429676p.html,https://media-www.canadiantire.ca/product/living/kitchen/bakeware-baking-prep/1429676/master-chef-10pc-measuring-cup-set-73c761cb-c28c-42fe-a32e-f57a30c6b9a6-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/bakeware-baking-prep/1429676/master-chef-10pc-measuring-cup-set-73c761cb-c28c-42fe-a32e-f57a30c6b9a6-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1429676,142-9676-0,26 En Stock#142-9676-0,Liquidation◊Mieux notés,64.27,"8,93","24,99"
172,"Essex, ON",Jeu d'arcade de tir de basketball REC-Tek avec 4 balles et tableau de pointage électronique,Jeu d'arcade de tir de basketball REC-Tek avec 4 balles et tableau de pointage électronique,54.93,"54,93 $",129.99,"Était±  129,99 $prix était 129,99 $",54.93,"54,93 $",54.93,"54,93 $",true,https://www.canadiantire.ca/fr/pdp/jeu-d-arcade-de-tir-de-basketball-rec-tek-avec-4-balles-et-tableau-de-pointage-electronique-1840694p.html,https://www.canadiantire.ca/fr/pdp/jeu-d-arcade-de-tir-de-basketball-rec-tek-avec-4-balles-et-tableau-de-pointage-electronique-1840694p.html,https://media-www.canadiantire.ca/product/playing/team-sports-and-golf/indoor-games/1840694/rec-tek-basketball-shootout-challenge-game-b5d7e061-32a3-40d8-a913-45673257eaf7-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/team-sports-and-golf/indoor-games/1840694/rec-tek-basketball-shootout-challenge-game-b5d7e061-32a3-40d8-a913-45673257eaf7-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1840694,184-0694-0,11 En Stock#184-0694-0,Liquidation◊Exclusivité,57.74,"54,93","129,99"
172,"Essex, ON","Sorbetière numérique Vida par PADERNO, machine à crème glacée et gâteries 4-en-1, acier inoxydable, 1,9 L","Sorbetière numérique Vida par PADERNO, machine à crème glacée et gâteries 4-en-1, acier inoxydable, 1,9 L",49.93,"49,93 $",149.99,"Était±  149,99 $prix était 149,99 $",49.93,"49,93 $",49.93,"49,93 $",true,https://www.canadiantire.ca/fr/pdp/sorbetiere-numerique-vida-par-paderno-machine-a-creme-glacee-et-gateries-4-en-1-acier-inoxydable-1-9-l-0431564p.html,https://www.canadiantire.ca/fr/pdp/sorbetiere-numerique-vida-par-paderno-machine-a-creme-glacee-et-gateries-4-en-1-acier-inoxydable-1-9-l-0431564p.html,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0431564/vida-by-paderno-ice-cream-maker-cab802eb-a002-46c2-b174-7fca7a24c75c-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0431564/vida-by-paderno-ice-cream-maker-cab802eb-a002-46c2-b174-7fca7a24c75c-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0431564,043-1564-0,Il n’en reste que 2 #043-1564-0,Liquidation◊Mieux notés,66.71,"49,93","149,99"
172,"Essex, ON","Service de vaisselle coupé en grès MasterChef pour 8 personnes, paq. 24, bleu sodalite","Service de vaisselle coupé en grès MasterChef pour 8 personnes, paq. 24, bleu sodalite",39.93,"39,93 $",99.99,"Était±  99,99 $prix était 99,99 $",39.93,"39,93 $",39.93,"39,93 $",true,https://www.canadiantire.ca/fr/pdp/service-de-vaisselle-coupe-en-gres-masterchef-pour-8-personnes-paq-24-bleu-sodalite-2421196p.html,https://www.canadiantire.ca/fr/pdp/service-de-vaisselle-coupe-en-gres-masterchef-pour-8-personnes-paq-24-bleu-sodalite-2421196p.html,https://media-www.canadiantire.ca/product/living/kitchen/dining-and-entertaining/2421196/master-chef-essential-coupe-24pc-dinnerware-set-blue-c85cb18a-8249-4642-84cd-a5744c25b94f-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/dining-and-entertaining/2421196/master-chef-essential-coupe-24pc-dinnerware-set-blue-c85cb18a-8249-4642-84cd-a5744c25b94f-jpgrendition.jpg?im=whresize&wid=200&hei=200,,2421196,242-1196-2,Il n’en reste que 2 #242-1196-2,Liquidation◊Exclusivité,60.07,"39,93","99,99"
172,"Essex, ON","Barbecue MASTER Chef G70220 Turismo, 4 brûleurs, propane avec tablettes latérales, 36 po","Barbecue MASTER Chef G70220 Turismo, 4 brûleurs, propane avec tablettes latérales, 36 po",199.93,"199,93 $",399.99,"Était±  399,99 $prix était 399,99 $",199.93,"199,93 $",199.93,"199,93 $",true,https://www.canadiantire.ca/fr/pdp/barbecue-master-chef-g70220-turismo-4-bruleurs-propane-avec-tablettes-laterales-36-po-0850106p.html,https://www.canadiantire.ca/fr/pdp/barbecue-master-chef-g70220-turismo-4-bruleurs-propane-avec-tablettes-laterales-36-po-0850106p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-cooking/0850106/master-chef-grill-turismo-4-burner-gas-griddle-cart-19667163-bb41-4715-b58c-645b95721288-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-cooking/0850106/master-chef-grill-turismo-4-burner-gas-griddle-cart-19667163-bb41-4715-b58c-645b95721288-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0850106,085-0106-8,Il n’en reste que 1 #085-0106-8,Liquidation◊Mieux notés,50.02,"199,93","399,99"
172,"Essex, ON","Ventilateur de table/bureau portatif compact For Living, 2 vitesses, blanc, 10 po","Ventilateur de table/bureau portatif compact For Living, 2 vitesses, blanc, 10 po",9.93,"9,93 $",22.99,"Était±  22,99 $prix était 22,99 $",9.93,"9,93 $",9.93,"9,93 $",true,https://www.canadiantire.ca/fr/pdp/ventilateur-de-table-bureau-portatif-compact-for-living-2-vitesses-blanc-10-po-0435673p.html,https://www.canadiantire.ca/fr/pdp/ventilateur-de-table-bureau-portatif-compact-for-living-2-vitesses-blanc-10-po-0435673p.html,https://media-www.canadiantire.ca/product/fixing/home-environment/summer-climate-control/0435673/for-living-10-table-fan-72e559f7-a8dd-420d-af4b-00cc39bbfc04-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/home-environment/summer-climate-control/0435673/for-living-10-table-fan-72e559f7-a8dd-420d-af4b-00cc39bbfc04-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0435673,043-5673-6,Il n’en reste que 5 #043-5673-6,Liquidation◊Exclusivité,56.81,"9,93","22,99"
172,"Essex, ON","Cintres pivotants compacts en velours Type A avec barre à pantalon, couleurs variées, paq. 40","Cintres pivotants compacts en velours Type A avec barre à pantalon, couleurs variées, paq. 40",12.93,"12,93 $",32.99,"32,99 $Était   et+ prix était à partir de 32,99 $",12.93,"12,93 $",12.93,"12,93 $",true,https://www.canadiantire.ca/fr/pdp/cintres-pivotants-compacts-en-velours-type-a-avec-barre-a-pantalon-couleurs-variees-paq-40-0688307p.html,https://www.canadiantire.ca/fr/pdp/cintres-pivotants-compacts-en-velours-type-a-avec-barre-a-pantalon-couleurs-variees-paq-40-0688307p.html,https://media-www.canadiantire.ca/product/living/home-organization/closet-organization/0688308/type-a-velvet-suit-hanger-black-10pk-4afb3f73-0449-46d6-975c-369ae2760de2-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-organization/closet-organization/0688308/type-a-velvet-suit-hanger-black-10pk-4afb3f73-0449-46d6-975c-369ae2760de2-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0688307,068-8307,,Liquidation◊Mieux notés,60.81,"12,93","32,99"
172,"Essex, ON","Poêle à frire antiadhésive en titane dur T-fal, va au lave-vaisselle et au four, grise, tailles assorties","Poêle à frire antiadhésive en titane dur T-fal, va au lave-vaisselle et au four, grise, tailles assorties",14.93,"14,93 $",32.99,"32,99 $Était   et+ prix était à partir de 32,99 $",14.93,"14,93 $",14.93,"14,93 $",true,https://www.canadiantire.ca/fr/pdp/poele-a-frire-antiadhesive-en-titane-dur-t-fal-va-au-lave-vaisselle-et-au-four-grise-tailles-assorties-1428813p.html,https://www.canadiantire.ca/fr/pdp/poele-a-frire-antiadhesive-en-titane-dur-t-fal-va-au-lave-vaisselle-et-au-four-grise-tailles-assorties-1428813p.html,https://media-www.canadiantire.ca/product/living/kitchen/cookware/1428813/t-fal-26cm-titanium-non-stick-frypan-e3b8aad2-b671-4eb9-97ba-849f5a29b4e3-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/cookware/1428813/t-fal-26cm-titanium-non-stick-frypan-e3b8aad2-b671-4eb9-97ba-849f5a29b4e3-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1428813,142-8813,,Liquidation◊Mieux notés,54.74,"14,93","32,99"
172,"Essex, ON","Fauteuil de salle à manger de jardin/d'extérieur en osier CANVAS Jasper, toute saison, paq. 2","Fauteuil de salle à manger de jardin/d'extérieur en osier CANVAS Jasper, toute saison, paq. 2",199.93,"199,93 $",499.99,"Était±  499,99 $prix était 499,99 $",199.93,"199,93 $",199.93,"199,93 $",true,https://www.canadiantire.ca/fr/pdp/fauteuil-de-salle-a-manger-de-jardin-d-exterieur-en-osier-canvas-jasper-toute-saison-paq-2-1880272p.html,https://www.canadiantire.ca/fr/pdp/fauteuil-de-salle-a-manger-de-jardin-d-exterieur-en-osier-canvas-jasper-toute-saison-paq-2-1880272p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/1880272/canvas-jasper-dining-chair-2pk-2a5479fd-5f27-4f3d-85e2-8b4b9fa230c9-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/1880272/canvas-jasper-dining-chair-2pk-2a5479fd-5f27-4f3d-85e2-8b4b9fa230c9-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1880272,188-0272-6,Il n’en reste que 1 #188-0272-6,Liquidation◊Exclusivité,60.01,"199,93","499,99"
172,"Essex, ON","Chargeur portatif Bluehive avec câbles, noir, 10 000 mAh","Chargeur portatif Bluehive avec câbles, noir, 10 000 mAh",14.93,"14,93 $",49.99,"Était±  49,99 $prix était 49,99 $",14.93,"14,93 $",14.93,"14,93 $",true,https://www.canadiantire.ca/fr/pdp/chargeur-portatif-bluehive-avec-cables-noir-10-000-mah-0355468p.html,https://www.canadiantire.ca/fr/pdp/chargeur-portatif-bluehive-avec-cables-noir-10-000-mah-0355468p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-electronics/0355468/bluehive-10-000-mah-power-bank-with-cables-eed46769-8df9-4ca5-ac49-7e40933140af-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-electronics/0355468/bluehive-10-000-mah-power-bank-with-cables-eed46769-8df9-4ca5-ac49-7e40933140af-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0355468,035-5468-6,Il n’en reste que 5 #035-5468-6,Liquidation◊Exclusivité,70.13,"14,93","49,99"
