store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
206,"Bracebridge, ON","Meuble pour téléviseur avec foyer électrique multimédia CANVAS Hanover, 58 po, 1 400 W, télécommande comprise, brun","Meuble pour téléviseur avec foyer électrique multimédia CANVAS Hanover, 58 po, 1 400 W, télécommande comprise, brun",349.93,"349,93 $",699.99,"Était±  699,99 $prix était 699,99 $",349.93,"349,93 $",349.93,"349,93 $",true,https://www.canadiantire.ca/fr/pdp/meuble-pour-televiseur-avec-foyer-electrique-multimedia-canvas-hanover-58-po-1-400-w-telecommande-comprise-brun-0644016p.html,https://www.canadiantire.ca/fr/pdp/meuble-pour-televiseur-avec-foyer-electrique-multimedia-canvas-hanover-58-po-1-400-w-telecommande-comprise-brun-0644016p.html,https://media-www.canadiantire.ca/product/living/home-decor/electric-fireplaces/0644016/58-hanover-media-fireplace-80aaedf9-1443-4308-90a8-136be62f1565-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/electric-fireplaces/0644016/58-hanover-media-fireplace-80aaedf9-1443-4308-90a8-136be62f1565-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0644016,064-4016-8,Il n’en reste que 1 #064-4016-8,Liquidation◊Mieux notés,50.01,"349,93","699,99"
206,"Bracebridge, ON","Serrure à pêne dormant électronique ronde Garrison, noir mat","Serrure à pêne dormant électronique ronde Garrison, noir mat",34.93,"34,93 $",129.99,"Était±  129,99 $prix était 129,99 $",34.93,"34,93 $",34.93,"34,93 $",true,https://www.canadiantire.ca/fr/pdp/serrure-a-pene-dormant-electronique-ronde-garrison-noir-mat-0467495p.html,https://www.canadiantire.ca/fr/pdp/serrure-a-pene-dormant-electronique-ronde-garrison-noir-mat-0467495p.html,https://media-www.canadiantire.ca/product/fixing/hardware/curb-appeal/0467495/garrison-round-electronic-deadbolt-matte-black-95851cfc-66aa-4b0f-808d-4bce00e5f378-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/hardware/curb-appeal/0467495/garrison-round-electronic-deadbolt-matte-black-95851cfc-66aa-4b0f-808d-4bce00e5f378-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0467495,046-7495-2,Il n’en reste que 1 #046-7495-2,Liquidation◊Exclusivité,73.13,"34,93","129,99"
206,"Bracebridge, ON","Tabouret de bar réglable CANVAS Dutton avec siège pivotant, noir","Tabouret de bar réglable CANVAS Dutton avec siège pivotant, noir",54.93,"54,93 $",139.99,"Était±  139,99 $prix était 139,99 $",54.93,"54,93 $",54.93,"54,93 $",true,https://www.canadiantire.ca/fr/pdp/tabouret-de-bar-reglable-canvas-dutton-avec-siege-pivotant-noir-1680125p.html,https://www.canadiantire.ca/fr/pdp/tabouret-de-bar-reglable-canvas-dutton-avec-siege-pivotant-noir-1680125p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680125/canvas-dutton-stool-5e8f6bb1-d167-4f04-905a-2ffac877a377-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680125/canvas-dutton-stool-5e8f6bb1-d167-4f04-905a-2ffac877a377-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1680125,168-0125-6,Il n’en reste que 2 #168-0125-6,Liquidation◊Mieux notés,60.76,"54,93","139,99"
206,"Bracebridge, ON","Range-tout universel pour véhicule AutoTrends, noir","Range-tout universel pour véhicule AutoTrends, noir",15.93,"15,93 $",34.99,"Était±  34,99 $prix était 34,99 $",15.93,"15,93 $",15.93,"15,93 $",true,https://www.canadiantire.ca/fr/pdp/range-tout-universel-pour-vehicule-autotrends-noir-0372981p.html,https://www.canadiantire.ca/fr/pdp/range-tout-universel-pour-vehicule-autotrends-noir-0372981p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-accessories/0372981/car-seat-organizer-514db0a1-4873-40d8-883c-016bed5a6e0a-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-accessories/0372981/car-seat-organizer-514db0a1-4873-40d8-883c-016bed5a6e0a-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0372981,037-2981-6,Il n’en reste que 1 #037-2981-6,Liquidation◊Exclusivité,54.47,"15,93","34,99"
206,"Bracebridge, ON","Station de chargement magnétique sans fil pliable 3-en-1 Bluehive avec support, noir","Station de chargement magnétique sans fil pliable 3-en-1 Bluehive avec support, noir",14.93,"14,93 $",44.99,"Était±  44,99 $prix était 44,99 $",14.93,"14,93 $",14.93,"14,93 $",true,https://www.canadiantire.ca/fr/pdp/station-de-chargement-magnetique-sans-fil-pliable-3-en-1-bluehive-avec-support-noir-0357444p.html,https://www.canadiantire.ca/fr/pdp/station-de-chargement-magnetique-sans-fil-pliable-3-en-1-bluehive-avec-support-noir-0357444p.html,https://media-www.canadiantire.ca/product/automotive/electronics/mobile-electronics/0357444/bluehive-foldable-3-in-1-wireless-charging-hub-e5a3390f-7d2a-491a-84ea-02ac34389094-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/electronics/mobile-electronics/0357444/bluehive-foldable-3-in-1-wireless-charging-hub-e5a3390f-7d2a-491a-84ea-02ac34389094-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0357444,035-7444-0,Il n’en reste que 1 #035-7444-0,Liquidation◊Exclusivité,66.81,"14,93","44,99"
206,"Bracebridge, ON",Jeu de cuillers tournantes nervurées Red Wolf,Jeu de cuillers tournantes nervurées Red Wolf,4.93,"4,93 $",9.99,"Était±  9,99 $prix était 9,99 $",4.93,"4,93 $",4.93,"4,93 $",true,https://www.canadiantire.ca/fr/pdp/jeu-de-cuillers-tournantes-nervurees-red-wolf-0781916p.html,https://www.canadiantire.ca/fr/pdp/jeu-de-cuillers-tournantes-nervurees-red-wolf-0781916p.html,https://media-www.canadiantire.ca/product/playing/fishing/fishing-lures/0781916/danielson-spinner-assorted-marble-3-pack-6e6953ad-3925-4411-9468-bd2717616185-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/fishing/fishing-lures/0781916/danielson-spinner-assorted-marble-3-pack-6e6953ad-3925-4411-9468-bd2717616185-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0781916,078-1916-2,Il n’en reste que 6 #078-1916-2,Liquidation◊Mieux notés,50.65,"4,93","9,99"
206,"Bracebridge, ON","Plafonnier CANVAS Orla rond, abat-jour en verre transparent, noir mat, 7-7/8 po","Plafonnier CANVAS Orla rond, abat-jour en verre transparent, noir mat, 7-7/8 po",29.93,"29,93 $",59.99,"Était±  59,99 $prix était 59,99 $",29.93,"29,93 $",29.93,"29,93 $",true,https://www.canadiantire.ca/fr/pdp/plafonnier-canvas-orla-rond-abat-jour-en-verre-transparent-noir-mat-7-7-8-po-0522673p.html,https://www.canadiantire.ca/fr/pdp/plafonnier-canvas-orla-rond-abat-jour-en-verre-transparent-noir-mat-7-7-8-po-0522673p.html,https://media-www.canadiantire.ca/product/living/home-decor/lighting/0522673/canvas-orla-flushmount-04cacdf0-b565-4311-82c7-1b7b27ab0647-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/lighting/0522673/canvas-orla-flushmount-04cacdf0-b565-4311-82c7-1b7b27ab0647-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0522673,052-2673-2,Il n’en reste que 1 #052-2673-2,Liquidation◊Mieux notés,50.11,"29,93","59,99"
206,"Bracebridge, ON","Émerillon à barillet Danielson avec bouton-pression, nickel, taille 1, paq. 3","Émerillon à barillet Danielson avec bouton-pression, nickel, taille 1, paq. 3",0.73,"0,73 $",1.49,"Était±  1,49 $prix était 1,49 $",0.73,"0,73 $",0.73,"0,73 $",true,https://www.canadiantire.ca/fr/pdp/emerillon-a-barillet-danielson-avec-bouton-pression-nickel-taille-1-paq-3-0774421p.html,https://www.canadiantire.ca/fr/pdp/emerillon-a-barillet-danielson-avec-bouton-pression-nickel-taille-1-paq-3-0774421p.html,https://media-www.canadiantire.ca/product/playing/fishing/fishing-lures/0774421/danielson-barrel-swivel-w-interlock-snap-nickel-size-1-3pk-aad55474-3807-4b4d-b8ed-638cd1ad47c7-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/fishing/fishing-lures/0774421/danielson-barrel-swivel-w-interlock-snap-nickel-size-1-3pk-aad55474-3807-4b4d-b8ed-638cd1ad47c7-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0774421,077-4421-2,Il n’en reste que 4 #077-4421-2,Liquidation◊Mieux notés,51.01,"0,73","1,49"
206,"Bracebridge, ON","Cadre en métal facile à connecter à un range-placard mural Type A Aise, 16 x 16 x 70,5 po","Cadre en métal facile à connecter à un range-placard mural Type A Aise, 16 x 16 x 70,5 po",69.93,"69,93 $",139.99,"Était±  139,99 $prix était 139,99 $",69.93,"69,93 $",69.93,"69,93 $",true,https://www.canadiantire.ca/fr/pdp/cadre-en-metal-facile-a-connecter-a-un-range-placard-mural-type-a-aise-16-x-16-x-70-5-po-0687168p.html,https://www.canadiantire.ca/fr/pdp/cadre-en-metal-facile-a-connecter-a-un-range-placard-mural-type-a-aise-16-x-16-x-70-5-po-0687168p.html,https://media-www.canadiantire.ca/product/living/home-organization/closet-organization/0687168/type-a-ease-closet-kit-e558ee01-719d-4d90-af3f-5bca6eb4ca02-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-organization/closet-organization/0687168/type-a-ease-closet-kit-e558ee01-719d-4d90-af3f-5bca6eb4ca02-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0687168,068-7168-0,Il n’en reste que 1 #068-7168-0,Liquidation◊Mieux notés,50.05,"69,93","139,99"
206,"Bracebridge, ON","Antenne extérieure amplifiée à l’épreuve des intempéries SkyWire AD-535, 100 km","Antenne extérieure amplifiée à l’épreuve des intempéries SkyWire AD-535, 100 km",19.93,"19,93 $",69.99,"Était±  69,99 $prix était 69,99 $",19.93,"19,93 $",19.93,"19,93 $",true,https://www.canadiantire.ca/fr/pdp/antenne-exterieure-amplifiee-a-l-epreuve-des-intemperies-skywire-ad-535-100-km-0452863p.html,https://www.canadiantire.ca/fr/pdp/antenne-exterieure-amplifiee-a-l-epreuve-des-intemperies-skywire-ad-535-100-km-0452863p.html,https://media-www.canadiantire.ca/product/living/electronics/home-entertainment-accessories/0452863/skywire-outdoor-weatherproof-antenna-9080be24-f4ad-491b-ab3d-79fa1a3f8866-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/electronics/home-entertainment-accessories/0452863/skywire-outdoor-weatherproof-antenna-9080be24-f4ad-491b-ab3d-79fa1a3f8866-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0452863,045-2863-8,Il n’en reste que 1 #045-2863-8,Liquidation◊,71.52,"19,93","69,99"
