store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
224,"Halifax - Bedford, NS",Luge rapide H2O Spider avec direction et freins,Luge rapide H2O Spider avec direction et freins,39.93,"39,93 $",99.99,"Était±  99,99 $prix était 99,99 $",39.93,"39,93 $",39.93,"39,93 $",true,https://www.canadiantire.ca/fr/pdp/luge-rapide-h2o-spider-avec-direction-et-freins-0821088p.html,https://www.canadiantire.ca/fr/pdp/luge-rapide-h2o-spider-avec-direction-et-freins-0821088p.html,https://media-www.canadiantire.ca/product/playing/seasonal-recreation/winter-recreation/0821088/spider-snow-bike-e7a5d494-3744-4104-9151-337a07902637-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/seasonal-recreation/winter-recreation/0821088/spider-snow-bike-e7a5d494-3744-4104-9151-337a07902637-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0821088,082-1088-0,Il n’en reste que 1 #082-1088-0,Liquidation◊Exclusivité,60.07,"39,93","99,99"
224,"Halifax - Bedford, NS","Décoration de Noël illuminée pour l'extérieur NOMA, canne de Noël en mouvement","Décoration de Noël illuminée pour l'extérieur NOMA, canne de Noël en mouvement",24.99,"24,99 $",59.99,"Était±  59,99 $prix était 59,99 $",24.99,"24,99 $",24.99,"24,99 $",true,https://www.canadiantire.ca/fr/pdp/decoration-de-noel-illuminee-pour-l-exterieur-noma-canne-de-noel-en-mouvement-2511112p.html,https://www.canadiantire.ca/fr/pdp/decoration-de-noel-illuminee-pour-l-exterieur-noma-canne-de-noel-en-mouvement-2511112p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/christmas-lights-outdoor-decor/2511112/noma-16-neon-candy-cane-motion-3d8a293b-097c-4c95-8155-3d949d9b7657-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/christmas-lights-outdoor-decor/2511112/noma-16-neon-candy-cane-motion-3d8a293b-097c-4c95-8155-3d949d9b7657-jpgrendition.jpg?im=whresize&wid=200&hei=200,,2511112,251-1112-0,Il n’en reste que 1 #251-1112-0,Liquidation◊Mieux notés,58.34,"24,99","59,99"
224,"Halifax - Bedford, NS","Guirlande de Noël artificielle illuminée à DEL NOMA Carolina, 9 pi","Guirlande de Noël artificielle illuminée à DEL NOMA Carolina, 9 pi",19.99,"19,99 $",39.99,"Était±  39,99 $prix était 39,99 $",19.99,"19,99 $",19.99,"19,99 $",true,https://www.canadiantire.ca/fr/pdp/guirlande-de-noel-artificielle-illuminee-a-del-noma-carolina-9-pi-0513475p.html,https://www.canadiantire.ca/fr/pdp/guirlande-de-noel-artificielle-illuminee-a-del-noma-carolina-9-pi-0513475p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/christmas-indoor-decor/0513475/noma-grlnd-9-w-l-warm-white-led-pine-w-berries-pinecones-743e3662-d457-49bd-b57c-f833f018bd83-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/christmas-indoor-decor/0513475/noma-grlnd-9-w-l-warm-white-led-pine-w-berries-pinecones-743e3662-d457-49bd-b57c-f833f018bd83-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0513475,051-3475-0,29 En Stock#051-3475-0,Liquidation◊Exclusivité,50.01,"19,99","39,99"
224,"Halifax - Bedford, NS","NOMA Dresden - Sapin de Noël illuminé avec support, 450 ampoules DEL, multicolore, 7 pi","NOMA Dresden - Sapin de Noël illuminé avec support, 450 ampoules DEL, multicolore, 7 pi",100.99,"100,99 $",249.99,"Était±  249,99 $prix était 249,99 $",100.99,"100,99 $",100.99,"100,99 $",true,https://www.canadiantire.ca/fr/pdp/noma-dresden-sapin-de-noel-illumine-avec-support-450-ampoules-del-multicolore-7-pi-1518568p.html,https://www.canadiantire.ca/fr/pdp/noma-dresden-sapin-de-noel-illumine-avec-support-450-ampoules-del-multicolore-7-pi-1518568p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/christmas-trees/1518568/tree-7ft-dresden-130-noma-0bdf330b-e866-45de-bdc7-5475cc744f78-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/christmas-trees/1518568/tree-7ft-dresden-130-noma-0bdf330b-e866-45de-bdc7-5475cc744f78-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1518568,151-8568-2,64 En Stock#151-8568-2,Liquidation◊Exclusivité,59.6,"100,99","249,99"
224,"Halifax - Bedford, NS","NOMA - Couronne de Noël illuminée en eucalyptus décorative multicolore ornée d'une boucle argentée, 24 po","NOMA - Couronne de Noël illuminée en eucalyptus décorative multicolore ornée d'une boucle argentée, 24 po",29.93,"29,93 $",66.99,"Était±  66,99 $prix était 66,99 $",29.93,"29,93 $",29.93,"29,93 $",true,https://www.canadiantire.ca/fr/pdp/noma-couronne-de-noel-illuminee-en-eucalyptus-decorative-multicolore-ornee-d-une-boucle-argentee-24-po-1518525p.html,https://www.canadiantire.ca/fr/pdp/noma-couronne-de-noel-illuminee-en-eucalyptus-decorative-multicolore-ornee-d-une-boucle-argentee-24-po-1518525p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/seasonal-decor/1518525/wreath-24-eucalyptus-with-silver-bow-723f7fff-b426-4ec6-bb04-74f4a79b19bb-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/seasonal-decor/1518525/wreath-24-eucalyptus-with-silver-bow-723f7fff-b426-4ec6-bb04-74f4a79b19bb-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1518525,151-8525-4,8 En Stock#151-8525-4,Liquidation◊Exclusivité,55.32,"29,93","66,99"
224,"Halifax - Bedford, NS","Décoration de Noël CANVAS, bouleau en fil métallique, paq. 2","Décoration de Noël CANVAS, bouleau en fil métallique, paq. 2",49.99,"49,99 $",99.99,"Était±  99,99 $prix était 99,99 $",49.99,"49,99 $",49.99,"49,99 $",true,https://www.canadiantire.ca/fr/pdp/decoration-de-noel-canvas-bouleau-en-fil-metallique-paq-2-1513190p.html,https://www.canadiantire.ca/fr/pdp/decoration-de-noel-canvas-bouleau-en-fil-metallique-paq-2-1513190p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/christmas-lights-outdoor-decor/1513190/canvas-4-birch-tree-2-pack-warm-white-7654c766-caae-4e46-b86e-a16d0dc51c94-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/christmas-lights-outdoor-decor/1513190/canvas-4-birch-tree-2-pack-warm-white-7654c766-caae-4e46-b86e-a16d0dc51c94-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1513190,151-3190-8,Il n’en reste que 7 #151-3190-8,Liquidation◊Mieux notés,50.01,"49,99","99,99"
224,"Halifax - Bedford, NS","NOMA Grandin - Guirlande de Noël lumineuse avec Baies et ornement rouge, réaliste , 9 po","NOMA Grandin - Guirlande de Noël lumineuse avec Baies et ornement rouge, réaliste , 9 po",29.99,"29,99 $",59.99,"Était±  59,99 $prix était 59,99 $",29.99,"29,99 $",29.99,"29,99 $",true,https://www.canadiantire.ca/fr/pdp/noma-grandin-guirlande-de-noel-lumineuse-avec-baies-et-ornement-rouge-realiste-9-po-1511790p.html,https://www.canadiantire.ca/fr/pdp/noma-grandin-guirlande-de-noel-lumineuse-avec-baies-et-ornement-rouge-realiste-9-po-1511790p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/seasonal-decor/1511790/garland-9ft-grandin-ultra-real-74c6999c-2c0a-44b6-9a0d-6e7bfa6ce99e-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/seasonal-decor/1511790/garland-9ft-grandin-ultra-real-74c6999c-2c0a-44b6-9a0d-6e7bfa6ce99e-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1511790,151-1790-2,25 En Stock#151-1790-2,Liquidation◊Mieux notés,50.01,"29,99","59,99"
224,"Halifax - Bedford, NS","Père Noël suspendu GEMMY, décoration d'intérieur et d'extérieur, 5 pi","Père Noël suspendu GEMMY, décoration d'intérieur et d'extérieur, 5 pi",14.99,"14,99 $",29.99,"Était±  29,99 $prix était 29,99 $",14.99,"14,99 $",14.99,"14,99 $",true,https://www.canadiantire.ca/fr/pdp/pere-noel-suspendu-gemmy-decoration-d-interieur-et-d-exterieur-5-pi-1513939p.html,https://www.canadiantire.ca/fr/pdp/pere-noel-suspendu-gemmy-decoration-d-interieur-et-d-exterieur-5-pi-1513939p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/christmas-lights-outdoor-decor/1513939/ctx-gemmy-5-hanging-santa-7de3a978-1b64-42f6-88a5-b14b74184e95-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/christmas-lights-outdoor-decor/1513939/ctx-gemmy-5-hanging-santa-7de3a978-1b64-42f6-88a5-b14b74184e95-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1513939,151-3939-0,8 En Stock#151-3939-0,Liquidation◊Exclusivité,50.02,"14,99","29,99"
224,"Halifax - Bedford, NS","NOMA - Décoration de Noël Guirlande artificielle illuminée, 9 pi","NOMA - Décoration de Noël Guirlande artificielle illuminée, 9 pi",22.99,"22,99 $",46.99,"Était±  46,99 $prix était 46,99 $",22.99,"22,99 $",22.99,"22,99 $",true,https://www.canadiantire.ca/fr/pdp/noma-decoration-de-noel-guirlande-artificielle-illuminee-9-pi-1511792p.html,https://www.canadiantire.ca/fr/pdp/noma-decoration-de-noel-guirlande-artificielle-illuminee-9-pi-1511792p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/seasonal-decor/1511792/garland-9ft-multi-lit-b537ec75-cdfe-4d70-90ef-c4e28bd31715-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/seasonal-decor/1511792/garland-9ft-multi-lit-b537ec75-cdfe-4d70-90ef-c4e28bd31715-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1511792,151-1792-8,11 En Stock#151-1792-8,Liquidation◊Exclusivité,51.07,"22,99","46,99"
224,"Halifax - Bedford, NS","Maison de vacances Barbie 2024 avec poupée, 4 aires de jeu, 3 ans et plus","Maison de vacances Barbie 2024 avec poupée, 4 aires de jeu, 3 ans et plus",34.99,"34,99 $",69.99,"Était±  69,99 $prix était 69,99 $",34.99,"34,99 $",34.99,"34,99 $",true,https://www.canadiantire.ca/fr/pdp/maison-de-vacances-barbie-2024-avec-poupee-4-aires-de-jeu-3-ans-et-plus-1501709p.html,https://www.canadiantire.ca/fr/pdp/maison-de-vacances-barbie-2024-avec-poupee-4-aires-de-jeu-3-ans-et-plus-1501709p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/toys/toys-games/1501709/barbie-2024-house-w-doll-getaway-house--a89dd545-5ba1-4c36-8a13-e194089f978a-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/toys/toys-games/1501709/barbie-2024-house-w-doll-getaway-house--a89dd545-5ba1-4c36-8a13-e194089f978a-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1501709,150-1709-2,Il n’en reste que 4 #150-1709-2,Liquidation◊Mieux notés,50.01,"34,99","69,99"
