store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
236,"Windsor South, ON","Liquide de préparation Evans, 1 gal","Liquide de préparation Evans, 1 gal",12.93,"12,93 $",49.99,"Était±  49,99 $prix était 49,99 $",12.93,"12,93 $",12.93,"12,93 $",true,https://www.canadiantire.ca/fr/pdp/liquide-de-preparation-evans-1-gal-0293102p.html,https://www.canadiantire.ca/fr/pdp/liquide-de-preparation-evans-1-gal-0293102p.html,https://media-www.canadiantire.ca/product/automotive/auto-maintenance/auto-fluids/0293102/evans-prep-fluid-1gal-5e8adf31-ac7c-40e9-9306-c6aa92e46670-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/auto-maintenance/auto-fluids/0293102/evans-prep-fluid-1gal-5e8adf31-ac7c-40e9-9306-c6aa92e46670-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0293102,029-3102-4,,Liquidation◊Mieux notés,74.13,"12,93","49,99"
236,"Windsor South, ON","Recharge de savon à mains liquide Eco-Max, parfums variés, 946 mL","Recharge de savon à mains liquide Eco-Max, parfums variés, 946 mL",5.49,"5,49 $",10.99,"10,99 $Était   et+ prix était à partir de 10,99 $",5.49,"5,49 $",5.49,"5,49 $",true,https://www.canadiantire.ca/fr/pdp/recharge-de-savon-a-mains-liquide-eco-max-parfums-varies-946-ml-1531472p.html,https://www.canadiantire.ca/fr/pdp/recharge-de-savon-a-mains-liquide-eco-max-parfums-varies-946-ml-1531472p.html,https://media-www.canadiantire.ca/product/living/home-essentials/laundry-hand-dish-cleaning-solutions/1531473/eco-max-hand-wash-refill-lavender-946ml-103cdbf2-e06a-4159-85ad-0185e68c0e65-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-essentials/laundry-hand-dish-cleaning-solutions/1531473/eco-max-hand-wash-refill-lavender-946ml-103cdbf2-e06a-4159-85ad-0185e68c0e65-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1531472,153-1472,,Liquidation◊Mieux notés,50.05,"5,49","10,99"
236,"Windsor South, ON","Liquide de protection contre les inondations Flex Seal, protection imperméable contre les inondations, 10 oz","Liquide de protection contre les inondations Flex Seal, protection imperméable contre les inondations, 10 oz",14.93,"14,93 $",29.99,"Était±  29,99 $prix était 29,99 $",14.93,"14,93 $",14.93,"14,93 $",true,https://www.canadiantire.ca/fr/pdp/liquide-de-protection-contre-les-inondations-flex-seal-protection-impermeable-contre-les-inondations-10-oz-0641544p.html,https://www.canadiantire.ca/fr/pdp/liquide-de-protection-contre-les-inondations-flex-seal-protection-impermeable-contre-les-inondations-10-oz-0641544p.html,https://media-www.canadiantire.ca/product/fixing/paint/surface-prep-maintenance/0641544/flex-seal-liquid-flood-protection-10-oz--0a8f5961-b8b0-48e7-89d3-3f0dbe9d2aef-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/paint/surface-prep-maintenance/0641544/flex-seal-liquid-flood-protection-10-oz--0a8f5961-b8b0-48e7-89d3-3f0dbe9d2aef-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0641544,064-1544-8,Il n’en reste que 4 #064-1544-8,Liquidation◊,50.22,"14,93","29,99"
236,"Windsor South, ON","Détergent à vaisselle liquide antibactérien Dawn Ultra EZ-Squeeze, parfum de fleur de pommier, 650 mL","Détergent à vaisselle liquide antibactérien Dawn Ultra EZ-Squeeze, parfum de fleur de pommier, 650 mL",2.74,"2,74 $",5.49,"Était±  5,49 $prix était 5,49 $",2.74,"2,74 $",2.74,"2,74 $",true,https://www.canadiantire.ca/fr/pdp/detergent-a-vaisselle-liquide-antibacterien-dawn-ultra-ez-squeeze-parfum-de-fleur-de-pommier-650-ml-1531845p.html,https://www.canadiantire.ca/fr/pdp/detergent-a-vaisselle-liquide-antibacterien-dawn-ultra-ez-squeeze-parfum-de-fleur-de-pommier-650-ml-1531845p.html,https://media-www.canadiantire.ca/product/living/home-essentials/laundry-hand-dish-cleaning-solutions/1531845/dawn-ultra-ez-squeeze-antibacterial-650ml-996bd504-1e07-455b-a3e3-b60fcc89db71-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-essentials/laundry-hand-dish-cleaning-solutions/1531845/dawn-ultra-ez-squeeze-antibacterial-650ml-996bd504-1e07-455b-a3e3-b60fcc89db71-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1531845,153-1845-0,,Liquidation◊Mieux notés,50.09,"2,74","5,49"
236,"Windsor South, ON","Pneu MotoMaster Hydra Edge Tour pour les véhicules utilitaires multisegments (VUM), liquidation","Pneu MotoMaster Hydra Edge Tour pour les véhicules utilitaires multisegments (VUM), liquidation",100,"100,00 $",264.99,"264,99 $chaqueÉtait   et+ prix était à partir de 264,99 $",100,"100,00 $",100,"100,00 $",true,https://www.canadiantire.ca/fr/pdp/pneu-motomaster-hydra-edge-tour-pour-les-vehicules-utilitaires-multisegments-vum-liquidation-0063012p.html,https://www.canadiantire.ca/fr/pdp/pneu-motomaster-hydra-edge-tour-pour-les-vehicules-utilitaires-multisegments-vum-liquidation-0063012p.html,https://media-www.canadiantire.ca/product/automotive/tires/all-season-tires/0072021/225-65r17-102h-motomaster-hydra-edge-tour-fa02b8e6-a8ab-4bf4-800b-d837702eeb45-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/tires/all-season-tires/0072021/225-65r17-102h-motomaster-hydra-edge-tour-fa02b8e6-a8ab-4bf4-800b-d837702eeb45-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0063012,006-3012,,Liquidation◊Mieux notés,62.26,"100,00","264,99"
236,"Windsor South, ON","Savon à vaisselle liquide à pompe Method, parfum de clémentine, 532 mL","Savon à vaisselle liquide à pompe Method, parfum de clémentine, 532 mL",2.99,"2,99 $",5.99,"5,99 $Était   et+ prix était à partir de 5,99 $",2.99,"2,99 $",2.99,"2,99 $",true,https://www.canadiantire.ca/fr/pdp/savon-a-vaisselle-liquide-a-pompe-method-parfum-de-clementine-532-ml-1530129p.html,https://www.canadiantire.ca/fr/pdp/savon-a-vaisselle-liquide-a-pompe-method-parfum-de-clementine-532-ml-1530129p.html,https://media-www.canadiantire.ca/product/living/home-essentials/laundry-hand-dish-cleaning-solutions/1530129/method-dish-detergent-pump-lime-sea-salt-fff14f0b-6112-4a53-bc38-b74567de72eb-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-essentials/laundry-hand-dish-cleaning-solutions/1530129/method-dish-detergent-pump-lime-sea-salt-fff14f0b-6112-4a53-bc38-b74567de72eb-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1530129,053-2223,,Liquidation◊Mieux notés,50.08,"2,99","5,99"
236,"Windsor South, ON","Cuiller hypocrite Danielson, rouge et blanc, 3/8 oz","Cuiller hypocrite Danielson, rouge et blanc, 3/8 oz",1.73,"1,73 $",3.49,"Était±  3,49 $prix était 3,49 $",1.73,"1,73 $",1.73,"1,73 $",true,https://www.canadiantire.ca/fr/pdp/cuiller-hypocrite-danielson-rouge-et-blanc-3-8-oz-0773534p.html,https://www.canadiantire.ca/fr/pdp/cuiller-hypocrite-danielson-rouge-et-blanc-3-8-oz-0773534p.html,https://media-www.canadiantire.ca/product/playing/fishing/fishing-lures/0773534/danielson-hyprocrite-spoon-red-white-3-8oz-d07a4dce-b37c-42ca-a9c2-3c0b62be0bb9-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/fishing/fishing-lures/0773534/danielson-hyprocrite-spoon-red-white-3-8oz-d07a4dce-b37c-42ca-a9c2-3c0b62be0bb9-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0773534,077-3534-0,Il n’en reste que 2 #077-3534-0,Liquidation◊Mieux notés,50.43,"1,73","3,49"
236,"Windsor South, ON","Chaise d'extérieur empilable en plastique léger CANVAS Como pour la terrasse et la salle à manger. Résistante à la décoloration et aux taches, 18 po","Chaise d'extérieur empilable en plastique léger CANVAS Como pour la terrasse et la salle à manger. Résistante à la décoloration et aux taches, 18 po",39.99,"39,99 $",79.99,"79,99 $Était   et+ prix était à partir de 79,99 $",39.99,"39,99 $",39.99,"39,99 $",true,https://www.canadiantire.ca/fr/pdp/chaise-d-exterieur-empilable-en-plastique-leger-canvas-como-pour-la-terrasse-et-la-salle-a-manger-resistante-a-la-decoloration-et-aux-taches-18-po-1880396p.html,https://www.canadiantire.ca/fr/pdp/chaise-d-exterieur-empilable-en-plastique-leger-canvas-como-pour-la-terrasse-et-la-salle-a-manger-resistante-a-la-decoloration-et-aux-taches-18-po-1880396p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/1880397/canvas-como-stacking-chair-black-5d68b743-a549-4973-8cf0-faabf4c56fa1-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/1880397/canvas-como-stacking-chair-black-5d68b743-a549-4973-8cf0-faabf4c56fa1-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1880396,188-0396,,Liquidation◊Exclusivité,50.01,"39,99","79,99"
236,"Windsor South, ON","Robinet de lavabo de salle de bains central Kohler Elliston, poignée simple et trou unique, 4 po, nickel brossé","Robinet de lavabo de salle de bains central Kohler Elliston, poignée simple et trou unique, 4 po, nickel brossé",99.93,"99,93 $",229.99,"Était±  229,99 $prix était 229,99 $",99.93,"99,93 $",99.93,"99,93 $",true,https://www.canadiantire.ca/fr/pdp/robinet-de-lavabo-de-salle-de-bains-central-kohler-elliston-poignee-simple-et-trou-unique-4-po-nickel-brosse-0634709p.html,https://www.canadiantire.ca/fr/pdp/robinet-de-lavabo-de-salle-de-bains-central-kohler-elliston-poignee-simple-et-trou-unique-4-po-nickel-brosse-0634709p.html,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0634709/kohler-elliston-single-handle-bathroom-faucet-brushed-nickel-43a5945d-2092-474a-a61b-8a05ba57e58b-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0634709/kohler-elliston-single-handle-bathroom-faucet-brushed-nickel-43a5945d-2092-474a-a61b-8a05ba57e58b-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0634709,063-4709-2,Il n’en reste que 1 #063-4709-2,Liquidation◊,56.55,"99,93","229,99"
236,"Windsor South, ON",Démarreur à distance SmartStart 3G,Démarreur à distance SmartStart 3G,39.93,"39,93 $",249.99,"Était±  249,99 $prix était 249,99 $",39.93,"39,93 $",39.93,"39,93 $",true,https://www.canadiantire.ca/fr/pdp/demarreur-a-distance-smartstart-3g-0340841p.html,https://www.canadiantire.ca/fr/pdp/demarreur-a-distance-smartstart-3g-0340841p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-electronics/0340841/smartstart-3g-remote-starter-d554ce87-b7eb-4d01-828e-af7e593ef90b-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-electronics/0340841/smartstart-3g-remote-starter-d554ce87-b7eb-4d01-828e-af7e593ef90b-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0340841,034-0841-8,Il n’en reste que 1 #034-0841-8,Liquidation◊,84.03,"39,93","249,99"
