store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,availability,badges,discount_percent,price_sale_clean,price_original_clean
257,"Ste. Agathe des Monts, QC","Étui à crayons en mailles Five Star Stand & Store, choix de couleurs","Étui à crayons en mailles Five Star Stand & Store, choix de couleurs",1,"1,00 $",6.99,"Était±  6,99 $prix était 6,99 $",1,"1,00 $",1,"1,00 $",true,https://www.canadiantire.ca/fr/pdp/etui-a-crayons-en-mailles-five-star-stand-store-choix-de-couleurs-1429347p.html,https://www.canadiantire.ca/fr/pdp/etui-a-crayons-en-mailles-five-star-stand-store-choix-de-couleurs-1429347p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/toys/home-office-supplies/1429347/five-star-stand-and-store-pouch-b4f30dbe-601c-48ed-ac23-d7ab9ef4bdec-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/toys/home-office-supplies/1429347/five-star-stand-and-store-pouch-b4f30dbe-601c-48ed-ac23-d7ab9ef4bdec-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Il n’en reste que 3 #142-9347-4,Liquidation◊Mieux notés,85.69,"1,00","6,99"
257,"Ste. Agathe des Monts, QC","Détachant liquide pour traînées noires Silverwax Streak Out, 4 L","Détachant liquide pour traînées noires Silverwax Streak Out, 4 L",48.93,"48,93 $",99.99,"Était±  99,99 $prix était 99,99 $",48.93,"48,93 $",48.93,"48,93 $",true,https://www.canadiantire.ca/fr/pdp/detachant-liquide-pour-trainees-noires-silverwax-streak-out-4-l-0396588p.html,https://www.canadiantire.ca/fr/pdp/detachant-liquide-pour-trainees-noires-silverwax-streak-out-4-l-0396588p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-cleaning-chemicals/0396588/silverwax-streak-out-4l-45845725-bbac-4c0c-992b-fb90027c9d0f-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-cleaning-chemicals/0396588/silverwax-streak-out-4l-45845725-bbac-4c0c-992b-fb90027c9d0f-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Il n’en reste que 1 #039-6588-6,Liquidation◊,51.07,"48,93","99,99"
257,"Ste. Agathe des Monts, QC",Nettoyant injecteur diesel Howes Meaner Power Kleaner 946 mL,Nettoyant injecteur diesel Howes Meaner Power Kleaner 946 mL,12.93,"12,93 $",29.99,"Était±  29,99 $prix était 29,99 $",12.93,"12,93 $",12.93,"12,93 $",true,https://www.canadiantire.ca/fr/pdp/nettoyant-injecteur-diesel-howes-meaner-power-kleaner-946-ml-0380941p.html,https://www.canadiantire.ca/fr/pdp/nettoyant-injecteur-diesel-howes-meaner-power-kleaner-946-ml-0380941p.html,https://media-www.canadiantire.ca/product/automotive/auto-maintenance/auto-fluids/0380941/meaner-power-kleaner-946ml-1cff17a2-03bf-47ed-8421-e5b0672b1f2f-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/auto-maintenance/auto-fluids/0380941/meaner-power-kleaner-946ml-1cff17a2-03bf-47ed-8421-e5b0672b1f2f-jpgrendition.jpg?im=whresize&wid=200&hei=200,,9 En Stock#038-0941-2,Liquidation◊Mieux notés,56.89,"12,93","29,99"
257,"Ste. Agathe des Monts, QC","For Living - Auvent de rechange octogonal pour gazebo, beige, 153 x 124 x 35 po","For Living - Auvent de rechange octogonal pour gazebo, beige, 153 x 124 x 35 po",80,"80,00 $",199.99,"Était±  199,99 $prix était 199,99 $",80,"80,00 $",80,"80,00 $",true,https://www.canadiantire.ca/fr/pdp/for-living-auvent-de-rechange-octogonal-pour-gazebo-beige-153-x-124-x-35-po-0881635p.html,https://www.canadiantire.ca/fr/pdp/for-living-auvent-de-rechange-octogonal-pour-gazebo-beige-153-x-124-x-35-po-0881635p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/0881635/for-living-canopy-for-octagon-179677f6-f9ea-4c8f-82df-4cf8841a4342-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/0881635/for-living-canopy-for-octagon-179677f6-f9ea-4c8f-82df-4cf8841a4342-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Il n’en reste que 5 #088-1635-6,Liquidation◊Exclusivité,60,"80,00","199,99"
257,"Ste. Agathe des Monts, QC","Applique de salle de bains à 4 lampes CANVAS Abbeyglen, noir mat","Applique de salle de bains à 4 lampes CANVAS Abbeyglen, noir mat",80,"80,00 $",169.99,"Était±  169,99 $prix était 169,99 $",80,"80,00 $",80,"80,00 $",true,https://www.canadiantire.ca/fr/pdp/applique-de-salle-de-bains-a-4-lampes-canvas-abbeyglen-noir-mat-1522635p.html,https://www.canadiantire.ca/fr/pdp/applique-de-salle-de-bains-a-4-lampes-canvas-abbeyglen-noir-mat-1522635p.html,https://media-www.canadiantire.ca/product/fixing/electrical/lighting/1522635/canvas-abbeyglen-matte-black-vanity-light-ae2d2eec-9506-41b1-adae-6de0b4bb84a7-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/electrical/lighting/1522635/canvas-abbeyglen-matte-black-vanity-light-ae2d2eec-9506-41b1-adae-6de0b4bb84a7-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Il n’en reste que 2 #152-2635-6,Liquidation◊Exclusivité,52.94,"80,00","169,99"
257,"Ste. Agathe des Monts, QC","Tabouret de comptoir/bar For Living, noir, en similicuir et chrome à hauteur réglable","Tabouret de comptoir/bar For Living, noir, en similicuir et chrome à hauteur réglable",70,"70,00 $",149.99,"Était±  149,99 $prix était 149,99 $",70,"70,00 $",70,"70,00 $",true,https://www.canadiantire.ca/fr/pdp/tabouret-de-comptoir-bar-for-living-noir-en-similicuir-et-chrome-a-hauteur-reglable-0687902p.html,https://www.canadiantire.ca/fr/pdp/tabouret-de-comptoir-bar-for-living-noir-en-similicuir-et-chrome-a-hauteur-reglable-0687902p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/0687902/for-living-adjustable-stool-black-256c59c3-179d-40fc-b31b-d58f52d91477-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/0687902/for-living-adjustable-stool-black-256c59c3-179d-40fc-b31b-d58f52d91477-jpgrendition.jpg?im=whresize&wid=200&hei=200,,12 En Stock#068-7902-2,Liquidation◊Exclusivité,53.33,"70,00","149,99"
257,"Ste. Agathe des Monts, QC","Tabouret de comptoir/bar similicuir et chrome hauteur réglable For Living, blanc","Tabouret de comptoir/bar similicuir et chrome hauteur réglable For Living, blanc",70,"70,00 $",149.99,"Était±  149,99 $prix était 149,99 $",70,"70,00 $",70,"70,00 $",true,https://www.canadiantire.ca/fr/pdp/tabouret-de-comptoir-bar-similicuir-et-chrome-hauteur-reglable-for-living-blanc-0687040p.html,https://www.canadiantire.ca/fr/pdp/tabouret-de-comptoir-bar-similicuir-et-chrome-hauteur-reglable-for-living-blanc-0687040p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/0687040/for-living-adjustable-stool-white-2f17af77-f6a6-4354-921b-b7aa9a01dd8a-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/0687040/for-living-adjustable-stool-white-2f17af77-f6a6-4354-921b-b7aa9a01dd8a-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Il n’en reste que 7 #068-7040-2,Liquidation◊Exclusivité,53.33,"70,00","149,99"
257,"Ste. Agathe des Monts, QC",Système d’élimination déchets de cuisine écologique Sepura,Système d’élimination déchets de cuisine écologique Sepura,280,"280,00 $",749.99,"Était±  749,99 $prix était 749,99 $",280,"280,00 $",280,"280,00 $",true,https://www.canadiantire.ca/fr/pdp/systeme-d-elimination-dechets-de-cuisine-ecologique-sepura-0633486p.html,https://www.canadiantire.ca/fr/pdp/systeme-d-elimination-dechets-de-cuisine-ecologique-sepura-0633486p.html,https://media-www.canadiantire.ca/product/fixing/plumbing/rough-plumbing/0633486/sepura-in-sink-food-waste-separator-and-collector-9742ff37-21c0-40c1-babb-e09184b6c6bc-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/plumbing/rough-plumbing/0633486/sepura-in-sink-food-waste-separator-and-collector-9742ff37-21c0-40c1-babb-e09184b6c6bc-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Il n’en reste que 2 #063-3486-6,Liquidation◊Exclusivité,62.67,"280,00","749,99"
257,"Ste. Agathe des Monts, QC","Sachets nettoyants pour tapis Hoover, nett.prof/animaux, paq. 14","Sachets nettoyants pour tapis Hoover, nett.prof/animaux, paq. 14",8,"8,00 $",19.99,"Était±  19,99 $prix était 19,99 $",8,"8,00 $",8,"8,00 $",true,https://www.canadiantire.ca/fr/pdp/sachets-nettoyants-pour-tapis-hoover-nett-prof-animaux-paq-14-1531872p.html,https://www.canadiantire.ca/fr/pdp/sachets-nettoyants-pour-tapis-hoover-nett-prof-animaux-paq-14-1531872p.html,https://media-www.canadiantire.ca/product/living/cleaning/household-cleaning-solutions/1531872/hoover-oxy-permanent-stain-removal-clean-pack-14-count-6483f862-06c3-4f95-8f7e-80ecf7f85294-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/cleaning/household-cleaning-solutions/1531872/hoover-oxy-permanent-stain-removal-clean-pack-14-count-6483f862-06c3-4f95-8f7e-80ecf7f85294-jpgrendition.jpg?im=whresize&wid=200&hei=200,,13 En Stock#153-1872-4,Liquidation◊Mieux notés,59.98,"8,00","19,99"
257,"Ste. Agathe des Monts, QC","Pistolet pulvérisateur à peinture et à apprêt Mastercraft, 3 pces","Pistolet pulvérisateur à peinture et à apprêt Mastercraft, 3 pces",70,"70,00 $",149.99,"Était±  149,99 $prix était 149,99 $",70,"70,00 $",70,"70,00 $",true,https://www.canadiantire.ca/fr/pdp/pistolet-pulverisateur-a-peinture-et-a-appret-mastercraft-3-pces-0589807p.html,https://www.canadiantire.ca/fr/pdp/pistolet-pulverisateur-a-peinture-et-a-appret-mastercraft-3-pces-0589807p.html,https://media-www.canadiantire.ca/product/fixing/tools/air-tools-accessories/0589807/mastercraft-3-piece-spray-gun-kit-760d2bb0-320f-4573-a641-0e0212ffeea2-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/tools/air-tools-accessories/0589807/mastercraft-3-piece-spray-gun-kit-760d2bb0-320f-4573-a641-0e0212ffeea2-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Il n’en reste que 1 #058-9807-2,Liquidation◊Mieux notés,53.33,"70,00","149,99"
