store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
269,"Port Elgin, ON","Batterie de cuisine en cuivre Lagostina Artiste-Clad allant au four, paq. 12","Batterie de cuisine en cuivre Lagostina Artiste-Clad allant au four, paq. 12",229.88,"229,88 $",599.99,"Était±  599,99 $prix était 599,99 $",229.88,"229,88 $",229.88,"229,88 $",true,https://www.canadiantire.ca/fr/pdp/batterie-de-cuisine-en-cuivre-lagostina-artiste-clad-allant-au-four-paq-12-1422641p.html,https://www.canadiantire.ca/fr/pdp/batterie-de-cuisine-en-cuivre-lagostina-artiste-clad-allant-au-four-paq-12-1422641p.html,https://media-www.canadiantire.ca/product/living/kitchen/cookware/1422641/lagostina-12-piece-copper-hand-hammered-cookware-set-8efd56aa-f4d9-43a3-830a-345e63def203-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/cookware/1422641/lagostina-12-piece-copper-hand-hammered-cookware-set-8efd56aa-f4d9-43a3-830a-345e63def203-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1422641,142-2641-4,Il n’en reste que 1 #142-2641-4,Liquidation◊Mieux notés,61.69,"229,88","599,99"
269,"Port Elgin, ON","Friteuse à air chaud à deux zones T-Fal Easy Fry, 8,3 L/8,7 ptes","Friteuse à air chaud à deux zones T-Fal Easy Fry, 8,3 L/8,7 ptes",99.93,"99,93 $",199.99,"Était±  199,99 $prix était 199,99 $",99.93,"99,93 $",99.93,"99,93 $",true,https://www.canadiantire.ca/fr/pdp/friteuse-a-air-chaud-a-deux-zones-t-fal-easy-fry-8-3-l-8-7-ptes-0430340p.html,https://www.canadiantire.ca/fr/pdp/friteuse-a-air-chaud-a-deux-zones-t-fal-easy-fry-8-3-l-8-7-ptes-0430340p.html,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0430340/t-fal-dual-zone-air-fryer-f30f9c50-9b02-4977-a8b9-2e9b9249a74e-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0430340/t-fal-dual-zone-air-fryer-f30f9c50-9b02-4977-a8b9-2e9b9249a74e-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0430340,043-0340-8,Il n’en reste que 1 #043-0340-8,Liquidation◊Mieux notés,50.03,"99,93","199,99"
269,"Port Elgin, ON","Friteuse numérique T-fal Easy Fry XL avec panier antiadhésif, 4,4 pintes","Friteuse numérique T-fal Easy Fry XL avec panier antiadhésif, 4,4 pintes",49.88,"49,88 $",129.99,"Était±  129,99 $prix était 129,99 $",49.88,"49,88 $",49.88,"49,88 $",true,https://www.canadiantire.ca/fr/pdp/friteuse-numerique-t-fal-easy-fry-xl-avec-panier-antiadhesif-4-4-pintes-0430944p.html,https://www.canadiantire.ca/fr/pdp/friteuse-numerique-t-fal-easy-fry-xl-avec-panier-antiadhesif-4-4-pintes-0430944p.html,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0430944/t-fal-easy-fry-xl-digital-air-fryer-522fbded-9325-4864-be12-05fde1c3d407-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0430944/t-fal-easy-fry-xl-digital-air-fryer-522fbded-9325-4864-be12-05fde1c3d407-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0430944,043-0944-2,Il n’en reste que 5 #043-0944-2,Liquidation◊Articles à succès,61.63,"49,88","129,99"
269,"Port Elgin, ON","Vélo hybride Raleigh Sundance, 700C, cuivré","Vélo hybride Raleigh Sundance, 700C, cuivré",249.93,"249,93 $",539.99,"Était±  539,99 $prix était 539,99 $",249.93,"249,93 $",249.93,"249,93 $",true,https://www.canadiantire.ca/fr/pdp/velo-hybride-raleigh-sundance-700c-cuivre-0711982p.html,https://www.canadiantire.ca/fr/pdp/velo-hybride-raleigh-sundance-700c-cuivre-0711982p.html,https://media-www.canadiantire.ca/product/playing/cycling/bicycles/0711982/raleigh-sundance-women-s-hybrid-bike-700c-3bb8d501-e6aa-426e-8174-061f74e98473-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/cycling/bicycles/0711982/raleigh-sundance-women-s-hybrid-bike-700c-3bb8d501-e6aa-426e-8174-061f74e98473-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0711982,071-1982-6,Il n’en reste que 3 #071-1982-6,Liquidation◊Exclusivité,53.72,"249,93","539,99"
269,"Port Elgin, ON","Housse de pare-brise 2-en-1 MyRide pour soleil et neige, convient à la plupart des véhicules","Housse de pare-brise 2-en-1 MyRide pour soleil et neige, convient à la plupart des véhicules",12.93,"12,93 $",32.99,"Était±  32,99 $prix était 32,99 $",12.93,"12,93 $",12.93,"12,93 $",true,https://www.canadiantire.ca/fr/pdp/housse-de-pare-brise-2-en-1-myride-pour-soleil-et-neige-convient-a-la-plupart-des-vehicules-0304491p.html,https://www.canadiantire.ca/fr/pdp/housse-de-pare-brise-2-en-1-myride-pour-soleil-et-neige-convient-a-la-plupart-des-vehicules-0304491p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-winter-accessories/0304491/myride-sun-and-snow-windshield-cover-1d0e1f73-cc79-4090-b8a5-bdaefbe970b7-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-winter-accessories/0304491/myride-sun-and-snow-windshield-cover-1d0e1f73-cc79-4090-b8a5-bdaefbe970b7-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0304491,030-4491-4,Il n’en reste que 5 #030-4491-4,Liquidation◊Articles à succès,60.81,"12,93","32,99"
269,"Port Elgin, ON",Garde-robe compacte Canvas,Garde-robe compacte Canvas,149.88,"149,88 $",349.99,"Était±  349,99 $prix était 349,99 $",149.88,"149,88 $",149.88,"149,88 $",true,https://www.canadiantire.ca/fr/pdp/garde-robe-compacte-canvas-1680204p.html,https://www.canadiantire.ca/fr/pdp/garde-robe-compacte-canvas-1680204p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680204/canvas-slim-wardrobe-98f1ed6a-144b-4f67-a348-6ea6f35a5649-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680204/canvas-slim-wardrobe-98f1ed6a-144b-4f67-a348-6ea6f35a5649-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1680204,168-0204-8,Il n’en reste que 1 #168-0204-8,Liquidation◊Mieux notés,57.18,"149,88","349,99"
269,"Port Elgin, ON",Projecteur à DEL de 1 000 lumens Mastercraft pour service intense,Projecteur à DEL de 1 000 lumens Mastercraft pour service intense,54.93,"54,93 $",149.99,"Était±  149,99 $prix était 149,99 $",54.93,"54,93 $",54.93,"54,93 $",true,https://www.canadiantire.ca/fr/pdp/projecteur-a-del-de-1-000-lumens-mastercraft-pour-service-intense-0372426p.html,https://www.canadiantire.ca/fr/pdp/projecteur-a-del-de-1-000-lumens-mastercraft-pour-service-intense-0372426p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-accessories/0372426/mastercraft-1000lumen-heavy-duty-spotlight-c0d329db-7a7e-4302-a634-a31ceb039174-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-accessories/0372426/mastercraft-1000lumen-heavy-duty-spotlight-c0d329db-7a7e-4302-a634-a31ceb039174-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0372426,037-2426-0,Il n’en reste que 1 #037-2426-0,Liquidation◊Mieux notés,63.38,"54,93","149,99"
269,"Port Elgin, ON","Vélo électrique Raleigh Dobson Comfort, léger, écran ACL intégré, 700C roues, blanc","Vélo électrique Raleigh Dobson Comfort, léger, écran ACL intégré, 700C roues, blanc",999.93,"999,93 $",1999.99,"Était±  1 999,99 $prix était 1 999,99 $",999.93,"999,93 $",999.93,"999,93 $",true,https://www.canadiantire.ca/fr/pdp/velo-electrique-raleigh-dobson-comfort-leger-ecran-acl-integre-700c-roues-blanc-0712020p.html,https://www.canadiantire.ca/fr/pdp/velo-electrique-raleigh-dobson-comfort-leger-ecran-acl-integre-700c-roues-blanc-0712020p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/cycling/bicycles/0712020/raleigh-dobson-electric-bike-700c-white-46befcab-abaf-4947-ae19-7764447767ed-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/cycling/bicycles/0712020/raleigh-dobson-electric-bike-700c-white-46befcab-abaf-4947-ae19-7764447767ed-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0712020,071-2020-0,Il n’en reste que 2 #071-2020-0,Liquidation◊Mieux notés,50,"999,93","1999,99"
269,"Port Elgin, ON","Sac de couchage sans fermeture à glissière Outbound Boundless, 2 °C, vert","Sac de couchage sans fermeture à glissière Outbound Boundless, 2 °C, vert",49.93,"49,93 $",139.99,"Était±  139,99 $prix était 139,99 $",49.93,"49,93 $",49.93,"49,93 $",true,https://www.canadiantire.ca/fr/pdp/sac-de-couchage-sans-fermeture-a-glissiere-outbound-boundless-2-c-vert-0766640p.html,https://www.canadiantire.ca/fr/pdp/sac-de-couchage-sans-fermeture-a-glissiere-outbound-boundless-2-c-vert-0766640p.html,https://media-www.canadiantire.ca/product/playing/camping/camping-furniture/0766640/outbound-2c-zipperless-sleeping-bag-92015620-b8aa-4f67-9bdb-5dda79ef1552-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/camping/camping-furniture/0766640/outbound-2c-zipperless-sleeping-bag-92015620-b8aa-4f67-9bdb-5dda79ef1552-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0766640,076-6640-0,Il n’en reste que 2 #076-6640-0,Liquidation◊Exclusivité,64.33,"49,93","139,99"
269,"Port Elgin, ON","Roue de remorque MotoMaster Bias ASM205/75/D15, 5 écrous","Roue de remorque MotoMaster Bias ASM205/75/D15, 5 écrous",59.93,"59,93 $",159.99,"Était±  159,99 $prix était 159,99 $",59.93,"59,93 $",59.93,"59,93 $",true,https://www.canadiantire.ca/fr/pdp/roue-de-remorque-motomaster-bias-asm205-75-d15-5-ecrous-0403173p.html,https://www.canadiantire.ca/fr/pdp/roue-de-remorque-motomaster-bias-asm205-75-d15-5-ecrous-0403173p.html,https://media-www.canadiantire.ca/product/automotive/automotive-outdoor-adventure/auto-travel-storage/0403175/motomaster-bias-trailer-tire-st530-x-12-lr-c-tire-only-fed60885-3f31-40fd-8ff3-4c51c0ebc8d0-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/automotive-outdoor-adventure/auto-travel-storage/0403175/motomaster-bias-trailer-tire-st530-x-12-lr-c-tire-only-fed60885-3f31-40fd-8ff3-4c51c0ebc8d0-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0403173,040-3173-4,Il n’en reste que 2 #040-3173-4,Liquidation◊Exclusivité,62.54,"59,93","159,99"
