store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
321,"Dufferin & 407, ON",Luge rapide H2O Spider avec direction et freins,Luge rapide H2O Spider avec direction et freins,39.93,"39,93 $",99.99,"Était±  99,99 $prix était 99,99 $",39.93,"39,93 $",39.93,"39,93 $",true,https://www.canadiantire.ca/fr/pdp/luge-rapide-h2o-spider-avec-direction-et-freins-0821088p.html,https://www.canadiantire.ca/fr/pdp/luge-rapide-h2o-spider-avec-direction-et-freins-0821088p.html,https://media-www.canadiantire.ca/product/playing/seasonal-recreation/winter-recreation/0821088/spider-snow-bike-e7a5d494-3744-4104-9151-337a07902637-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/seasonal-recreation/winter-recreation/0821088/spider-snow-bike-e7a5d494-3744-4104-9151-337a07902637-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0821088,082-1088-0,19 En Stock#082-1088-0,Liquidation◊Exclusivité,60.07,"39,93","99,99"
321,"Dufferin & 407, ON","Batterie de cuisine en cuivre Lagostina Artiste-Clad allant au four, paq. 12","Batterie de cuisine en cuivre Lagostina Artiste-Clad allant au four, paq. 12",299.93,"299,93 $",599.99,"Était±  599,99 $prix était 599,99 $",299.93,"299,93 $",299.93,"299,93 $",true,https://www.canadiantire.ca/fr/pdp/batterie-de-cuisine-en-cuivre-lagostina-artiste-clad-allant-au-four-paq-12-1422641p.html,https://www.canadiantire.ca/fr/pdp/batterie-de-cuisine-en-cuivre-lagostina-artiste-clad-allant-au-four-paq-12-1422641p.html,https://media-www.canadiantire.ca/product/living/kitchen/cookware/1422641/lagostina-12-piece-copper-hand-hammered-cookware-set-8efd56aa-f4d9-43a3-830a-345e63def203-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/cookware/1422641/lagostina-12-piece-copper-hand-hammered-cookware-set-8efd56aa-f4d9-43a3-830a-345e63def203-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1422641,142-2641-4,18 En Stock#142-2641-4,Liquidation◊Mieux notés,50.01,"299,93","599,99"
321,"Dufferin & 407, ON","Guirlande de Noël artificielle illuminée à DEL NOMA Carolina, 9 pi","Guirlande de Noël artificielle illuminée à DEL NOMA Carolina, 9 pi",19.99,"19,99 $",39.99,"Était±  39,99 $prix était 39,99 $",19.99,"19,99 $",19.99,"19,99 $",true,https://www.canadiantire.ca/fr/pdp/guirlande-de-noel-artificielle-illuminee-a-del-noma-carolina-9-pi-0513475p.html,https://www.canadiantire.ca/fr/pdp/guirlande-de-noel-artificielle-illuminee-a-del-noma-carolina-9-pi-0513475p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/christmas-indoor-decor/0513475/noma-grlnd-9-w-l-warm-white-led-pine-w-berries-pinecones-743e3662-d457-49bd-b57c-f833f018bd83-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/christmas-indoor-decor/0513475/noma-grlnd-9-w-l-warm-white-led-pine-w-berries-pinecones-743e3662-d457-49bd-b57c-f833f018bd83-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0513475,051-3475-0,27 En Stock#051-3475-0,Liquidation◊Exclusivité,50.01,"19,99","39,99"
321,"Dufferin & 407, ON","Projecteur à DEL NOMA pour décorations de Noël et des Fêtes, kaléidoscope","Projecteur à DEL NOMA pour décorations de Noël et des Fêtes, kaléidoscope",9.99,"9,99 $",19.99,"Était±  19,99 $prix était 19,99 $",9.99,"9,99 $",9.99,"9,99 $",true,https://www.canadiantire.ca/fr/pdp/projecteur-a-del-noma-pour-decorations-de-noel-et-des-fetes-kaleidoscope-1513718p.html,https://www.canadiantire.ca/fr/pdp/projecteur-a-del-noma-pour-decorations-de-noel-et-des-fetes-kaleidoscope-1513718p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/christmas-lights-outdoor-decor/1513718/noma-led-projector-kaleidoscope-d810605f-2b7b-49b5-84f4-bc0014a74c75-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/christmas-lights-outdoor-decor/1513718/noma-led-projector-kaleidoscope-d810605f-2b7b-49b5-84f4-bc0014a74c75-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1513718,151-3718-6,Il n’en reste que 2 #151-3718-6,Liquidation◊Mieux notés,50.03,"9,99","19,99"
321,"Dufferin & 407, ON","Père Noël suspendu GEMMY, décoration d'intérieur et d'extérieur, 5 pi","Père Noël suspendu GEMMY, décoration d'intérieur et d'extérieur, 5 pi",14.99,"14,99 $",29.99,"Était±  29,99 $prix était 29,99 $",14.99,"14,99 $",14.99,"14,99 $",true,https://www.canadiantire.ca/fr/pdp/pere-noel-suspendu-gemmy-decoration-d-interieur-et-d-exterieur-5-pi-1513939p.html,https://www.canadiantire.ca/fr/pdp/pere-noel-suspendu-gemmy-decoration-d-interieur-et-d-exterieur-5-pi-1513939p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/christmas-lights-outdoor-decor/1513939/ctx-gemmy-5-hanging-santa-7de3a978-1b64-42f6-88a5-b14b74184e95-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/christmas-lights-outdoor-decor/1513939/ctx-gemmy-5-hanging-santa-7de3a978-1b64-42f6-88a5-b14b74184e95-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1513939,151-3939-0,Il n’en reste que 5 #151-3939-0,Liquidation◊Exclusivité,50.02,"14,99","29,99"
321,"Dufferin & 407, ON","NOMA - Demi sapin de Noël illuminé et enneigé avec support, 200 ampoules incandescentes, vert, 7 pi","NOMA - Demi sapin de Noël illuminé et enneigé avec support, 200 ampoules incandescentes, vert, 7 pi",89.99,"89,99 $",189.99,"Était±  189,99 $prix était 189,99 $",89.99,"89,99 $",89.99,"89,99 $",true,https://www.canadiantire.ca/fr/pdp/noma-demi-sapin-de-noel-illumine-et-enneige-avec-support-200-ampoules-incandescentes-vert-7-pi-1517194p.html,https://www.canadiantire.ca/fr/pdp/noma-demi-sapin-de-noel-illumine-et-enneige-avec-support-200-ampoules-incandescentes-vert-7-pi-1517194p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/christmas-trees/1517194/noma-7-half-green-tree-6881c6b6-9448-453a-be5a-e16a71d41107-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/christmas-trees/1517194/noma-7-half-green-tree-6881c6b6-9448-453a-be5a-e16a71d41107-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1517194,151-7194-6,Il n’en reste que 3 #151-7194-6,Liquidation◊Mieux notés,52.63,"89,99","189,99"
321,"Dufferin & 407, ON","Liquide de protection contre les inondations Flex Seal, protection imperméable contre les inondations, 10 oz","Liquide de protection contre les inondations Flex Seal, protection imperméable contre les inondations, 10 oz",14.93,"14,93 $",29.99,"Était±  29,99 $prix était 29,99 $",14.93,"14,93 $",14.93,"14,93 $",true,https://www.canadiantire.ca/fr/pdp/liquide-de-protection-contre-les-inondations-flex-seal-protection-impermeable-contre-les-inondations-10-oz-0641544p.html,https://www.canadiantire.ca/fr/pdp/liquide-de-protection-contre-les-inondations-flex-seal-protection-impermeable-contre-les-inondations-10-oz-0641544p.html,https://media-www.canadiantire.ca/product/fixing/paint/surface-prep-maintenance/0641544/flex-seal-liquid-flood-protection-10-oz--1160382c-9005-48e6-a50c-ea4ef2e9c99d-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/paint/surface-prep-maintenance/0641544/flex-seal-liquid-flood-protection-10-oz--1160382c-9005-48e6-a50c-ea4ef2e9c99d-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0641544,064-1544-8,Il n’en reste que 6 #064-1544-8,Liquidation◊,50.22,"14,93","29,99"
321,"Dufferin & 407, ON","Applique de salle de bains à 3 lampes CANVAS Hilliard, nickel poli","Applique de salle de bains à 3 lampes CANVAS Hilliard, nickel poli",39.93,"39,93 $",79.99,"Était±  79,99 $prix était 79,99 $",39.93,"39,93 $",39.93,"39,93 $",true,https://www.canadiantire.ca/fr/pdp/applique-de-salle-de-bains-a-3-lampes-canvas-hilliard-nickel-poli-1522633p.html,https://www.canadiantire.ca/fr/pdp/applique-de-salle-de-bains-a-3-lampes-canvas-hilliard-nickel-poli-1522633p.html,https://media-www.canadiantire.ca/product/living/home-decor/lighting/1522633/canvas-hilliard-vanity-light-7d421889-0df0-46dd-92ad-b31019a97606-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/lighting/1522633/canvas-hilliard-vanity-light-7d421889-0df0-46dd-92ad-b31019a97606-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1522633,152-2633-0,Il n’en reste que 2 #152-2633-0,Liquidation◊Exclusivité,50.08,"39,93","79,99"
321,"Dufferin & 407, ON",Montre intelligente ApexFit E02L avec écran tactile,Montre intelligente ApexFit E02L avec écran tactile,12.93,"12,93 $",49.99,"Était±  49,99 $prix était 49,99 $",12.93,"12,93 $",12.93,"12,93 $",true,https://www.canadiantire.ca/fr/pdp/montre-intelligente-apexfit-e02l-avec-ecran-tactile-0356234p.html,https://www.canadiantire.ca/fr/pdp/montre-intelligente-apexfit-e02l-avec-ecran-tactile-0356234p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-electronics/0356234/e02l-smartwatch-d3053f39-f35f-4575-8d88-e40940e165dc-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-electronics/0356234/e02l-smartwatch-d3053f39-f35f-4575-8d88-e40940e165dc-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0356234,035-6234-6,50 En Stock#035-6234-6,Liquidation◊,74.13,"12,93","49,99"
321,"Dufferin & 407, ON",Démarreur à distance SmartStart 3G,Démarreur à distance SmartStart 3G,39.93,"39,93 $",249.99,"Était±  249,99 $prix était 249,99 $",39.93,"39,93 $",39.93,"39,93 $",true,https://www.canadiantire.ca/fr/pdp/demarreur-a-distance-smartstart-3g-0340841p.html,https://www.canadiantire.ca/fr/pdp/demarreur-a-distance-smartstart-3g-0340841p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-electronics/0340841/smartstart-3g-remote-starter-d554ce87-b7eb-4d01-828e-af7e593ef90b-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-electronics/0340841/smartstart-3g-remote-starter-d554ce87-b7eb-4d01-828e-af7e593ef90b-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0340841,034-0841-8,Il n’en reste que 2 #034-0841-8,Liquidation◊,84.03,"39,93","249,99"
