store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
349,"Saint John Fairville, NB","Vélo hybride Raleigh Sundance, 700C, cuivré","Vélo hybride Raleigh Sundance, 700C, cuivré",249.93,"249,93 $",539.99,"Était±  539,99 $prix était 539,99 $",249.93,"249,93 $",249.93,"249,93 $",true,https://www.canadiantire.ca/fr/pdp/velo-hybride-raleigh-sundance-700c-cuivre-0711982p.html,https://www.canadiantire.ca/fr/pdp/velo-hybride-raleigh-sundance-700c-cuivre-0711982p.html,https://media-www.canadiantire.ca/product/playing/cycling/bicycles/0711982/raleigh-sundance-women-s-hybrid-bike-700c-3bb8d501-e6aa-426e-8174-061f74e98473-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/cycling/bicycles/0711982/raleigh-sundance-women-s-hybrid-bike-700c-3bb8d501-e6aa-426e-8174-061f74e98473-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0711982,071-1982-6,Il n’en reste que 1 #071-1982-6,Liquidation◊Exclusivité,53.72,"249,93","539,99"
349,"Saint John Fairville, NB","Tabouret de bar métal et bois CANVAS Union, paq. 2, brun","Tabouret de bar métal et bois CANVAS Union, paq. 2, brun",74.93,"74,93 $",229.99,"Était±  229,99 $prix était 229,99 $",74.93,"74,93 $",74.93,"74,93 $",true,https://www.canadiantire.ca/fr/pdp/tabouret-de-bar-metal-et-bois-canvas-union-paq-2-brun-0687563p.html,https://www.canadiantire.ca/fr/pdp/tabouret-de-bar-metal-et-bois-canvas-union-paq-2-brun-0687563p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/0687563/canvas-union-stool-2-pk-29ecf7e3-3af9-4631-ab03-ba8946104db3-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/0687563/canvas-union-stool-2-pk-29ecf7e3-3af9-4631-ab03-ba8946104db3-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0687563,068-7563-8,Il n’en reste que 4 #068-7563-8,Liquidation◊Mieux notés,67.42,"74,93","229,99"
349,"Saint John Fairville, NB","Présentoir d'articles saisonniers Mastercraft avec chariot à plateforme roulante, noir","Présentoir d'articles saisonniers Mastercraft avec chariot à plateforme roulante, noir",149.93,"149,93 $",299.99,"Était±  299,99 $prix était 299,99 $",149.93,"149,93 $",149.93,"149,93 $",true,https://www.canadiantire.ca/fr/pdp/presentoir-d-articles-saisonniers-mastercraft-avec-chariot-a-plateforme-roulante-noir-0681822p.html,https://www.canadiantire.ca/fr/pdp/presentoir-d-articles-saisonniers-mastercraft-avec-chariot-a-plateforme-roulante-noir-0681822p.html,https://media-www.canadiantire.ca/product/fixing/tools/garage-organization/0681822/mastercraft-seasonal-storage-rack-4657eb31-2d51-419f-a388-3dcc3e45f853-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/tools/garage-organization/0681822/mastercraft-seasonal-storage-rack-4657eb31-2d51-419f-a388-3dcc3e45f853-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0681822,068-1822-8,Il n’en reste que 2 #068-1822-8,Liquidation◊Mieux notés,50.02,"149,93","299,99"
349,"Saint John Fairville, NB","Meuble pour téléviseur avec foyer électrique multimédia CANVAS Lotus, 67 po, 1 500 W, télécommande comprise, brun","Meuble pour téléviseur avec foyer électrique multimédia CANVAS Lotus, 67 po, 1 500 W, télécommande comprise, brun",274.93,"274,93 $",551.34,"Était±  551,34 $prix était 551,34 $",274.93,"274,93 $",274.93,"274,93 $",true,https://www.canadiantire.ca/fr/pdp/meuble-pour-televiseur-avec-foyer-electrique-multimedia-canvas-lotus-67-po-1-500-w-telecommande-comprise-brun-0643590p.html,https://www.canadiantire.ca/fr/pdp/meuble-pour-televiseur-avec-foyer-electrique-multimedia-canvas-lotus-67-po-1-500-w-telecommande-comprise-brun-0643590p.html,https://media-www.canadiantire.ca/product/living/home-decor/electric-fireplaces/0643590/masterflame-lotus-fireplace-29773e4b-4b40-472b-be08-9c8722e7d97f-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/electric-fireplaces/0643590/masterflame-lotus-fireplace-29773e4b-4b40-472b-be08-9c8722e7d97f-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0643590,064-3590-4,Il n’en reste que 5 #064-3590-4,Liquidation◊Exclusivité,50.13,"274,93","551,34"
349,"Saint John Fairville, NB",Trousse de départ pour conservation et entreposage d'aliments Fresh & Save de Zwilling avec pompe à dépression portative,Trousse de départ pour conservation et entreposage d'aliments Fresh & Save de Zwilling avec pompe à dépression portative,49.93,"49,93 $",189.99,"Était±  189,99 $prix était 189,99 $",49.93,"49,93 $",49.93,"49,93 $",true,https://www.canadiantire.ca/fr/pdp/trousse-de-depart-pour-conservation-et-entreposage-d-aliments-fresh-save-de-zwilling-avec-pompe-a-depression-portative-0430335p.html,https://www.canadiantire.ca/fr/pdp/trousse-de-depart-pour-conservation-et-entreposage-d-aliments-fresh-save-de-zwilling-avec-pompe-a-depression-portative-0430335p.html,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0430335/zwilling-food-storage-starter-kit-8pc-ee27a980-a5f6-4ca9-860b-310987524806-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0430335/zwilling-food-storage-starter-kit-8pc-ee27a980-a5f6-4ca9-860b-310987524806-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0430335,043-0335-2,13 En Stock#043-0335-2,Liquidation◊Mieux notés,73.72,"49,93","189,99"
349,"Saint John Fairville, NB","Vaporisateur scellant finition Chemical Guys, mat méticuleux","Vaporisateur scellant finition Chemical Guys, mat méticuleux",9.93,"9,93 $",19.99,"Était±  19,99 $prix était 19,99 $",9.93,"9,93 $",9.93,"9,93 $",true,https://www.canadiantire.ca/fr/pdp/vaporisateur-scellant-finition-chemical-guys-mat-meticuleux-0390769p.html,https://www.canadiantire.ca/fr/pdp/vaporisateur-scellant-finition-chemical-guys-mat-meticuleux-0390769p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-cleaning-chemicals/0390769/chemical-guys-meticulous-matte-detailer-spray-and-sealant-c33054a9-2fc8-4ba6-a844-f2cd9bc885c1-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-cleaning-chemicals/0390769/chemical-guys-meticulous-matte-detailer-spray-and-sealant-c33054a9-2fc8-4ba6-a844-f2cd9bc885c1-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0390769,039-0769-2,Il n’en reste que 6 #039-0769-2,Liquidation◊Mieux notés,50.33,"9,93","19,99"
349,"Saint John Fairville, NB","Plaques en caoutchouc pour l'article 060-0583 (souffleuse à neige à cordon électrique Yardworks, 15 A, 22 po)","Plaques en caoutchouc pour l'article 060-0583 (souffleuse à neige à cordon électrique Yardworks, 15 A, 22 po)",9.53,"9,53 $",29.99,"Était±  29,99 $prix était 29,99 $",9.53,"9,53 $",9.53,"9,53 $",true,https://www.canadiantire.ca/fr/pdp/plaques-en-caoutchouc-pour-l-article-060-0583-souffleuse-a-neige-a-cordon-electrique-yardworks-15-a-22-po-0604025p.html,https://www.canadiantire.ca/fr/pdp/plaques-en-caoutchouc-pour-l-article-060-0583-souffleuse-a-neige-a-cordon-electrique-yardworks-15-a-22-po-0604025p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/outdoor-tools/ope-parts-accessories/0604025/rubber-plate-for-0600583-yardworks-corded-snowblower-22--caf4d2ed-2594-450f-a7cb-5defb16b9099-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/outdoor-tools/ope-parts-accessories/0604025/rubber-plate-for-0600583-yardworks-corded-snowblower-22--caf4d2ed-2594-450f-a7cb-5defb16b9099-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0604025,060-4025-4,Il n’en reste que 1 #060-4025-4,Liquidation◊Mieux notés,68.22,"9,53","29,99"
349,"Saint John Fairville, NB",Lampe à pince rechargeable Nite Ize Radiant 170,Lampe à pince rechargeable Nite Ize Radiant 170,19.93,"19,93 $",39.99,"Était±  39,99 $prix était 39,99 $",19.93,"19,93 $",19.93,"19,93 $",true,https://www.canadiantire.ca/fr/pdp/lampe-a-pince-rechargeable-nite-ize-radiant-170-0766245p.html,https://www.canadiantire.ca/fr/pdp/lampe-a-pince-rechargeable-nite-ize-radiant-170-0766245p.html,https://media-www.canadiantire.ca/product/playing/camping/camping-accessories/0766245/radiant-170-rechargeable-headlamp-9836632e-791a-4077-8a45-a7b93013219a-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/camping/camping-accessories/0766245/radiant-170-rechargeable-headlamp-9836632e-791a-4077-8a45-a7b93013219a-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0766245,076-6245-2,9 En Stock#076-6245-2,Liquidation◊Mieux notés,50.16,"19,93","39,99"
349,"Saint John Fairville, NB","Embout de vaporisateur Graco TrueAirless 211, noir/argenté","Embout de vaporisateur Graco TrueAirless 211, noir/argenté",29.93,"29,93 $",59.99,"Était±  59,99 $prix était 59,99 $",29.93,"29,93 $",29.93,"29,93 $",true,https://www.canadiantire.ca/fr/pdp/embout-de-vaporisateur-graco-trueairless-211-noir-argente-0492550p.html,https://www.canadiantire.ca/fr/pdp/embout-de-vaporisateur-graco-trueairless-211-noir-argente-0492550p.html,https://media-www.canadiantire.ca/product/fixing/paint/paint-accessories/0492550/trueairless-211-spray-tip-06eceb0d-d65e-4b23-9264-8f429158fcbf-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/paint/paint-accessories/0492550/trueairless-211-spray-tip-06eceb0d-d65e-4b23-9264-8f429158fcbf-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0492550,049-2550-4,Il n’en reste que 2 #049-2550-4,Liquidation◊Mieux notés,50.11,"29,93","59,99"
349,"Saint John Fairville, NB","Dandinette brillante Matzuo, 1/4 oz","Dandinette brillante Matzuo, 1/4 oz",2.23,"2,23 $",5.49,"5,49 $Était   et+ prix était à partir de 5,49 $",2.23,"2,23 $",2.23,"2,23 $",true,https://www.canadiantire.ca/fr/pdp/dandinette-brillante-matzuo-1-4-oz-1784488p.html,https://www.canadiantire.ca/fr/pdp/dandinette-brillante-matzuo-1-4-oz-1784488p.html,https://media-www.canadiantire.ca/product/playing/fishing/fishing-lures/1784490/matzuo-glitter-jig-blue-1-4-oz-e61a0462-5496-4c0f-9d2c-f90c8c8c0fde-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/fishing/fishing-lures/1784490/matzuo-glitter-jig-blue-1-4-oz-e61a0462-5496-4c0f-9d2c-f90c8c8c0fde-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1784488,178-4488,,Liquidation◊Exclusivité,59.38,"2,23","5,49"
