store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
41,"Dartmouth Crossing, NS","Échelle de piscine en A en acier Bestway Flowclear avec rampe, 42 po","Échelle de piscine en A en acier Bestway Flowclear avec rampe, 42 po",4.97,"4,97 $",99.99,"Était±  99,99 $prix était 99,99 $",4.97,"4,97 $",4.97,"4,97 $",true,https://www.canadiantire.ca/fr/pdp/echelle-de-piscine-en-a-en-acier-bestway-flowclear-avec-rampe-42-po-0813926p.html,https://www.canadiantire.ca/fr/pdp/echelle-de-piscine-en-a-en-acier-bestway-flowclear-avec-rampe-42-po-0813926p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-fun/pool-maintenance/0813926/42-pool-ladder-1e5af39a-d711-4efc-88d9-7f79508fac9d-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-fun/pool-maintenance/0813926/42-pool-ladder-1e5af39a-d711-4efc-88d9-7f79508fac9d-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0813926,081-3926-6,159 En Stock#081-3926-6,Liquidation◊,95.03,"4,97","99,99"
41,"Dartmouth Crossing, NS",Abri de camping à auvent chapiteau Woods,Abri de camping à auvent chapiteau Woods,69.97,"69,97 $",289.99,"Était±  289,99 $prix était 289,99 $",69.97,"69,97 $",69.97,"69,97 $",true,https://www.canadiantire.ca/fr/pdp/abri-de-camping-a-auvent-chapiteau-woods-0766532p.html,https://www.canadiantire.ca/fr/pdp/abri-de-camping-a-auvent-chapiteau-woods-0766532p.html,https://media-www.canadiantire.ca/product/playing/camping/tents-shelters/0766532/woods-marquee-camp-shelter-098d48ca-7473-4b64-a3a7-00643d1edbd7-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/camping/tents-shelters/0766532/woods-marquee-camp-shelter-098d48ca-7473-4b64-a3a7-00643d1edbd7-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0766532,076-6532-8,Il n’en reste que 4 #076-6532-8,Liquidation◊Mieux notés,75.87,"69,97","289,99"
41,"Dartmouth Crossing, NS","Tasses à mesurer empilables en plastique MASTER Chef, paq. 10","Tasses à mesurer empilables en plastique MASTER Chef, paq. 10",4.97,"4,97 $",24.99,"Était±  24,99 $prix était 24,99 $",4.97,"4,97 $",4.97,"4,97 $",true,https://www.canadiantire.ca/fr/pdp/tasses-a-mesurer-empilables-en-plastique-master-chef-paq-10-1429676p.html,https://www.canadiantire.ca/fr/pdp/tasses-a-mesurer-empilables-en-plastique-master-chef-paq-10-1429676p.html,https://media-www.canadiantire.ca/product/living/kitchen/bakeware-baking-prep/1429676/master-chef-10pc-measuring-cup-set-73c761cb-c28c-42fe-a32e-f57a30c6b9a6-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/bakeware-baking-prep/1429676/master-chef-10pc-measuring-cup-set-73c761cb-c28c-42fe-a32e-f57a30c6b9a6-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1429676,142-9676-0,19 En Stock#142-9676-0,Liquidation◊Mieux notés,80.11,"4,97","24,99"
41,"Dartmouth Crossing, NS","Lit de camp pliant portatif pour chiens Woods DOG-WOOD avec sac de transport, capacité de 70 lb, bleu","Lit de camp pliant portatif pour chiens Woods DOG-WOOD avec sac de transport, capacité de 70 lb, bleu",12.97,"12,97 $",79.99,"Était±  79,99 $prix était 79,99 $",12.97,"12,97 $",12.97,"12,97 $",true,https://www.canadiantire.ca/fr/pdp/lit-de-camp-pliant-portatif-pour-chiens-woods-dog-wood-avec-sac-de-transport-capacite-de-70-lb-bleu-0766424p.html,https://www.canadiantire.ca/fr/pdp/lit-de-camp-pliant-portatif-pour-chiens-woods-dog-wood-avec-sac-de-transport-capacite-de-70-lb-bleu-0766424p.html,https://media-www.canadiantire.ca/product/playing/camping/camping-accessories/0766424/woods-dogwood-quad-fold-pet-cot-fe2e4cef-58fa-4578-93b8-795fe70105e1-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/camping/camping-accessories/0766424/woods-dogwood-quad-fold-pet-cot-fe2e4cef-58fa-4578-93b8-795fe70105e1-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0766424,076-6424-6,Il n’en reste que 2 #076-6424-6,Liquidation◊Mieux notés,83.79,"12,97","79,99"
41,"Dartmouth Crossing, NS","Housse de pare-brise 2-en-1 MyRide pour soleil et neige, convient à la plupart des véhicules","Housse de pare-brise 2-en-1 MyRide pour soleil et neige, convient à la plupart des véhicules",9.97,"9,97 $",32.99,"Était±  32,99 $prix était 32,99 $",9.97,"9,97 $",9.97,"9,97 $",true,https://www.canadiantire.ca/fr/pdp/housse-de-pare-brise-2-en-1-myride-pour-soleil-et-neige-convient-a-la-plupart-des-vehicules-0304491p.html,https://www.canadiantire.ca/fr/pdp/housse-de-pare-brise-2-en-1-myride-pour-soleil-et-neige-convient-a-la-plupart-des-vehicules-0304491p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-winter-accessories/0304491/myride-sun-and-snow-windshield-cover-1d0e1f73-cc79-4090-b8a5-bdaefbe970b7-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-winter-accessories/0304491/myride-sun-and-snow-windshield-cover-1d0e1f73-cc79-4090-b8a5-bdaefbe970b7-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0304491,030-4491-4,181 En Stock#030-4491-4,Liquidation◊Articles à succès,69.78,"9,97","32,99"
41,"Dartmouth Crossing, NS","Sorbetière numérique Vida par PADERNO, machine à crème glacée et gâteries 4-en-1, acier inoxydable, 1,9 L","Sorbetière numérique Vida par PADERNO, machine à crème glacée et gâteries 4-en-1, acier inoxydable, 1,9 L",69.97,"69,97 $",149.99,"Était±  149,99 $prix était 149,99 $",69.97,"69,97 $",69.97,"69,97 $",true,https://www.canadiantire.ca/fr/pdp/sorbetiere-numerique-vida-par-paderno-machine-a-creme-glacee-et-gateries-4-en-1-acier-inoxydable-1-9-l-0431564p.html,https://www.canadiantire.ca/fr/pdp/sorbetiere-numerique-vida-par-paderno-machine-a-creme-glacee-et-gateries-4-en-1-acier-inoxydable-1-9-l-0431564p.html,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0431564/vida-by-paderno-ice-cream-maker-cab802eb-a002-46c2-b174-7fca7a24c75c-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0431564/vida-by-paderno-ice-cream-maker-cab802eb-a002-46c2-b174-7fca7a24c75c-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0431564,043-1564-0,20 En Stock#043-1564-0,Liquidation◊Mieux notés,53.35,"69,97","149,99"
41,"Dartmouth Crossing, NS","Service de vaisselle coupé en grès MasterChef pour 8 personnes, paq. 24, bleu sodalite","Service de vaisselle coupé en grès MasterChef pour 8 personnes, paq. 24, bleu sodalite",39.97,"39,97 $",99.99,"Était±  99,99 $prix était 99,99 $",39.97,"39,97 $",39.97,"39,97 $",true,https://www.canadiantire.ca/fr/pdp/service-de-vaisselle-coupe-en-gres-masterchef-pour-8-personnes-paq-24-bleu-sodalite-2421196p.html,https://www.canadiantire.ca/fr/pdp/service-de-vaisselle-coupe-en-gres-masterchef-pour-8-personnes-paq-24-bleu-sodalite-2421196p.html,https://media-www.canadiantire.ca/product/living/kitchen/dining-and-entertaining/2421196/master-chef-essential-coupe-24pc-dinnerware-set-blue-c85cb18a-8249-4642-84cd-a5744c25b94f-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/dining-and-entertaining/2421196/master-chef-essential-coupe-24pc-dinnerware-set-blue-c85cb18a-8249-4642-84cd-a5744c25b94f-jpgrendition.jpg?im=whresize&wid=200&hei=200,,2421196,242-1196-2,Il n’en reste que 7 #242-1196-2,Liquidation◊Exclusivité,60.03,"39,97","99,99"
41,"Dartmouth Crossing, NS","Ponceuse à bande Mastercraft 20 V, sans balais","Ponceuse à bande Mastercraft 20 V, sans balais",12.97,"12,97 $",134.99,"Était±  134,99 $prix était 134,99 $",12.97,"12,97 $",12.97,"12,97 $",true,https://www.canadiantire.ca/fr/pdp/ponceuse-a-bande-mastercraft-20-v-sans-balais-0547577p.html,https://www.canadiantire.ca/fr/pdp/ponceuse-a-bande-mastercraft-20-v-sans-balais-0547577p.html,https://media-www.canadiantire.ca/product/fixing/tools/portable-power-tools/0547577/mastercraft-20v-belt-sander-29b77927-3d92-4f92-b246-28781e24ea2d-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/tools/portable-power-tools/0547577/mastercraft-20v-belt-sander-29b77927-3d92-4f92-b246-28781e24ea2d-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0547577,054-7577-8,Il n’en reste que 6 #054-7577-8,Liquidation◊Mieux notés,90.39,"12,97","134,99"
41,"Dartmouth Crossing, NS",Support d'entraînement à vélo d'intérieur Raleigh,Support d'entraînement à vélo d'intérieur Raleigh,49.97,"49,97 $",219.99,"Était±  219,99 $prix était 219,99 $",49.97,"49,97 $",49.97,"49,97 $",true,https://www.canadiantire.ca/fr/pdp/support-d-entrainement-a-velo-d-interieur-raleigh-0730584p.html,https://www.canadiantire.ca/fr/pdp/support-d-entrainement-a-velo-d-interieur-raleigh-0730584p.html,https://media-www.canadiantire.ca/product/playing/cycling/bicycle-accessories/0730584/raleigh-bike-trainer-e2630b61-37b1-4963-ba4f-de2eb849f90f-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/cycling/bicycle-accessories/0730584/raleigh-bike-trainer-e2630b61-37b1-4963-ba4f-de2eb849f90f-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0730584,073-0584-6,75 En Stock#073-0584-6,Liquidation◊Mieux notés,77.29,"49,97","219,99"
41,"Dartmouth Crossing, NS","Dispositif de géolocalisation Bluetooth Bluehive, paq. 2","Dispositif de géolocalisation Bluetooth Bluehive, paq. 2",18.97,"18,97 $",37.99,"Était±  37,99 $prix était 37,99 $",18.97,"18,97 $",18.97,"18,97 $",true,https://www.canadiantire.ca/fr/pdp/dispositif-de-geolocalisation-bluetooth-bluehive-paq-2-0355475p.html,https://www.canadiantire.ca/fr/pdp/dispositif-de-geolocalisation-bluetooth-bluehive-paq-2-0355475p.html,https://media-www.canadiantire.ca/product/automotive/electronics/mobile-electronics/0355475/bluetooth-item-tracker-2-pack-86e73bc6-6622-4979-abea-6a9516c11a63-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/electronics/mobile-electronics/0355475/bluetooth-item-tracker-2-pack-86e73bc6-6622-4979-abea-6a9516c11a63-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0355475,035-5475-8,15 En Stock#035-5475-8,Liquidation◊Mieux notés,50.07,"18,97","37,99"
