store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
444,"Barrie South, ON",Trousse de départ pour conservation et entreposage d'aliments Fresh & Save de Zwilling avec pompe à dépression portative,Trousse de départ pour conservation et entreposage d'aliments Fresh & Save de Zwilling avec pompe à dépression portative,59.99,"59,99 $",189.99,"Était±  189,99 $prix était 189,99 $",59.99,"59,99 $",59.99,"59,99 $",true,https://www.canadiantire.ca/fr/pdp/trousse-de-depart-pour-conservation-et-entreposage-d-aliments-fresh-save-de-zwilling-avec-pompe-a-depression-portative-0430335p.html,https://www.canadiantire.ca/fr/pdp/trousse-de-depart-pour-conservation-et-entreposage-d-aliments-fresh-save-de-zwilling-avec-pompe-a-depression-portative-0430335p.html,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0430335/zwilling-food-storage-starter-kit-8pc-ee27a980-a5f6-4ca9-860b-310987524806-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0430335/zwilling-food-storage-starter-kit-8pc-ee27a980-a5f6-4ca9-860b-310987524806-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0430335,043-0335-2,Il n’en reste que 4 #043-0335-2,Liquidation◊Mieux notés,68.42,"59,99","189,99"
444,"Barrie South, ON",Luge rapide H2O Spider avec direction et freins,Luge rapide H2O Spider avec direction et freins,39.93,"39,93 $",99.99,"Était±  99,99 $prix était 99,99 $",39.93,"39,93 $",39.93,"39,93 $",true,https://www.canadiantire.ca/fr/pdp/luge-rapide-h2o-spider-avec-direction-et-freins-0821088p.html,https://www.canadiantire.ca/fr/pdp/luge-rapide-h2o-spider-avec-direction-et-freins-0821088p.html,https://media-www.canadiantire.ca/product/playing/seasonal-recreation/winter-recreation/0821088/spider-snow-bike-e7a5d494-3744-4104-9151-337a07902637-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/seasonal-recreation/winter-recreation/0821088/spider-snow-bike-e7a5d494-3744-4104-9151-337a07902637-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0821088,082-1088-0,17 En Stock#082-1088-0,Liquidation◊Exclusivité,60.07,"39,93","99,99"
444,"Barrie South, ON","Liquide de protection contre les inondations Flex Seal, protection imperméable contre les inondations, 10 oz","Liquide de protection contre les inondations Flex Seal, protection imperméable contre les inondations, 10 oz",14.93,"14,93 $",29.99,"Était±  29,99 $prix était 29,99 $",14.93,"14,93 $",14.93,"14,93 $",true,https://www.canadiantire.ca/fr/pdp/liquide-de-protection-contre-les-inondations-flex-seal-protection-impermeable-contre-les-inondations-10-oz-0641544p.html,https://www.canadiantire.ca/fr/pdp/liquide-de-protection-contre-les-inondations-flex-seal-protection-impermeable-contre-les-inondations-10-oz-0641544p.html,https://media-www.canadiantire.ca/product/fixing/paint/surface-prep-maintenance/0641544/flex-seal-liquid-flood-protection-10-oz--1160382c-9005-48e6-a50c-ea4ef2e9c99d-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/paint/surface-prep-maintenance/0641544/flex-seal-liquid-flood-protection-10-oz--1160382c-9005-48e6-a50c-ea4ef2e9c99d-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0641544,064-1544-8,Il n’en reste que 7 #064-1544-8,Liquidation◊,50.22,"14,93","29,99"
444,"Barrie South, ON","Chocolat au lait Lindt Lindor, paq. 3","Chocolat au lait Lindt Lindor, paq. 3",1.49,"1,49 $",3.29,"Était±  3,29 $prix était 3,29 $",1.49,"1,49 $",1.49,"1,49 $",true,https://www.canadiantire.ca/fr/pdp/chocolat-au-lait-lindt-lindor-paq-3-0514277p.html,https://www.canadiantire.ca/fr/pdp/chocolat-au-lait-lindt-lindor-paq-3-0514277p.html,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/0514277/lindor-milk-chocolates-pkg-3-8fb49e05-e5f6-4469-a254-3095f4142572-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/0514277/lindor-milk-chocolates-pkg-3-8fb49e05-e5f6-4469-a254-3095f4142572-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0514277,051-4277-6,Il n’en reste que 3 #051-4277-6,Liquidation◊Mieux notés,54.71,"1,49","3,29"
444,"Barrie South, ON","Chocolat au lait Terry's orange et menthe, friandise de Noël, 145 g","Chocolat au lait Terry's orange et menthe, friandise de Noël, 145 g",3.99,"3,99 $",7.99,"Était±  7,99 $prix était 7,99 $",3.99,"3,99 $",3.99,"3,99 $",true,https://www.canadiantire.ca/fr/pdp/chocolat-au-lait-terry-s-orange-et-menthe-friandise-de-noel-145-g-1515263p.html,https://www.canadiantire.ca/fr/pdp/chocolat-au-lait-terry-s-orange-et-menthe-friandise-de-noel-145-g-1515263p.html,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1515263/terry-s-orange-milk-chocolate-mint-145-g-29aafce6-9464-456b-b88a-c9bb4f5f1f35-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1515263/terry-s-orange-milk-chocolate-mint-145-g-29aafce6-9464-456b-b88a-c9bb4f5f1f35-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1515263,151-5263-4,16 En Stock#151-5263-4,Liquidation◊Mieux notés,50.06,"3,99","7,99"
444,"Barrie South, ON","Bouchées au chocolat Laura Secord, 210 g","Bouchées au chocolat Laura Secord, 210 g",4.99,"4,99 $",9.99,"Était±  9,99 $prix était 9,99 $",4.99,"4,99 $",4.99,"4,99 $",true,https://www.canadiantire.ca/fr/pdp/bouchees-au-chocolat-laura-secord-210-g-1519554p.html,https://www.canadiantire.ca/fr/pdp/bouchees-au-chocolat-laura-secord-210-g-1519554p.html,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1519554/laura-secord-chocolate-bites-210g-a3bb2f43-c3fc-4067-9a4e-8c29a52be682-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1519554/laura-secord-chocolate-bites-210g-a3bb2f43-c3fc-4067-9a4e-8c29a52be682-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1519554,151-9554-8,,Liquidation◊Mieux notés,50.05,"4,99","9,99"
444,"Barrie South, ON","Chocolat au lait de Noël M&M's avec livre de contes des Fêtes, 8 sacs de taille amusante, 104 g","Chocolat au lait de Noël M&M's avec livre de contes des Fêtes, 8 sacs de taille amusante, 104 g",1.99,"1,99 $",4.29,"Était±  4,29 $prix était 4,29 $",1.99,"1,99 $",1.99,"1,99 $",true,https://www.canadiantire.ca/fr/pdp/chocolat-au-lait-de-noel-m-m-s-avec-livre-de-contes-des-fetes-8-sacs-de-taille-amusante-104-g-1515245p.html,https://www.canadiantire.ca/fr/pdp/chocolat-au-lait-de-noel-m-m-s-avec-livre-de-contes-des-fetes-8-sacs-de-taille-amusante-104-g-1515245p.html,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1515245/mms-milk-chocolate-fun-book-8-pk-c37583f9-937f-4253-899f-10d95b033754-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1515245/mms-milk-chocolate-fun-book-8-pk-c37583f9-937f-4253-899f-10d95b033754-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1515245,151-5245-8,,Liquidation◊Mieux notés,53.61,"1,99","4,29"
444,"Barrie South, ON","Chaises de salle à manger rembourrées tête de clou avec pattes en bois massif CANVAS Regent, paq. 2, gris","Chaises de salle à manger rembourrées tête de clou avec pattes en bois massif CANVAS Regent, paq. 2, gris",89.99,"89,99 $",189.99,"Était±  189,99 $prix était 189,99 $",89.99,"89,99 $",89.99,"89,99 $",true,https://www.canadiantire.ca/fr/pdp/chaises-de-salle-a-manger-rembourrees-tete-de-clou-avec-pattes-en-bois-massif-canvas-regent-paq-2-gris-1680087p.html,https://www.canadiantire.ca/fr/pdp/chaises-de-salle-a-manger-rembourrees-tete-de-clou-avec-pattes-en-bois-massif-canvas-regent-paq-2-gris-1680087p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680087/canvas-regent-chair-2-pack-d7669315-d5c9-4944-9fa5-af38fa9fb225-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680087/canvas-regent-chair-2-pack-d7669315-d5c9-4944-9fa5-af38fa9fb225-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1680087,168-0087-6,13 En Stock#168-0087-6,Liquidation◊Exclusivité,52.63,"89,99","189,99"
444,"Barrie South, ON","Robinet de lavabo de salle de bains central Danze Karter à double poignée et à tirette de vidage, 4 po, chrome","Robinet de lavabo de salle de bains central Danze Karter à double poignée et à tirette de vidage, 4 po, chrome",69.93,"69,93 $",139.99,"Était±  139,99 $prix était 139,99 $",69.93,"69,93 $",69.93,"69,93 $",true,https://www.canadiantire.ca/fr/pdp/robinet-de-lavabo-de-salle-de-bains-central-danze-karter-a-double-poignee-et-a-tirette-de-vidage-4-po-chrome-0639924p.html,https://www.canadiantire.ca/fr/pdp/robinet-de-lavabo-de-salle-de-bains-central-danze-karter-a-double-poignee-et-a-tirette-de-vidage-4-po-chrome-0639924p.html,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0639924/danze-karter-bathroom-faucet-chrome-36528825-a25c-4055-8e3a-ba9094a26958-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0639924/danze-karter-bathroom-faucet-chrome-36528825-a25c-4055-8e3a-ba9094a26958-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0639924,063-9924-8,Il n’en reste que 1 #063-9924-8,Liquidation◊Mieux notés,50.05,"69,93","139,99"
444,"Barrie South, ON","Robinet de lavabo de salle de bains central Kohler Elliston, poignée simple, 4 po, chrome","Robinet de lavabo de salle de bains central Kohler Elliston, poignée simple, 4 po, chrome",89.93,"89,93 $",219.99,"Était±  219,99 $prix était 219,99 $",89.93,"89,93 $",89.93,"89,93 $",true,https://www.canadiantire.ca/fr/pdp/robinet-de-lavabo-de-salle-de-bains-central-kohler-elliston-poignee-simple-4-po-chrome-0634706p.html,https://www.canadiantire.ca/fr/pdp/robinet-de-lavabo-de-salle-de-bains-central-kohler-elliston-poignee-simple-4-po-chrome-0634706p.html,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0634706/kohler-elliston-single-handle-bathroom-faucet-chrome-7be1b633-b7fd-4f21-b52c-2ca3dce69d10-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0634706/kohler-elliston-single-handle-bathroom-faucet-chrome-7be1b633-b7fd-4f21-b52c-2ca3dce69d10-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0634706,063-4706-8,Il n’en reste que 1 #063-4706-8,Liquidation◊Mieux notés,59.12,"89,93","219,99"
