store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
45,"Hamilton Main, ON",Luge rapide H2O Spider avec direction et freins,Luge rapide H2O Spider avec direction et freins,39.93,"39,93 $",99.99,"Était±  99,99 $prix était 99,99 $",39.93,"39,93 $",39.93,"39,93 $",true,https://www.canadiantire.ca/fr/pdp/luge-rapide-h2o-spider-avec-direction-et-freins-0821088p.html,https://www.canadiantire.ca/fr/pdp/luge-rapide-h2o-spider-avec-direction-et-freins-0821088p.html,https://media-www.canadiantire.ca/product/playing/seasonal-recreation/winter-recreation/0821088/spider-snow-bike-e7a5d494-3744-4104-9151-337a07902637-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/seasonal-recreation/winter-recreation/0821088/spider-snow-bike-e7a5d494-3744-4104-9151-337a07902637-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0821088,082-1088-0,Il n’en reste que 2 #082-1088-0,Liquidation◊Exclusivité,60.07,"39,93","99,99"
45,"Hamilton Main, ON","Super liquide de refroidissement Hy-Per Lube pour moteur au diesel, 532 mL","Super liquide de refroidissement Hy-Per Lube pour moteur au diesel, 532 mL",3.93,"3,93 $",16.99,"Était±  16,99 $prix était 16,99 $",3.93,"3,93 $",3.93,"3,93 $",true,https://www.canadiantire.ca/fr/pdp/super-liquide-de-refroidissement-hy-per-lube-pour-moteur-au-diesel-532-ml-0380876p.html,https://www.canadiantire.ca/fr/pdp/super-liquide-de-refroidissement-hy-per-lube-pour-moteur-au-diesel-532-ml-0380876p.html,https://media-www.canadiantire.ca/product/automotive/auto-maintenance/auto-fluids/0380876/hy-per-lube-diesel-super-coolant-473ml-700c85a7-1297-4fed-a610-320bf25accd7.png?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/auto-maintenance/auto-fluids/0380876/hy-per-lube-diesel-super-coolant-473ml-700c85a7-1297-4fed-a610-320bf25accd7.png?im=whresize&wid=200&hei=200,,0380876,038-0876-8,,Liquidation◊,76.87,"3,93","16,99"
45,"Hamilton Main, ON","Liquide à bulles It's Bubbles! sécuritaire et non toxique, transparent, 16 oz, 3 ans et plus, pour activités estivales/d'extérieur","Liquide à bulles It's Bubbles! sécuritaire et non toxique, transparent, 16 oz, 3 ans et plus, pour activités estivales/d'extérieur",0.93,"0,93 $",3.99,"Était±  3,99 $prix était 3,99 $",0.93,"0,93 $",0.93,"0,93 $",true,https://www.canadiantire.ca/fr/pdp/liquide-a-bulles-it-s-bubbles-securitaire-et-non-toxique-transparent-16-oz-3-ans-et-plus-pour-activites-estivales-d-exterieur-0505776p.html,https://www.canadiantire.ca/fr/pdp/liquide-a-bulles-it-s-bubbles-securitaire-et-non-toxique-transparent-16-oz-3-ans-et-plus-pour-activites-estivales-d-exterieur-0505776p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/toys/seasonal-toys/0505776/16-ounce-bubbles-6d4895d1-5834-46b1-b0f3-93dac481239e-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/toys/seasonal-toys/0505776/16-ounce-bubbles-6d4895d1-5834-46b1-b0f3-93dac481239e-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0505776,050-5776-4,11 En Stock#050-5776-4,Liquidation◊,76.69,"0,93","3,99"
45,"Hamilton Main, ON","Ornements de cocktails de Noël Cocktail Mix, saveurs assorties, paq. 3","Ornements de cocktails de Noël Cocktail Mix, saveurs assorties, paq. 3",4.99,"4,99 $",9.99,"Était±  9,99 $prix était 9,99 $",4.99,"4,99 $",4.99,"4,99 $",true,https://www.canadiantire.ca/fr/pdp/ornements-de-cocktails-de-noel-cocktail-mix-saveurs-assorties-paq-3-1517363p.html,https://www.canadiantire.ca/fr/pdp/ornements-de-cocktails-de-noel-cocktail-mix-saveurs-assorties-paq-3-1517363p.html,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1517363/cocktail-mix-ornaments-3-pk-5f476445-ab8c-48d9-a379-ef79f0bf609f-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1517363/cocktail-mix-ornaments-3-pk-5f476445-ab8c-48d9-a379-ef79f0bf609f-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1517363,151-7363-4,,Liquidation◊Mieux notés,50.05,"4,99","9,99"
45,"Hamilton Main, ON",Nettoyant injecteur diesel Howes Meaner Power Kleaner 946 mL,Nettoyant injecteur diesel Howes Meaner Power Kleaner 946 mL,9.93,"9,93 $",29.99,"Était±  29,99 $prix était 29,99 $",9.93,"9,93 $",9.93,"9,93 $",true,https://www.canadiantire.ca/fr/pdp/nettoyant-injecteur-diesel-howes-meaner-power-kleaner-946-ml-0380941p.html,https://www.canadiantire.ca/fr/pdp/nettoyant-injecteur-diesel-howes-meaner-power-kleaner-946-ml-0380941p.html,https://media-www.canadiantire.ca/product/automotive/auto-maintenance/auto-fluids/0380941/meaner-power-kleaner-946ml-1cff17a2-03bf-47ed-8421-e5b0672b1f2f-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/auto-maintenance/auto-fluids/0380941/meaner-power-kleaner-946ml-1cff17a2-03bf-47ed-8421-e5b0672b1f2f-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0380941,038-0941-2,Il n’en reste que 5 #038-0941-2,Liquidation◊Mieux notés,66.89,"9,93","29,99"
45,"Hamilton Main, ON",Montre intelligente ApexFit E02L avec écran tactile,Montre intelligente ApexFit E02L avec écran tactile,9.93,"9,93 $",49.99,"Était±  49,99 $prix était 49,99 $",9.93,"9,93 $",9.93,"9,93 $",true,https://www.canadiantire.ca/fr/pdp/montre-intelligente-apexfit-e02l-avec-ecran-tactile-0356234p.html,https://www.canadiantire.ca/fr/pdp/montre-intelligente-apexfit-e02l-avec-ecran-tactile-0356234p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-electronics/0356234/e02l-smartwatch-d3053f39-f35f-4575-8d88-e40940e165dc-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-electronics/0356234/e02l-smartwatch-d3053f39-f35f-4575-8d88-e40940e165dc-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0356234,035-6234-6,77 En Stock#035-6234-6,Liquidation◊,80.14,"9,93","49,99"
45,"Hamilton Main, ON",Démarreur à distance SmartStart 3G,Démarreur à distance SmartStart 3G,39.93,"39,93 $",249.99,"Était±  249,99 $prix était 249,99 $",39.93,"39,93 $",39.93,"39,93 $",true,https://www.canadiantire.ca/fr/pdp/demarreur-a-distance-smartstart-3g-0340841p.html,https://www.canadiantire.ca/fr/pdp/demarreur-a-distance-smartstart-3g-0340841p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-electronics/0340841/smartstart-3g-remote-starter-d554ce87-b7eb-4d01-828e-af7e593ef90b-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-electronics/0340841/smartstart-3g-remote-starter-d554ce87-b7eb-4d01-828e-af7e593ef90b-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0340841,034-0841-8,10 En Stock#034-0841-8,Liquidation◊,84.03,"39,93","249,99"
45,"Hamilton Main, ON","Tabouret de comptoir/bar For Living, noir, en similicuir et chrome à hauteur réglable","Tabouret de comptoir/bar For Living, noir, en similicuir et chrome à hauteur réglable",59.93,"59,93 $",149.99,"Était±  149,99 $prix était 149,99 $",59.93,"59,93 $",59.93,"59,93 $",true,https://www.canadiantire.ca/fr/pdp/tabouret-de-comptoir-bar-for-living-noir-en-similicuir-et-chrome-a-hauteur-reglable-0687902p.html,https://www.canadiantire.ca/fr/pdp/tabouret-de-comptoir-bar-for-living-noir-en-similicuir-et-chrome-a-hauteur-reglable-0687902p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/0687902/for-living-adjustable-stool-black-256c59c3-179d-40fc-b31b-d58f52d91477-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/0687902/for-living-adjustable-stool-black-256c59c3-179d-40fc-b31b-d58f52d91477-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0687902,068-7902-2,Il n’en reste que 2 #068-7902-2,Liquidation◊Exclusivité,60.04,"59,93","149,99"
45,"Hamilton Main, ON","Tabouret de bar réglable FOR LIVING avec dossier incurvé, noir","Tabouret de bar réglable FOR LIVING avec dossier incurvé, noir",99.93,"99,93 $",199.99,"Était±  199,99 $prix était 199,99 $",99.93,"99,93 $",99.93,"99,93 $",true,https://www.canadiantire.ca/fr/pdp/tabouret-de-bar-reglable-for-living-avec-dossier-incurve-noir-1680124p.html,https://www.canadiantire.ca/fr/pdp/tabouret-de-bar-reglable-for-living-avec-dossier-incurve-noir-1680124p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680124/for-living-adjustable-bar-stool-a5255c71-f960-41f9-a8f1-6cdbaf086b0c-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680124/for-living-adjustable-bar-stool-a5255c71-f960-41f9-a8f1-6cdbaf086b0c-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1680124,168-0124-8,Il n’en reste que 2 #168-0124-8,Liquidation◊Exclusivité,50.03,"99,93","199,99"
45,"Hamilton Main, ON",Trousse de nettoyage et de détartrage Urnex pour machines à café Nespresso,Trousse de nettoyage et de détartrage Urnex pour machines à café Nespresso,3.93,"3,93 $",9.99,"Était±  9,99 $prix était 9,99 $",3.93,"3,93 $",3.93,"3,93 $",true,https://www.canadiantire.ca/fr/pdp/trousse-de-nettoyage-et-de-detartrage-urnex-pour-machines-a-cafe-nespresso-0432794p.html,https://www.canadiantire.ca/fr/pdp/trousse-de-nettoyage-et-de-detartrage-urnex-pour-machines-a-cafe-nespresso-0432794p.html,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0432794/urnex-nespresso-cleaning-kit-c87c0115-af44-41ee-9ac7-02417762a349-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0432794/urnex-nespresso-cleaning-kit-c87c0115-af44-41ee-9ac7-02417762a349-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0432794,043-2794-6,Il n’en reste que 2 #043-2794-6,Liquidation◊,60.66,"3,93","9,99"
45,"Hamilton Main, ON","Friteuse T-Fal Easy Fry & Grill Flexcook, TTG, 6,5 L","Friteuse T-Fal Easy Fry & Grill Flexcook, TTG, 6,5 L",99.93,"99,93 $",219.99,"Était±  219,99 $prix était 219,99 $",99.93,"99,93 $",99.93,"99,93 $",true,https://www.canadiantire.ca/fr/pdp/friteuse-t-fal-easy-fry-grill-flexcook-ttg-6-5-l-0430134p.html,https://www.canadiantire.ca/fr/pdp/friteuse-t-fal-easy-fry-grill-flexcook-ttg-6-5-l-0430134p.html,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0430134/tfal-easy-fry-and-grill-flexcook-xxl-2cd7e3c4-8536-4c81-8112-46cfc7384b4d-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0430134/tfal-easy-fry-and-grill-flexcook-xxl-2cd7e3c4-8536-4c81-8112-46cfc7384b4d-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0430134,043-0134-0,Il n’en reste que 4 #043-0134-0,Liquidation◊Mieux notés,54.58,"99,93","219,99"
45,"Hamilton Main, ON",Rallonge d'extérieur NOMA à 3 prises avec mise à la terre,Rallonge d'extérieur NOMA à 3 prises avec mise à la terre,24.93,"24,93 $",49.99,"49,99 $Était   et+ prix était à partir de 49,99 $",24.93,"24,93 $",24.93,"24,93 $",true,https://www.canadiantire.ca/fr/pdp/rallonge-d-exterieur-noma-a-3-prises-avec-mise-a-la-terre-0522456p.html,https://www.canadiantire.ca/fr/pdp/rallonge-d-exterieur-noma-a-3-prises-avec-mise-a-la-terre-0522456p.html,https://media-www.canadiantire.ca/product/fixing/electrical/power-bars-extension-cords-timers/0522456/noma-red-32-10-10m-outdoor-cord-3-tap-banana-lighted-end-f9c8c180-2a3b-4131-9286-25c57ea09832-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/electrical/power-bars-extension-cords-timers/0522456/noma-red-32-10-10m-outdoor-cord-3-tap-banana-lighted-end-f9c8c180-2a3b-4131-9286-25c57ea09832-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0522456,052-2456,,Liquidation◊Mieux notés,50.13,"24,93","49,99"
45,"Hamilton Main, ON",Casque d’écoute JLab Go Air Pop True In-Ear Wireless avec Dual Connect et 32 heures de lecture combinée,Casque d’écoute JLab Go Air Pop True In-Ear Wireless avec Dual Connect et 32 heures de lecture combinée,9.93,"9,93 $",34.99,"34,99 $Était   et+ prix était à partir de 34,99 $",9.93,"9,93 $",9.93,"9,93 $",true,https://www.canadiantire.ca/fr/pdp/casque-d-ecoute-jlab-go-air-pop-true-in-ear-wireless-avec-dual-connect-et-32-heures-de-lecture-combinee-0358080p.html,https://www.canadiantire.ca/fr/pdp/casque-d-ecoute-jlab-go-air-pop-true-in-ear-wireless-avec-dual-connect-et-32-heures-de-lecture-combinee-0358080p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-electronics/0358080/go-air-pop-true-wireless-headphones-black-093f01cc-6c07-4142-bf08-4477e63c1ddc-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-electronics/0358080/go-air-pop-true-wireless-headphones-black-093f01cc-6c07-4142-bf08-4477e63c1ddc-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0358080,035-8080,,Liquidation◊Mieux notés,71.62,"9,93","34,99"
45,"Hamilton Main, ON","Pêne dormant électronique EZSET, noir mat","Pêne dormant électronique EZSET, noir mat",49.93,"49,93 $",99.99,"Était±  99,99 $prix était 99,99 $",49.93,"49,93 $",49.93,"49,93 $",true,https://www.canadiantire.ca/fr/pdp/pene-dormant-electronique-ezset-noir-mat-0463552p.html,https://www.canadiantire.ca/fr/pdp/pene-dormant-electronique-ezset-noir-mat-0463552p.html,https://media-www.canadiantire.ca/product/fixing/hardware/curb-appeal/0463552/ezset-electronic-dead-bolt-matt-black-525bd051-9543-442b-bdf9-129b04547ed3-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/hardware/curb-appeal/0463552/ezset-electronic-dead-bolt-matt-black-525bd051-9543-442b-bdf9-129b04547ed3-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0463552,046-3552-0,Il n’en reste que 3 #046-3552-0,Liquidation◊Articles à succès,50.07,"49,93","99,99"
