store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
460,"Whitby North, ON","Batterie de cuisine en cuivre Lagostina Artiste-Clad allant au four, paq. 12","Batterie de cuisine en cuivre Lagostina Artiste-Clad allant au four, paq. 12",299.93,"299,93 $",599.99,"Était±  599,99 $prix était 599,99 $",299.93,"299,93 $",299.93,"299,93 $",true,https://www.canadiantire.ca/fr/pdp/batterie-de-cuisine-en-cuivre-lagostina-artiste-clad-allant-au-four-paq-12-1422641p.html,https://www.canadiantire.ca/fr/pdp/batterie-de-cuisine-en-cuivre-lagostina-artiste-clad-allant-au-four-paq-12-1422641p.html,https://media-www.canadiantire.ca/product/living/kitchen/cookware/1422641/lagostina-12-piece-copper-hand-hammered-cookware-set-8efd56aa-f4d9-43a3-830a-345e63def203-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/cookware/1422641/lagostina-12-piece-copper-hand-hammered-cookware-set-8efd56aa-f4d9-43a3-830a-345e63def203-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1422641,142-2641-4,Il n’en reste que 1 #142-2641-4,Liquidation◊Mieux notés,50.01,"299,93","599,99"
460,"Whitby North, ON","Service de vaisselle en grès à rebord orné CANVAS Gatestone, blanc, paq. 12","Service de vaisselle en grès à rebord orné CANVAS Gatestone, blanc, paq. 12",49.93,"49,93 $",99.99,"Était±  99,99 $prix était 99,99 $",49.93,"49,93 $",49.93,"49,93 $",true,https://www.canadiantire.ca/fr/pdp/service-de-vaisselle-en-gres-a-rebord-orne-canvas-gatestone-blanc-paq-12-2421124p.html,https://www.canadiantire.ca/fr/pdp/service-de-vaisselle-en-gres-a-rebord-orne-canvas-gatestone-blanc-paq-12-2421124p.html,https://media-www.canadiantire.ca/product/living/kitchen/dining-and-entertaining/2421124/canvas-12-pc-ornate-rim-dinnerware-set-ec677528-47a1-4eea-a43d-63735afa1b7e-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/dining-and-entertaining/2421124/canvas-12-pc-ornate-rim-dinnerware-set-ec677528-47a1-4eea-a43d-63735afa1b7e-jpgrendition.jpg?im=whresize&wid=200&hei=200,,2421124,242-1124-4,Il n’en reste que 7 #242-1124-4,Liquidation◊Mieux notés,50.07,"49,93","99,99"
460,"Whitby North, ON","Parka technique de chasse perméable à l'air imperméable coupe-vent Yukon Gear pour hommes, camouflage Realtree Xtra","Parka technique de chasse perméable à l'air imperméable coupe-vent Yukon Gear pour hommes, camouflage Realtree Xtra",39.93,"39,93 $",99.99,"99,99 $Était   et+ prix était à partir de 99,99 $",39.93,"39,93 $",39.93,"39,93 $",true,https://www.canadiantire.ca/fr/pdp/parka-technique-de-chasse-permeable-a-l-air-impermeable-coupe-vent-yukon-gear-pour-hommes-camouflage-realtree-xtra-3750716p.html,https://www.canadiantire.ca/fr/pdp/parka-technique-de-chasse-permeable-a-l-air-impermeable-coupe-vent-yukon-gear-pour-hommes-camouflage-realtree-xtra-3750716p.html,https://media-www.canadiantire.ca/product/playing/hunting/hunting-apparel-footwear/3750716/yukon-gear-parka-2-rte-m-a47cf6f2-275c-44e1-93da-5eb1da27165e-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/hunting/hunting-apparel-footwear/3750716/yukon-gear-parka-2-rte-m-a47cf6f2-275c-44e1-93da-5eb1da27165e-jpgrendition.jpg?im=whresize&wid=200&hei=200,,3750716,375-0716,,Liquidation◊Mieux notés,60.07,"39,93","99,99"
460,"Whitby North, ON","Meuble pour téléviseur avec console multimédia et foyer électrique CANVAS Ashcroft, 60 po, 1 400 W, télécommande comprise, blanc","Meuble pour téléviseur avec console multimédia et foyer électrique CANVAS Ashcroft, 60 po, 1 400 W, télécommande comprise, blanc",324.93,"324,93 $",649.99,"Était±  649,99 $prix était 649,99 $",324.93,"324,93 $",324.93,"324,93 $",true,https://www.canadiantire.ca/fr/pdp/meuble-pour-televiseur-avec-console-multimedia-et-foyer-electrique-canvas-ashcroft-60-po-1-400-w-telecommande-comprise-blanc-0644017p.html,https://www.canadiantire.ca/fr/pdp/meuble-pour-televiseur-avec-console-multimedia-et-foyer-electrique-canvas-ashcroft-60-po-1-400-w-telecommande-comprise-blanc-0644017p.html,https://media-www.canadiantire.ca/product/living/home-decor/electric-fireplaces/0644017/60-ashcroft-media-fireplace-da24f099-5c3e-45d3-855f-45c203e35495-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/electric-fireplaces/0644017/60-ashcroft-media-fireplace-da24f099-5c3e-45d3-855f-45c203e35495-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0644017,064-4017-6,Il n’en reste que 4 #064-4017-6,Liquidation◊Mieux notés,50.01,"324,93","649,99"
460,"Whitby North, ON","Meuble pour téléviseur avec foyer électrique multimédia CANVAS Lotus, 67 po, 1 500 W, télécommande comprise, brun","Meuble pour téléviseur avec foyer électrique multimédia CANVAS Lotus, 67 po, 1 500 W, télécommande comprise, brun",274.93,"274,93 $",549.99,"Était±  549,99 $prix était 549,99 $",274.93,"274,93 $",274.93,"274,93 $",true,https://www.canadiantire.ca/fr/pdp/meuble-pour-televiseur-avec-foyer-electrique-multimedia-canvas-lotus-67-po-1-500-w-telecommande-comprise-brun-0643590p.html,https://www.canadiantire.ca/fr/pdp/meuble-pour-televiseur-avec-foyer-electrique-multimedia-canvas-lotus-67-po-1-500-w-telecommande-comprise-brun-0643590p.html,https://media-www.canadiantire.ca/product/living/home-decor/electric-fireplaces/0643590/masterflame-lotus-fireplace-29773e4b-4b40-472b-be08-9c8722e7d97f-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/electric-fireplaces/0643590/masterflame-lotus-fireplace-29773e4b-4b40-472b-be08-9c8722e7d97f-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0643590,064-3590-4,Il n’en reste que 2 #064-3590-4,Liquidation◊Exclusivité,50.01,"274,93","549,99"
460,"Whitby North, ON","Cintres pivotants compacts en velours Type A avec barre à pantalon, couleurs variées, paq. 40","Cintres pivotants compacts en velours Type A avec barre à pantalon, couleurs variées, paq. 40",12.93,"12,93 $",32.99,"32,99 $Était   et+ prix était à partir de 32,99 $",12.93,"12,93 $",12.93,"12,93 $",true,https://www.canadiantire.ca/fr/pdp/cintres-pivotants-compacts-en-velours-type-a-avec-barre-a-pantalon-couleurs-variees-paq-40-0688307p.html,https://www.canadiantire.ca/fr/pdp/cintres-pivotants-compacts-en-velours-type-a-avec-barre-a-pantalon-couleurs-variees-paq-40-0688307p.html,https://media-www.canadiantire.ca/product/living/home-organization/closet-organization/0688308/type-a-velvet-suit-hanger-black-10pk-4afb3f73-0449-46d6-975c-369ae2760de2-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-organization/closet-organization/0688308/type-a-velvet-suit-hanger-black-10pk-4afb3f73-0449-46d6-975c-369ae2760de2-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0688307,068-8307,,Liquidation◊Mieux notés,60.81,"12,93","32,99"
460,"Whitby North, ON",Projecteur à DEL de 1 000 lumens Mastercraft pour service intense,Projecteur à DEL de 1 000 lumens Mastercraft pour service intense,54.93,"54,93 $",149.99,"Était±  149,99 $prix était 149,99 $",54.93,"54,93 $",54.93,"54,93 $",true,https://www.canadiantire.ca/fr/pdp/projecteur-a-del-de-1-000-lumens-mastercraft-pour-service-intense-0372426p.html,https://www.canadiantire.ca/fr/pdp/projecteur-a-del-de-1-000-lumens-mastercraft-pour-service-intense-0372426p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-accessories/0372426/mastercraft-1000lumen-heavy-duty-spotlight-c0d329db-7a7e-4302-a634-a31ceb039174-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-accessories/0372426/mastercraft-1000lumen-heavy-duty-spotlight-c0d329db-7a7e-4302-a634-a31ceb039174-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0372426,037-2426-0,Il n’en reste que 4 #037-2426-0,Liquidation◊Mieux notés,63.38,"54,93","149,99"
460,"Whitby North, ON",Spin Spinner Race - Cardiovélo d'intérieur,Spin Spinner Race - Cardiovélo d'intérieur,399.93,"399,93 $",899.99,"Était±  899,99 $prix était 899,99 $",399.93,"399,93 $",399.93,"399,93 $",true,https://www.canadiantire.ca/fr/pdp/spin-spinner-race-cardiovelo-d-interieur-1840997p.html,https://www.canadiantire.ca/fr/pdp/spin-spinner-race-cardiovelo-d-interieur-1840997p.html,https://media-www.canadiantire.ca/product/playing/exercise/exercise-equipment/1840997/spin-pace-bike-1dd3f228-ee4c-4fad-a84c-23009ec8a6a5-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/exercise/exercise-equipment/1840997/spin-pace-bike-1dd3f228-ee4c-4fad-a84c-23009ec8a6a5-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1840997,184-0997-0,Il n’en reste que 3 #184-0997-0,Liquidation◊Exclusivité,55.56,"399,93","899,99"
460,"Whitby North, ON","Soudeuse à onduleur MIG 180i Mastercraft, 115 V / 230 V","Soudeuse à onduleur MIG 180i Mastercraft, 115 V / 230 V",289.93,"289,93 $",799.99,"Était±  799,99 $prix était 799,99 $",289.93,"289,93 $",289.93,"289,93 $",true,https://www.canadiantire.ca/fr/pdp/soudeuse-a-onduleur-mig-180i-mastercraft-115-v-230-v-0581927p.html,https://www.canadiantire.ca/fr/pdp/soudeuse-a-onduleur-mig-180i-mastercraft-115-v-230-v-0581927p.html,https://media-www.canadiantire.ca/product/fixing/tools/welding-soldering/0581927/mastercraft-mig-180i-welder-9829792e-f357-4348-8914-4a08f4f08c55-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/tools/welding-soldering/0581927/mastercraft-mig-180i-welder-9829792e-f357-4348-8914-4a08f4f08c55-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0581927,058-1927-4,Il n’en reste que 3 #058-1927-4,Liquidation◊Exclusivité,63.76,"289,93","799,99"
460,"Whitby North, ON",Caméra de sentier Stealth Cam Revolver 360 degrés,Caméra de sentier Stealth Cam Revolver 360 degrés,119.93,"119,93 $",249.99,"Était±  249,99 $prix était 249,99 $",119.93,"119,93 $",119.93,"119,93 $",true,https://www.canadiantire.ca/fr/pdp/camera-de-sentier-stealth-cam-revolver-360-degres-3751790p.html,https://www.canadiantire.ca/fr/pdp/camera-de-sentier-stealth-cam-revolver-360-degres-3751790p.html,https://media-www.canadiantire.ca/product/playing/hunting/hunting-equipment/3751790/stealth-cam-revolver-360-degree-trail-camera-22b4a3f0-95dd-4316-8eae-f9e7606f091e-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/hunting/hunting-equipment/3751790/stealth-cam-revolver-360-degree-trail-camera-22b4a3f0-95dd-4316-8eae-f9e7606f091e-jpgrendition.jpg?im=whresize&wid=200&hei=200,,3751790,375-1790-0,Il n’en reste que 3 #375-1790-0,Liquidation◊,52.03,"119,93","249,99"
