store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
463,"Paspebiac, QC","Fauteuil de salle à manger de jardin/d'extérieur en osier CANVAS Jasper, toute saison, paq. 2","Fauteuil de salle à manger de jardin/d'extérieur en osier CANVAS Jasper, toute saison, paq. 2",199.93,"199,93 $",499.99,"Était±  499,99 $prix était 499,99 $",199.93,"199,93 $",199.93,"199,93 $",true,https://www.canadiantire.ca/fr/pdp/fauteuil-de-salle-a-manger-de-jardin-d-exterieur-en-osier-canvas-jasper-toute-saison-paq-2-1880272p.html,https://www.canadiantire.ca/fr/pdp/fauteuil-de-salle-a-manger-de-jardin-d-exterieur-en-osier-canvas-jasper-toute-saison-paq-2-1880272p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/1880272/canvas-jasper-dining-chair-2pk-2a5479fd-5f27-4f3d-85e2-8b4b9fa230c9-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/1880272/canvas-jasper-dining-chair-2pk-2a5479fd-5f27-4f3d-85e2-8b4b9fa230c9-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1880272,188-0272-6,Il n’en reste que 1 #188-0272-6,Liquidation◊Exclusivité,60.01,"199,93","499,99"
463,"Paspebiac, QC","Pantalon Huntshield Sutton No Fly Zone, hommes, gris","Pantalon Huntshield Sutton No Fly Zone, hommes, gris",29.93,"29,93 $",69.99,"69,99 $Était   et+ prix était à partir de 69,99 $",29.93,"29,93 $",29.93,"29,93 $",true,https://www.canadiantire.ca/fr/pdp/pantalon-huntshield-sutton-no-fly-zone-hommes-gris-3751415p.html,https://www.canadiantire.ca/fr/pdp/pantalon-huntshield-sutton-no-fly-zone-hommes-gris-3751415p.html,https://media-www.canadiantire.ca/product/playing/hunting/hunting-apparel-footwear/3751415/mens-sutton-no-fly-zone-pants-m-grey-d6d714cf-1a68-4dfd-a8d1-674b83deb7b6-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/hunting/hunting-apparel-footwear/3751415/mens-sutton-no-fly-zone-pants-m-grey-d6d714cf-1a68-4dfd-a8d1-674b83deb7b6-jpgrendition.jpg?im=whresize&wid=200&hei=200,,3751415,375-1415,,Liquidation◊Mieux notés,57.24,"29,93","69,99"
463,"Paspebiac, QC","Parka technique de chasse perméable à l'air imperméable coupe-vent Yukon Gear pour hommes, camouflage Realtree Xtra","Parka technique de chasse perméable à l'air imperméable coupe-vent Yukon Gear pour hommes, camouflage Realtree Xtra",39.93,"39,93 $",99.99,"99,99 $Était   et+ prix était à partir de 99,99 $",39.93,"39,93 $",39.93,"39,93 $",true,https://www.canadiantire.ca/fr/pdp/parka-technique-de-chasse-permeable-a-l-air-impermeable-coupe-vent-yukon-gear-pour-hommes-camouflage-realtree-xtra-3750716p.html,https://www.canadiantire.ca/fr/pdp/parka-technique-de-chasse-permeable-a-l-air-impermeable-coupe-vent-yukon-gear-pour-hommes-camouflage-realtree-xtra-3750716p.html,https://media-www.canadiantire.ca/product/playing/hunting/hunting-apparel-footwear/3750716/yukon-gear-parka-2-rte-m-a47cf6f2-275c-44e1-93da-5eb1da27165e-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/hunting/hunting-apparel-footwear/3750716/yukon-gear-parka-2-rte-m-a47cf6f2-275c-44e1-93da-5eb1da27165e-jpgrendition.jpg?im=whresize&wid=200&hei=200,,3750716,375-0716,,Liquidation◊Mieux notés,60.07,"39,93","99,99"
463,"Paspebiac, QC","Gant voltigeur jeune Matrix, bleu/rouge, 10 po, main gauche","Gant voltigeur jeune Matrix, bleu/rouge, 10 po, main gauche",9.9,"9,90 $",24.99,"Était±  24,99 $prix était 24,99 $",9.9,"9,90 $",9.9,"9,90 $",true,https://www.canadiantire.ca/fr/pdp/gant-voltigeur-jeune-matrix-bleu-rouge-10-po-main-gauche-0802093p.html,https://www.canadiantire.ca/fr/pdp/gant-voltigeur-jeune-matrix-bleu-rouge-10-po-main-gauche-0802093p.html,https://media-www.canadiantire.ca/product/playing/team-sports-and-golf/field-sports/0802093/matrix-yth-fielding-glove-blue-red-10-left-hand-catch-a3894635-5732-487f-a169-40ec277e08d0-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/team-sports-and-golf/field-sports/0802093/matrix-yth-fielding-glove-blue-red-10-left-hand-catch-a3894635-5732-487f-a169-40ec277e08d0-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0802093,080-2093-4,Il n’en reste que 3 #080-2093-4,Liquidation◊Articles à succès,60.38,"9,90","24,99"
463,"Paspebiac, QC",Caméra de tableau de bord Bluehive BH100 1080p,Caméra de tableau de bord Bluehive BH100 1080p,53.68,"53,68 $",159.99,"Était±  159,99 $prix était 159,99 $",53.68,"53,68 $",53.68,"53,68 $",true,https://www.canadiantire.ca/fr/pdp/camera-de-tableau-de-bord-bluehive-bh100-1080p-0350748p.html,https://www.canadiantire.ca/fr/pdp/camera-de-tableau-de-bord-bluehive-bh100-1080p-0350748p.html,https://media-www.canadiantire.ca/product/automotive/electronics/auto-electronics/0350748/bluehive-bh100-1080p-dash-cam-688b0dea-1d23-4695-afdd-1f363c72e2b0-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/electronics/auto-electronics/0350748/bluehive-bh100-1080p-dash-cam-688b0dea-1d23-4695-afdd-1f363c72e2b0-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0350748,035-0748-0,Il n’en reste que 1 #035-0748-0,Liquidation◊Exclusivité,66.45,"53,68","159,99"
463,"Paspebiac, QC","Oeuf en chocolat à la crème Cadbury, paq. 3","Oeuf en chocolat à la crème Cadbury, paq. 3",2.49,"2,49 $",4.99,"Était±  4,99 $prix était 4,99 $",2.49,"2,49 $",2.49,"2,49 $",true,https://www.canadiantire.ca/fr/pdp/oeuf-en-chocolat-a-la-creme-cadbury-paq-3-0514661p.html,https://www.canadiantire.ca/fr/pdp/oeuf-en-chocolat-a-la-creme-cadbury-paq-3-0514661p.html,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/0514661/cadbury-3x39g-pack-of-creme-eggs-25d2a30f-ad68-4eb6-9dd1-b2a332121549-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/0514661/cadbury-3x39g-pack-of-creme-eggs-25d2a30f-ad68-4eb6-9dd1-b2a332121549-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0514661,051-4661-0,Il n’en reste que 2 #051-4661-0,TaxableLiquidation◊,50.1,"2,49","4,99"
463,"Paspebiac, QC","Mini oeufs de Pâques Terry's, chocolat et orange, avec mini bonbons explosifs, 91 g","Mini oeufs de Pâques Terry's, chocolat et orange, avec mini bonbons explosifs, 91 g",2.99,"2,99 $",5.99,"Était±  5,99 $prix était 5,99 $",2.99,"2,99 $",2.99,"2,99 $",true,https://www.canadiantire.ca/fr/pdp/mini-oeufs-de-paques-terry-s-chocolat-et-orange-avec-mini-bonbons-explosifs-91-g-1519652p.html,https://www.canadiantire.ca/fr/pdp/mini-oeufs-de-paques-terry-s-chocolat-et-orange-avec-mini-bonbons-explosifs-91-g-1519652p.html,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1519652/terrys-91g-easter-orange-egg-with-popping-candy-972eafc9-a0e6-4825-9b10-32fae4895d98-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1519652/terrys-91g-easter-orange-egg-with-popping-candy-972eafc9-a0e6-4825-9b10-32fae4895d98-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1519652,151-9652-4,,Liquidation◊,50.08,"2,99","5,99"
463,"Paspebiac, QC","Applique de salle de bains à 3 lampes CANVAS Abbeyglen, laiton mat","Applique de salle de bains à 3 lampes CANVAS Abbeyglen, laiton mat",69.93,"69,93 $",149.99,"Était±  149,99 $prix était 149,99 $",69.93,"69,93 $",69.93,"69,93 $",true,https://www.canadiantire.ca/fr/pdp/applique-de-salle-de-bains-a-3-lampes-canvas-abbeyglen-laiton-mat-1522634p.html,https://www.canadiantire.ca/fr/pdp/applique-de-salle-de-bains-a-3-lampes-canvas-abbeyglen-laiton-mat-1522634p.html,https://media-www.canadiantire.ca/product/living/home-decor/lighting/1522634/canvas-abbeyglen-matte-brass-vanity-light-006b10bc-7092-4136-804a-ce9deb15f10e-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/lighting/1522634/canvas-abbeyglen-matte-brass-vanity-light-006b10bc-7092-4136-804a-ce9deb15f10e-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1522634,152-2634-8,Il n’en reste que 1 #152-2634-8,Liquidation◊Mieux notés,53.38,"69,93","149,99"
463,"Paspebiac, QC",Affûteuse à forets et à couteaux Drill Doctor,Affûteuse à forets et à couteaux Drill Doctor,99.9,"99,90 $",199.99,"Était±  199,99 $prix était 199,99 $",99.9,"99,90 $",99.9,"99,90 $",true,https://www.canadiantire.ca/fr/pdp/affuteuse-a-forets-et-a-couteaux-drill-doctor-0540567p.html,https://www.canadiantire.ca/fr/pdp/affuteuse-a-forets-et-a-couteaux-drill-doctor-0540567p.html,https://media-www.canadiantire.ca/product/fixing/tools/power-tool-accessories/0540567/drill-doctor-multi-functional-sharpener-0cd2f0c3-f95f-4855-a3a5-94b4a927be62-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/tools/power-tool-accessories/0540567/drill-doctor-multi-functional-sharpener-0cd2f0c3-f95f-4855-a3a5-94b4a927be62-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0540567,054-0567-4,Il n’en reste que 5 #054-0567-4,Liquidation◊Mieux notés,50.05,"99,90","199,99"
463,"Paspebiac, QC","Nettoyant auto Chemical Guys, mat méticuleux","Nettoyant auto Chemical Guys, mat méticuleux",9.93,"9,93 $",19.99,"Était±  19,99 $prix était 19,99 $",9.93,"9,93 $",9.93,"9,93 $",true,https://www.canadiantire.ca/fr/pdp/nettoyant-auto-chemical-guys-mat-meticuleux-0390598p.html,https://www.canadiantire.ca/fr/pdp/nettoyant-auto-chemical-guys-mat-meticuleux-0390598p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-cleaning-chemicals/0390598/chemical-guys-meticulous-matte-auto-wash-1ee1abd1-7fd4-49c1-ab91-096052fb02a6-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-cleaning-chemicals/0390598/chemical-guys-meticulous-matte-auto-wash-1ee1abd1-7fd4-49c1-ab91-096052fb02a6-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0390598,039-0598-8,Il n’en reste que 2 #039-0598-8,Liquidation◊Mieux notés,50.33,"9,93","19,99"
463,"Paspebiac, QC","Appât Xcalibur Rigged Grubs, 1/4 once","Appât Xcalibur Rigged Grubs, 1/4 once",2.43,"2,43 $",5.99,"5,99 $Était   et+ prix était à partir de 5,99 $",2.43,"2,43 $",2.43,"2,43 $",true,https://www.canadiantire.ca/fr/pdp/appat-xcalibur-rigged-grubs-1-4-once-0778921p.html,https://www.canadiantire.ca/fr/pdp/appat-xcalibur-rigged-grubs-1-4-once-0778921p.html,https://media-www.canadiantire.ca/product/playing/fishing/fishing-lures/0778922/xcalibur-rigged-grubs-1-4-oz-black-glitter-e0bebc65-9c52-4750-8390-20d1349ad583-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/fishing/fishing-lures/0778922/xcalibur-rigged-grubs-1-4-oz-black-glitter-e0bebc65-9c52-4750-8390-20d1349ad583-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0778921,077-8921,,Liquidation◊Exclusivité,59.43,"2,43","5,99"
463,"Paspebiac, QC","Lampe de table à tête bombée CANVAS, 18 po, laiton/verre fumé","Lampe de table à tête bombée CANVAS, 18 po, laiton/verre fumé",39.93,"39,93 $",79.99,"Était±  79,99 $prix était 79,99 $",39.93,"39,93 $",39.93,"39,93 $",true,https://www.canadiantire.ca/fr/pdp/lampe-de-table-a-tete-bombee-canvas-18-po-laiton-verre-fume-0526165p.html,https://www.canadiantire.ca/fr/pdp/lampe-de-table-a-tete-bombee-canvas-18-po-laiton-verre-fume-0526165p.html,https://media-www.canadiantire.ca/product/living/home-decor/lighting/0526165/canvas-mushroom-table-lamp-brass-smoked-glass-b197344b-04fe-45a4-8cb2-0d33f0c8b34e-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/lighting/0526165/canvas-mushroom-table-lamp-brass-smoked-glass-b197344b-04fe-45a4-8cb2-0d33f0c8b34e-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0526165,052-6165-8,Il n’en reste que 1 #052-6165-8,Liquidation◊Mieux notés,50.08,"39,93","79,99"
