store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
494,"London Auto Centre, ON","Tasses à mesurer empilables en plastique MASTER Chef, paq. 10","Tasses à mesurer empilables en plastique MASTER Chef, paq. 10",8.93,"8,93 $",24.99,"Était±  24,99 $prix était 24,99 $",8.93,"8,93 $",8.93,"8,93 $",true,https://www.canadiantire.ca/fr/pdp/tasses-a-mesurer-empilables-en-plastique-master-chef-paq-10-1429676p.html,https://www.canadiantire.ca/fr/pdp/tasses-a-mesurer-empilables-en-plastique-master-chef-paq-10-1429676p.html,https://media-www.canadiantire.ca/product/living/kitchen/bakeware-baking-prep/1429676/master-chef-10pc-measuring-cup-set-73c761cb-c28c-42fe-a32e-f57a30c6b9a6-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/bakeware-baking-prep/1429676/master-chef-10pc-measuring-cup-set-73c761cb-c28c-42fe-a32e-f57a30c6b9a6-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1429676,142-9676-0,32 En Stock#142-9676-0,Liquidation◊Mieux notés,64.27,"8,93","24,99"
494,"London Auto Centre, ON",Affûteur de couteaux et de ciseaux facile à utiliser en 3 étapes MASTER Chef,Affûteur de couteaux et de ciseaux facile à utiliser en 3 étapes MASTER Chef,4.93,"4,93 $",18.99,"Était±  18,99 $prix était 18,99 $",4.93,"4,93 $",4.93,"4,93 $",true,https://www.canadiantire.ca/fr/pdp/affuteur-de-couteaux-et-de-ciseaux-facile-a-utiliser-en-3-etapes-master-chef-2421029p.html,https://www.canadiantire.ca/fr/pdp/affuteur-de-couteaux-et-de-ciseaux-facile-a-utiliser-en-3-etapes-master-chef-2421029p.html,https://media-www.canadiantire.ca/product/living/kitchen/cutlery/2421029/master-chef-3stage-knife-sharpener-b9ab2767-c8c0-473e-a296-6cb70527856a-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/cutlery/2421029/master-chef-3stage-knife-sharpener-b9ab2767-c8c0-473e-a296-6cb70527856a-jpgrendition.jpg?im=whresize&wid=200&hei=200,,2421029,242-1029-2,Il n’en reste que 5 #242-1029-2,Liquidation◊Exclusivité,74.04,"4,93","18,99"
494,"London Auto Centre, ON","Table et train en bois Rocky Mountain, paq. 50","Table et train en bois Rocky Mountain, paq. 50",55.93,"55,93 $",149.99,"Était±  149,99 $prix était 149,99 $",55.93,"55,93 $",55.93,"55,93 $",true,https://www.canadiantire.ca/fr/pdp/table-et-train-en-bois-rocky-mountain-paq-50-1501272p.html,https://www.canadiantire.ca/fr/pdp/table-et-train-en-bois-rocky-mountain-paq-50-1501272p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/toys/preschool-toys-activities/1501272/rocky-mountain-wooden-train-set-and-table-d9702a1d-eceb-406f-99bf-dc0cf5d5b2e9-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/toys/preschool-toys-activities/1501272/rocky-mountain-wooden-train-set-and-table-d9702a1d-eceb-406f-99bf-dc0cf5d5b2e9-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1501272,150-1272-8,Il n’en reste que 1 #150-1272-8,Liquidation◊,62.71,"55,93","149,99"
494,"London Auto Centre, ON","Papier abrasif 3M Wetordry, 4 x 9 po, paq. 5","Papier abrasif 3M Wetordry, 4 x 9 po, paq. 5",2.93,"2,93 $",10.99,"10,99 $Était   et+ prix était à partir de 10,99 $",2.93,"2,93 $",2.93,"2,93 $",true,https://www.canadiantire.ca/fr/pdp/papier-abrasif-3m-wetordry-4-x-9-po-paq-5-0475844p.html,https://www.canadiantire.ca/fr/pdp/papier-abrasif-3m-wetordry-4-x-9-po-paq-5-0475844p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-body-repair/0475842/3m-imperial-wetordry-sandpaper-p400-3f901c4f-8345-4630-9155-5ec371ea3509-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-body-repair/0475842/3m-imperial-wetordry-sandpaper-p400-3f901c4f-8345-4630-9155-5ec371ea3509-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0475844,047-5842,Vérifiez la disponibilité#047-5842X,Liquidation◊Mieux notés,73.34,"2,93","10,99"
494,"London Auto Centre, ON","Ensemble de nettoyants automobiles Armor All, paq. 16","Ensemble de nettoyants automobiles Armor All, paq. 16",8.93,"8,93 $",17.99,"Était±  17,99 $prix était 17,99 $",8.93,"8,93 $",8.93,"8,93 $",true,https://www.canadiantire.ca/fr/pdp/ensemble-de-nettoyants-automobiles-armor-all-paq-16-0397080p.html,https://www.canadiantire.ca/fr/pdp/ensemble-de-nettoyants-automobiles-armor-all-paq-16-0397080p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-cleaning-chemicals/0397080/armor-all-car-wash-packs-16ct-8ed7ef02-e539-49d9-8a49-0232d41a7968-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-cleaning-chemicals/0397080/armor-all-car-wash-packs-16ct-8ed7ef02-e539-49d9-8a49-0232d41a7968-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0397080,039-7080-6,Il n’en reste que 1 #039-7080-6,Liquidation◊Mieux notés,50.36,"8,93","17,99"
494,"London Auto Centre, ON",Batterie de cuisine pour sac à dos Woods O'Hara,Batterie de cuisine pour sac à dos Woods O'Hara,24.93,"24,93 $",52.99,"Était±  52,99 $prix était 52,99 $",24.93,"24,93 $",24.93,"24,93 $",true,https://www.canadiantire.ca/fr/pdp/batterie-de-cuisine-pour-sac-a-dos-woods-o-hara-0766500p.html,https://www.canadiantire.ca/fr/pdp/batterie-de-cuisine-pour-sac-a-dos-woods-o-hara-0766500p.html,https://media-www.canadiantire.ca/product/playing/camping/camping-living/0766500/woods-o-hara-pot-set-0428ba47-d5f6-481e-9910-2a9cf8f10b99-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/camping/camping-living/0766500/woods-o-hara-pot-set-0428ba47-d5f6-481e-9910-2a9cf8f10b99-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0766500,076-6500-4,,Liquidation◊Mieux notés,52.95,"24,93","52,99"
494,"London Auto Centre, ON","Rallonge d'extérieur NOMA, calibre 16/2, 3 prises, blanc","Rallonge d'extérieur NOMA, calibre 16/2, 3 prises, blanc",5.93,"5,93 $",12.99,"12,99 $Était   et+ prix était à partir de 12,99 $",5.93,"5,93 $",5.93,"5,93 $",true,https://www.canadiantire.ca/fr/pdp/rallonge-d-exterieur-noma-calibre-16-2-3-prises-blanc-0522444p.html,https://www.canadiantire.ca/fr/pdp/rallonge-d-exterieur-noma-calibre-16-2-3-prises-blanc-0522444p.html,https://media-www.canadiantire.ca/product/fixing/electrical/power-bars-extension-cords-timers/0522444/noma-white-9-10-3m-outdoor-cord-16-2-3-tap-8b83ae64-ec4b-4a9b-915b-b68d0454edbf-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/electrical/power-bars-extension-cords-timers/0522444/noma-white-9-10-3m-outdoor-cord-16-2-3-tap-8b83ae64-ec4b-4a9b-915b-b68d0454edbf-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0522444,052-2444,Vérifiez la disponibilité#052-2444X,Liquidation◊Mieux notés,54.35,"5,93","12,99"
494,"London Auto Centre, ON","Pêne dormant électronique EZSET, noir mat","Pêne dormant électronique EZSET, noir mat",49.93,"49,93 $",99.99,"Était±  99,99 $prix était 99,99 $",49.93,"49,93 $",49.93,"49,93 $",true,https://www.canadiantire.ca/fr/pdp/pene-dormant-electronique-ezset-noir-mat-0463552p.html,https://www.canadiantire.ca/fr/pdp/pene-dormant-electronique-ezset-noir-mat-0463552p.html,https://media-www.canadiantire.ca/product/fixing/hardware/curb-appeal/0463552/ezset-electronic-dead-bolt-matt-black-525bd051-9543-442b-bdf9-129b04547ed3-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/hardware/curb-appeal/0463552/ezset-electronic-dead-bolt-matt-black-525bd051-9543-442b-bdf9-129b04547ed3-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0463552,046-3552-0,Il n’en reste que 4 #046-3552-0,Liquidation◊Articles à succès,50.07,"49,93","99,99"
494,"London Auto Centre, ON","Poli à métal de VR Simoniz, 500 mL","Poli à métal de VR Simoniz, 500 mL",6.93,"6,93 $",16.99,"Était±  16,99 $prix était 16,99 $",6.93,"6,93 $",6.93,"6,93 $",true,https://www.canadiantire.ca/fr/pdp/poli-a-metal-de-vr-simoniz-500-ml-0409614p.html,https://www.canadiantire.ca/fr/pdp/poli-a-metal-de-vr-simoniz-500-ml-0409614p.html,https://media-www.canadiantire.ca/product/automotive/automotive-outdoor-adventure/auto-travel-storage/0409614/simoniz-metal-polish-500ml-af57ba2e-9bed-4496-9d2b-dea7b7e6436f-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/automotive-outdoor-adventure/auto-travel-storage/0409614/simoniz-metal-polish-500ml-af57ba2e-9bed-4496-9d2b-dea7b7e6436f-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0409614,040-9614-0,Il n’en reste que 1 #040-9614-0,Liquidation◊Mieux notés,59.21,"6,93","16,99"
494,"London Auto Centre, ON","Bâtons de randonnée télescopiques ajustables Outbound Ascend, en aluminium anti-chocs pour la randonnée et la marche","Bâtons de randonnée télescopiques ajustables Outbound Ascend, en aluminium anti-chocs pour la randonnée et la marche",19.93,"19,93 $",42.99,"Était±  42,99 $prix était 42,99 $",19.93,"19,93 $",19.93,"19,93 $",true,https://www.canadiantire.ca/fr/pdp/batons-de-randonnee-telescopiques-ajustables-outbound-ascend-en-aluminium-anti-chocs-pour-la-randonnee-et-la-marche-0765885p.html,https://www.canadiantire.ca/fr/pdp/batons-de-randonnee-telescopiques-ajustables-outbound-ascend-en-aluminium-anti-chocs-pour-la-randonnee-et-la-marche-0765885p.html,https://media-www.canadiantire.ca/product/playing/camping/camping-accessories/0765885/outbound-ascend-trekking-poles-372e3601-2553-4c8a-ab19-5a7dead0f366-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/camping/camping-accessories/0765885/outbound-ascend-trekking-poles-372e3601-2553-4c8a-ab19-5a7dead0f366-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0765885,076-5885-4,Il n’en reste que 2 #076-5885-4,Liquidation◊Mieux notés,53.64,"19,93","42,99"
