store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
600,"Toronto Eaton Centre, ON",Luge rapide H2O Spider avec direction et freins,Luge rapide H2O Spider avec direction et freins,39.93,"39,93 $",99.99,"Était±  99,99 $prix était 99,99 $",39.93,"39,93 $",39.93,"39,93 $",true,https://www.canadiantire.ca/fr/pdp/luge-rapide-h2o-spider-avec-direction-et-freins-0821088p.html,https://www.canadiantire.ca/fr/pdp/luge-rapide-h2o-spider-avec-direction-et-freins-0821088p.html,https://media-www.canadiantire.ca/product/playing/seasonal-recreation/winter-recreation/0821088/spider-snow-bike-e7a5d494-3744-4104-9151-337a07902637-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/seasonal-recreation/winter-recreation/0821088/spider-snow-bike-e7a5d494-3744-4104-9151-337a07902637-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0821088,082-1088-0,16 En Stock#082-1088-0,Liquidation◊Exclusivité,60.07,"39,93","99,99"
600,"Toronto Eaton Centre, ON","Accessoires de salle de bains Danze Crete, doré, paq. 3","Accessoires de salle de bains Danze Crete, doré, paq. 3",39.93,"39,93 $",79.99,"Était±  79,99 $prix était 79,99 $",39.93,"39,93 $",39.93,"39,93 $",true,https://www.canadiantire.ca/fr/pdp/accessoires-de-salle-de-bains-danze-crete-dore-paq-3-0636314p.html,https://www.canadiantire.ca/fr/pdp/accessoires-de-salle-de-bains-danze-crete-dore-paq-3-0636314p.html,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0636314/danze-crete-3-piece-bath-hardware-kit-gold-587febed-f44c-4f46-b652-cb3b7e48eec1-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0636314/danze-crete-3-piece-bath-hardware-kit-gold-587febed-f44c-4f46-b652-cb3b7e48eec1-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0636314,063-6314-8,0 En Stock#063-6314-8,Liquidation◊Mieux notés,50.08,"39,93","79,99"
600,"Toronto Eaton Centre, ON","Armoire de salle de bains For Living Ladder, blanc","Armoire de salle de bains For Living Ladder, blanc",89.93,"89,93 $",184.99,"Était±  184,99 $prix était 184,99 $",89.93,"89,93 $",89.93,"89,93 $",true,https://www.canadiantire.ca/fr/pdp/armoire-de-salle-de-bains-for-living-ladder-blanc-1680133p.html,https://www.canadiantire.ca/fr/pdp/armoire-de-salle-de-bains-for-living-ladder-blanc-1680133p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680133/for-living-ladder-bathroom-space-saver-a72e0b0e-3a99-49ca-9b93-5c68dc6c9527-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680133/for-living-ladder-bathroom-space-saver-a72e0b0e-3a99-49ca-9b93-5c68dc6c9527-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1680133,168-0133-6,Il n’en reste que 1 #168-0133-6,Liquidation◊Mieux notés,51.39,"89,93","184,99"
600,"Toronto Eaton Centre, ON","Fauteuil de salle à manger de jardin/d'extérieur en osier CANVAS Jasper, toute saison, paq. 2","Fauteuil de salle à manger de jardin/d'extérieur en osier CANVAS Jasper, toute saison, paq. 2",150,"150,00 $",499.99,"Était±  499,99 $prix était 499,99 $",150,"150,00 $",150,"150,00 $",true,https://www.canadiantire.ca/fr/pdp/fauteuil-de-salle-a-manger-de-jardin-d-exterieur-en-osier-canvas-jasper-toute-saison-paq-2-1880272p.html,https://www.canadiantire.ca/fr/pdp/fauteuil-de-salle-a-manger-de-jardin-d-exterieur-en-osier-canvas-jasper-toute-saison-paq-2-1880272p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/1880272/canvas-jasper-dining-chair-2pk-2a5479fd-5f27-4f3d-85e2-8b4b9fa230c9-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/1880272/canvas-jasper-dining-chair-2pk-2a5479fd-5f27-4f3d-85e2-8b4b9fa230c9-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1880272,188-0272-6,Il n’en reste que 1 #188-0272-6,Liquidation◊Exclusivité,70,"150,00","499,99"
600,"Toronto Eaton Centre, ON","Chaise de salle à manger CANVAS Minto, noir","Chaise de salle à manger CANVAS Minto, noir",64.99,"64,99 $",129.99,"Était±  129,99 $prix était 129,99 $",64.99,"64,99 $",64.99,"64,99 $",true,https://www.canadiantire.ca/fr/pdp/chaise-de-salle-a-manger-canvas-minto-noir-1680107p.html,https://www.canadiantire.ca/fr/pdp/chaise-de-salle-a-manger-canvas-minto-noir-1680107p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680107/canvas-minto-dining-chair-black-2349305a-ab0e-40fa-9e1e-605f6260be95-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680107/canvas-minto-dining-chair-black-2349305a-ab0e-40fa-9e1e-605f6260be95-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1680107,168-0107-0,24 En Stock#168-0107-0,Liquidation◊Mieux notés,50,"64,99","129,99"
600,"Toronto Eaton Centre, ON","Meuble-lavabo simple CANVAS Wellington à 1 porte, dessus en pierre, 24 po, chêne vieilli","Meuble-lavabo simple CANVAS Wellington à 1 porte, dessus en pierre, 24 po, chêne vieilli",199.93,"199,93 $",469.99,"Était±  469,99 $prix était 469,99 $",199.93,"199,93 $",199.93,"199,93 $",true,https://www.canadiantire.ca/fr/pdp/meuble-lavabo-simple-canvas-wellington-a-1-porte-dessus-en-pierre-24-po-chene-vieilli-0636340p.html,https://www.canadiantire.ca/fr/pdp/meuble-lavabo-simple-canvas-wellington-a-1-porte-dessus-en-pierre-24-po-chene-vieilli-0636340p.html,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0636340/canvas-wellington-24-vanity-single-door-weathered-oak-c63a46d3-7cc6-4cbd-b432-77df9ec7c1fc-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0636340/canvas-wellington-24-vanity-single-door-weathered-oak-c63a46d3-7cc6-4cbd-b432-77df9ec7c1fc-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0636340,063-6340-4,,Liquidation◊Exclusivité,57.46,"199,93","469,99"
600,"Toronto Eaton Centre, ON",Abri de camping à auvent chapiteau Woods,Abri de camping à auvent chapiteau Woods,139.93,"139,93 $",289.99,"Était±  289,99 $prix était 289,99 $",139.93,"139,93 $",139.93,"139,93 $",true,https://www.canadiantire.ca/fr/pdp/abri-de-camping-a-auvent-chapiteau-woods-0766532p.html,https://www.canadiantire.ca/fr/pdp/abri-de-camping-a-auvent-chapiteau-woods-0766532p.html,https://media-www.canadiantire.ca/product/playing/camping/tents-shelters/0766532/woods-marquee-camp-shelter-098d48ca-7473-4b64-a3a7-00643d1edbd7-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/camping/tents-shelters/0766532/woods-marquee-camp-shelter-098d48ca-7473-4b64-a3a7-00643d1edbd7-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0766532,076-6532-8,Il n’en reste que 2 #076-6532-8,Liquidation◊Exclusivité,51.75,"139,93","289,99"
600,"Toronto Eaton Centre, ON","Tabouret de bar réglable FOR LIVING avec dossier incurvé, noir","Tabouret de bar réglable FOR LIVING avec dossier incurvé, noir",49.99,"49,99 $",199.99,"Était±  199,99 $prix était 199,99 $",49.99,"49,99 $",49.99,"49,99 $",true,https://www.canadiantire.ca/fr/pdp/tabouret-de-bar-reglable-for-living-avec-dossier-incurve-noir-1680124p.html,https://www.canadiantire.ca/fr/pdp/tabouret-de-bar-reglable-for-living-avec-dossier-incurve-noir-1680124p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680124/for-living-adjustable-bar-stool-a5255c71-f960-41f9-a8f1-6cdbaf086b0c-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680124/for-living-adjustable-bar-stool-a5255c71-f960-41f9-a8f1-6cdbaf086b0c-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1680124,168-0124-8,Il n’en reste que 1 #168-0124-8,Liquidation◊Exclusivité,75,"49,99","199,99"
600,"Toronto Eaton Centre, ON","Organisateur d’outils suspendu pour cheveux The Home Edit par iDesign, résistant à la chaleur","Organisateur d’outils suspendu pour cheveux The Home Edit par iDesign, résistant à la chaleur",8.49,"8,49 $",16.99,"Était±  16,99 $prix était 16,99 $",8.49,"8,49 $",8.49,"8,49 $",true,https://www.canadiantire.ca/fr/pdp/organisateur-d-outils-suspendu-pour-cheveux-the-home-edit-par-idesign-resistant-a-la-chaleur-0636328p.html,https://www.canadiantire.ca/fr/pdp/organisateur-d-outils-suspendu-pour-cheveux-the-home-edit-par-idesign-resistant-a-la-chaleur-0636328p.html,https://media-www.canadiantire.ca/product/living/home-decor/bed-bath-decor/0636334/the-home-edit-tall-bin-divider-c1b6b39e-fa2c-44f8-9813-64d289c7174e-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/bed-bath-decor/0636334/the-home-edit-tall-bin-divider-c1b6b39e-fa2c-44f8-9813-64d289c7174e-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0636328,063-6328-6,Il n’en reste que 3 #063-6328-6,Liquidation◊Exclusivité,50.03,"8,49","16,99"
600,"Toronto Eaton Centre, ON","Graco 243104 Pump Armor pour pulvérisateur à peinture Graco, 1 pinte","Graco 243104 Pump Armor pour pulvérisateur à peinture Graco, 1 pinte",4.99,"4,99 $",19.99,"Était±  19,99 $prix était 19,99 $",4.99,"4,99 $",4.99,"4,99 $",true,https://www.canadiantire.ca/fr/pdp/graco-243104-pump-armor-pour-pulverisateur-a-peinture-graco-1-pinte-0492557p.html,https://www.canadiantire.ca/fr/pdp/graco-243104-pump-armor-pour-pulverisateur-a-peinture-graco-1-pinte-0492557p.html,https://media-www.canadiantire.ca/product/fixing/paint/paint-accessories/0492557/pump-armour-1-qt--4a05a15e-d9e9-4c78-be7b-268efe83f962-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/paint/paint-accessories/0492557/pump-armour-1-qt--4a05a15e-d9e9-4c78-be7b-268efe83f962-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0492557,049-2557-0,,Liquidation◊,75.04,"4,99","19,99"
