store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
653,"Maple, ON","Tasses à mesurer empilables en plastique MASTER Chef, paq. 10","Tasses à mesurer empilables en plastique MASTER Chef, paq. 10",8.93,"8,93 $",24.99,"Était±  24,99 $prix était 24,99 $",8.93,"8,93 $",8.93,"8,93 $",true,https://www.canadiantire.ca/fr/pdp/tasses-a-mesurer-empilables-en-plastique-master-chef-paq-10-1429676p.html,https://www.canadiantire.ca/fr/pdp/tasses-a-mesurer-empilables-en-plastique-master-chef-paq-10-1429676p.html,https://media-www.canadiantire.ca/product/living/kitchen/bakeware-baking-prep/1429676/master-chef-10pc-measuring-cup-set-73c761cb-c28c-42fe-a32e-f57a30c6b9a6-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/bakeware-baking-prep/1429676/master-chef-10pc-measuring-cup-set-73c761cb-c28c-42fe-a32e-f57a30c6b9a6-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1429676,142-9676-0,Il n’en reste que 3 #142-9676-0,Liquidation◊Mieux notés,64.27,"8,93","24,99"
653,"Maple, ON","Cintres pivotants compacts en velours Type A avec barre à pantalon, couleurs variées, paq. 40","Cintres pivotants compacts en velours Type A avec barre à pantalon, couleurs variées, paq. 40",12.93,"12,93 $",32.99,"32,99 $Était   et+ prix était à partir de 32,99 $",12.93,"12,93 $",12.93,"12,93 $",true,https://www.canadiantire.ca/fr/pdp/cintres-pivotants-compacts-en-velours-type-a-avec-barre-a-pantalon-couleurs-variees-paq-40-0688307p.html,https://www.canadiantire.ca/fr/pdp/cintres-pivotants-compacts-en-velours-type-a-avec-barre-a-pantalon-couleurs-variees-paq-40-0688307p.html,https://media-www.canadiantire.ca/product/living/home-organization/closet-organization/0688308/type-a-velvet-suit-hanger-black-10pk-4afb3f73-0449-46d6-975c-369ae2760de2-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-organization/closet-organization/0688308/type-a-velvet-suit-hanger-black-10pk-4afb3f73-0449-46d6-975c-369ae2760de2-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0688307,068-8307,Vérifiez la disponibilité#068-8307X,Liquidation◊Mieux notés,60.81,"12,93","32,99"
653,"Maple, ON","Planche à pagaie pour 1 personne Pelican Flow 106, blanc et vert, 10 pi 6 po","Planche à pagaie pour 1 personne Pelican Flow 106, blanc et vert, 10 pi 6 po",299.93,"299,93 $",599.99,"Était±  599,99 $prix était 599,99 $",299.93,"299,93 $",299.93,"299,93 $",true,https://www.canadiantire.ca/fr/pdp/planche-a-pagaie-pour-1-personne-pelican-flow-106-blanc-et-vert-10-pi-6-po-0792044p.html,https://www.canadiantire.ca/fr/pdp/planche-a-pagaie-pour-1-personne-pelican-flow-106-blanc-et-vert-10-pi-6-po-0792044p.html,https://media-www.canadiantire.ca/product/playing/seasonal-recreation/marine-water-fun/0792044/pelican-flow-106-stand-up-paddle-board-7136f53a-71e5-4f0a-825f-eab92a92ff42-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/seasonal-recreation/marine-water-fun/0792044/pelican-flow-106-stand-up-paddle-board-7136f53a-71e5-4f0a-825f-eab92a92ff42-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0792044,079-2044-8,Il n’en reste que 1 #079-2044-8,Liquidation◊Mieux notés,50.01,"299,93","599,99"
653,"Maple, ON","Barbecue MASTER Chef G70220 Turismo, 4 brûleurs, propane avec tablettes latérales, 36 po","Barbecue MASTER Chef G70220 Turismo, 4 brûleurs, propane avec tablettes latérales, 36 po",199.93,"199,93 $",399.99,"Était±  399,99 $prix était 399,99 $",199.93,"199,93 $",199.93,"199,93 $",true,https://www.canadiantire.ca/fr/pdp/barbecue-master-chef-g70220-turismo-4-bruleurs-propane-avec-tablettes-laterales-36-po-0850106p.html,https://www.canadiantire.ca/fr/pdp/barbecue-master-chef-g70220-turismo-4-bruleurs-propane-avec-tablettes-laterales-36-po-0850106p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-cooking/0850106/master-chef-grill-turismo-4-burner-gas-griddle-cart-19667163-bb41-4715-b58c-645b95721288-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-cooking/0850106/master-chef-grill-turismo-4-burner-gas-griddle-cart-19667163-bb41-4715-b58c-645b95721288-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0850106,085-0106-8,Il n’en reste que 2 #085-0106-8,Liquidation◊Mieux notés,50.02,"199,93","399,99"
653,"Maple, ON","Housse de pare-brise 2-en-1 MyRide pour soleil et neige, convient à la plupart des véhicules","Housse de pare-brise 2-en-1 MyRide pour soleil et neige, convient à la plupart des véhicules",9.93,"9,93 $",32.99,"Était±  32,99 $prix était 32,99 $",9.93,"9,93 $",9.93,"9,93 $",true,https://www.canadiantire.ca/fr/pdp/housse-de-pare-brise-2-en-1-myride-pour-soleil-et-neige-convient-a-la-plupart-des-vehicules-0304491p.html,https://www.canadiantire.ca/fr/pdp/housse-de-pare-brise-2-en-1-myride-pour-soleil-et-neige-convient-a-la-plupart-des-vehicules-0304491p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-winter-accessories/0304491/myride-sun-and-snow-windshield-cover-1d0e1f73-cc79-4090-b8a5-bdaefbe970b7-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-winter-accessories/0304491/myride-sun-and-snow-windshield-cover-1d0e1f73-cc79-4090-b8a5-bdaefbe970b7-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0304491,030-4491-4,Il n’en reste que 1 #030-4491-4,Liquidation◊Articles à succès,69.9,"9,93","32,99"
653,"Maple, ON","Contenants en verre étanche pour aliments LockNLock Easy Match de Starfrit avec couvercle hermétique à pinces, paq. 12","Contenants en verre étanche pour aliments LockNLock Easy Match de Starfrit avec couvercle hermétique à pinces, paq. 12",24.93,"24,93 $",49.99,"Était±  49,99 $prix était 49,99 $",24.93,"24,93 $",24.93,"24,93 $",true,https://www.canadiantire.ca/fr/pdp/contenants-en-verre-etanche-pour-aliments-locknlock-easy-match-de-starfrit-avec-couvercle-hermetique-a-pinces-paq-12-2423481p.html,https://www.canadiantire.ca/fr/pdp/contenants-en-verre-etanche-pour-aliments-locknlock-easy-match-de-starfrit-avec-couvercle-hermetique-a-pinces-paq-12-2423481p.html,https://media-www.canadiantire.ca/product/living/kitchen/food-storage/2423481/12-pc-lock-n-lock-glass-easy-match-container-set-5f204714-5fee-4ebe-b96a-e36ac87d84a7-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/food-storage/2423481/12-pc-lock-n-lock-glass-easy-match-container-set-5f204714-5fee-4ebe-b96a-e36ac87d84a7-jpgrendition.jpg?im=whresize&wid=200&hei=200,,2423481,242-3481-0,Il n’en reste que 3 #242-3481-0,Liquidation◊,50.13,"24,93","49,99"
653,"Maple, ON",Fauteuil en aluminium empilable CANVAS Hastings,Fauteuil en aluminium empilable CANVAS Hastings,49.93,"49,93 $",99.99,"Était±  99,99 $prix était 99,99 $",49.93,"49,93 $",49.93,"49,93 $",true,https://www.canadiantire.ca/fr/pdp/fauteuil-en-aluminium-empilable-canvas-hastings-1881375p.html,https://www.canadiantire.ca/fr/pdp/fauteuil-en-aluminium-empilable-canvas-hastings-1881375p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/1881375/canvas-hastings-stacking-aluminum-chair-618a8055-0d90-40fa-b420-6e2ee713fb52-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/1881375/canvas-hastings-stacking-aluminum-chair-618a8055-0d90-40fa-b420-6e2ee713fb52-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1881375,188-1375-6,Il n’en reste que 2 #188-1375-6,Liquidation◊Mieux notés,50.07,"49,93","99,99"
653,"Maple, ON","Ciseaux à prise confortable pour enfants de Merangue, pointe arrondie, couleurs variées, 5 po, paq. 2","Ciseaux à prise confortable pour enfants de Merangue, pointe arrondie, couleurs variées, 5 po, paq. 2",1.93,"1,93 $",3.99,"Était±  3,99 $prix était 3,99 $",1.93,"1,93 $",1.93,"1,93 $",true,https://www.canadiantire.ca/fr/pdp/ciseaux-a-prise-confortable-pour-enfants-de-merangue-pointe-arrondie-couleurs-variees-5-po-paq-2-1420189p.html,https://www.canadiantire.ca/fr/pdp/ciseaux-a-prise-confortable-pour-enfants-de-merangue-pointe-arrondie-couleurs-variees-5-po-paq-2-1420189p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/toys/home-office-supplies/1420189/5-inch-scissors-2-pack-202ee474-b695-4995-8070-a8b862e0e850-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/toys/home-office-supplies/1420189/5-inch-scissors-2-pack-202ee474-b695-4995-8070-a8b862e0e850-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1420189,142-0189-4,10 En Stock#142-0189-4,Liquidation◊Mieux notés,51.63,"1,93","3,99"
653,"Maple, ON","Pergola modulaire CANVAS Horizon, extérieur et patio, 10 x 10 pi","Pergola modulaire CANVAS Horizon, extérieur et patio, 10 x 10 pi",599.93,"599,93 $",1199.99,"Était±  1 199,99 $prix était 1 199,99 $",599.93,"599,93 $",599.93,"599,93 $",true,https://www.canadiantire.ca/fr/pdp/pergola-modulaire-canvas-horizon-exterieur-et-patio-10-x-10-pi-1880240p.html,https://www.canadiantire.ca/fr/pdp/pergola-modulaire-canvas-horizon-exterieur-et-patio-10-x-10-pi-1880240p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/1880240/canvas-horizon-10-x-10-modular-pergola-036babcc-70d8-48f1-b1f2-73666688de06-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/1880240/canvas-horizon-10-x-10-modular-pergola-036babcc-70d8-48f1-b1f2-73666688de06-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1880240,188-0240-2,Il n’en reste que 1 #188-0240-2,Liquidation◊Exclusivité,50.01,"599,93","1199,99"
653,"Maple, ON","Lampe à faisceau large à DEL Mastercraft, 1500 lumens, compatible PWR POD","Lampe à faisceau large à DEL Mastercraft, 1500 lumens, compatible PWR POD",31.93,"31,93 $",119.99,"Était±  119,99 $prix était 119,99 $",31.93,"31,93 $",31.93,"31,93 $",true,https://www.canadiantire.ca/fr/pdp/lampe-a-faisceau-large-a-del-mastercraft-1500-lumens-compatible-pwr-pod-0372969p.html,https://www.canadiantire.ca/fr/pdp/lampe-a-faisceau-large-a-del-mastercraft-1500-lumens-compatible-pwr-pod-0372969p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-accessories/0372969/mastercraft-1500-lumens-spotlight-pwr-pod-compatible-363c7083-04a4-4a37-b863-da8214fd1958-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-accessories/0372969/mastercraft-1500-lumens-spotlight-pwr-pod-compatible-363c7083-04a4-4a37-b863-da8214fd1958-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0372969,037-2969-8,Il n’en reste que 2 #037-2969-8,Liquidation◊Mieux notés,73.39,"31,93","119,99"
