store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
654,"Leslie & Lake Shore, ON",Ruban correcteur Paper Mate Liquid Paper,Ruban correcteur Paper Mate Liquid Paper,1.73,"1,73 $",5.29,"Était±  5,29 $prix était 5,29 $",1.73,"1,73 $",1.73,"1,73 $",true,https://www.canadiantire.ca/fr/pdp/ruban-correcteur-paper-mate-liquid-paper-1428299p.html,https://www.canadiantire.ca/fr/pdp/ruban-correcteur-paper-mate-liquid-paper-1428299p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/toys/home-office-supplies/1428299/dryline-grip-liquid-paper-1pk-e7d93243-f92d-4bcc-875b-740d885f94ab-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/toys/home-office-supplies/1428299/dryline-grip-liquid-paper-1pk-e7d93243-f92d-4bcc-875b-740d885f94ab-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1428299,142-8299-4,Il n’en reste que 2 #142-8299-4,Liquidation◊Mieux notés,67.3,"1,73","5,29"
654,"Leslie & Lake Shore, ON","Barre d'appui angulaire de sécurité Moen Home Care pour salle de bains, avec coussinet antidérapant, 1,25 x 16 po, nickel brossé","Barre d'appui angulaire de sécurité Moen Home Care pour salle de bains, avec coussinet antidérapant, 1,25 x 16 po, nickel brossé",24.93,"24,93 $",52.99,"Était±  52,99 $prix était 52,99 $",24.93,"24,93 $",24.93,"24,93 $",true,https://www.canadiantire.ca/fr/pdp/barre-d-appui-angulaire-de-securite-moen-home-care-pour-salle-de-bains-avec-coussinet-antiderapant-1-25-x-16-po-nickel-brosse-0636213p.html,https://www.canadiantire.ca/fr/pdp/barre-d-appui-angulaire-de-securite-moen-home-care-pour-salle-de-bains-avec-coussinet-antiderapant-1-25-x-16-po-nickel-brosse-0636213p.html,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0636213/moen-home-care-16-angled-grab-bar-15757d06-9fd6-4aed-9121-85dee41d1f0f-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0636213/moen-home-care-16-angled-grab-bar-15757d06-9fd6-4aed-9121-85dee41d1f0f-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0636213,063-6213-8,Il n’en reste que 1 #063-6213-8,Liquidation◊Mieux notés,52.95,"24,93","52,99"
654,"Leslie & Lake Shore, ON","Tapis d’auto toute saison MotoMaster, paq. 4","Tapis d’auto toute saison MotoMaster, paq. 4",13.93,"13,93 $",39.99,"39,99 $Était   et+ prix était à partir de 39,99 $",13.93,"13,93 $",13.93,"13,93 $",true,https://www.canadiantire.ca/fr/pdp/tapis-d-auto-toute-saison-motomaster-paq-4-0312551p.html,https://www.canadiantire.ca/fr/pdp/tapis-d-auto-toute-saison-motomaster-paq-4-0312551p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-comfort/0312551/mats-multi-season-4-piece-black-7592236f-90e9-448e-a044-1bab95b6e103-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-comfort/0312551/mats-multi-season-4-piece-black-7592236f-90e9-448e-a044-1bab95b6e103-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0312551,031-2551,,Liquidation◊Mieux notés,65.17,"13,93","39,99"
654,"Leslie & Lake Shore, ON","Rallonge d'extérieur à 1 prise NOMA, calibre 16/2, 24 pi 11 po","Rallonge d'extérieur à 1 prise NOMA, calibre 16/2, 24 pi 11 po",11.93,"11,93 $",27.99,"27,99 $Était   et+ prix était à partir de 27,99 $",11.93,"11,93 $",11.93,"11,93 $",true,https://www.canadiantire.ca/fr/pdp/rallonge-d-exterieur-a-1-prise-noma-calibre-16-2-24-pi-11-po-0522481p.html,https://www.canadiantire.ca/fr/pdp/rallonge-d-exterieur-a-1-prise-noma-calibre-16-2-24-pi-11-po-0522481p.html,https://media-www.canadiantire.ca/product/fixing/electrical/power-bars-extension-cords-timers/0522483/noma-cedar-24-11-7-6m-patio-cord-16-2-1-tap-de27fafc-ee1c-4696-b679-52650bbe7424-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/electrical/power-bars-extension-cords-timers/0522483/noma-cedar-24-11-7-6m-patio-cord-16-2-1-tap-de27fafc-ee1c-4696-b679-52650bbe7424-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0522481,052-2481,,Liquidation◊Mieux notés,57.38,"11,93","27,99"
654,"Leslie & Lake Shore, ON",Démarreur à distance SmartStart 3G,Démarreur à distance SmartStart 3G,49.93,"49,93 $",249.99,"Était±  249,99 $prix était 249,99 $",49.93,"49,93 $",49.93,"49,93 $",true,https://www.canadiantire.ca/fr/pdp/demarreur-a-distance-smartstart-3g-0340841p.html,https://www.canadiantire.ca/fr/pdp/demarreur-a-distance-smartstart-3g-0340841p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-electronics/0340841/smartstart-3g-remote-starter-d554ce87-b7eb-4d01-828e-af7e593ef90b-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-electronics/0340841/smartstart-3g-remote-starter-d554ce87-b7eb-4d01-828e-af7e593ef90b-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0340841,034-0841-8,Il n’en reste que 2 #034-0841-8,Liquidation◊,80.03,"49,93","249,99"
654,"Leslie & Lake Shore, ON","Tabouret de comptoir/bar For Living, noir, en similicuir et chrome à hauteur réglable","Tabouret de comptoir/bar For Living, noir, en similicuir et chrome à hauteur réglable",74.93,"74,93 $",149.99,"Était±  149,99 $prix était 149,99 $",74.93,"74,93 $",74.93,"74,93 $",true,https://www.canadiantire.ca/fr/pdp/tabouret-de-comptoir-bar-for-living-noir-en-similicuir-et-chrome-a-hauteur-reglable-0687902p.html,https://www.canadiantire.ca/fr/pdp/tabouret-de-comptoir-bar-for-living-noir-en-similicuir-et-chrome-a-hauteur-reglable-0687902p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/0687902/for-living-adjustable-stool-black-256c59c3-179d-40fc-b31b-d58f52d91477-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/0687902/for-living-adjustable-stool-black-256c59c3-179d-40fc-b31b-d58f52d91477-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0687902,068-7902-2,Il n’en reste que 4 #068-7902-2,Liquidation◊Exclusivité,50.04,"74,93","149,99"
654,"Leslie & Lake Shore, ON","Bols à mélanger en plastique MASTER chef avec couvercles, tailles variées, paq. 3","Bols à mélanger en plastique MASTER chef avec couvercles, tailles variées, paq. 3",9.93,"9,93 $",23.99,"Était±  23,99 $prix était 23,99 $",9.93,"9,93 $",9.93,"9,93 $",true,https://www.canadiantire.ca/fr/pdp/bols-a-melanger-en-plastique-master-chef-avec-couvercles-tailles-variees-paq-3-1424988p.html,https://www.canadiantire.ca/fr/pdp/bols-a-melanger-en-plastique-master-chef-avec-couvercles-tailles-variees-paq-3-1424988p.html,https://media-www.canadiantire.ca/product/living/kitchen/bakeware-baking-prep/1424988/masterchef-3-piece-batter-bowl-set-with-lids-2a5a48db-e7b0-4ed1-afbe-9c9350022d77-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/bakeware-baking-prep/1424988/masterchef-3-piece-batter-bowl-set-with-lids-2a5a48db-e7b0-4ed1-afbe-9c9350022d77-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1424988,142-4988-8,11 En Stock#142-4988-8,Liquidation◊Mieux notés,58.61,"9,93","23,99"
654,"Leslie & Lake Shore, ON","Jeu de cartes Pobody's Nerfect, 8 ans et plus","Jeu de cartes Pobody's Nerfect, 8 ans et plus",14.43,"14,43 $",29.99,"Était±  29,99 $prix était 29,99 $",14.43,"14,43 $",14.43,"14,43 $",true,https://www.canadiantire.ca/fr/pdp/jeu-de-cartes-pobody-s-nerfect-8-ans-et-plus-1501652p.html,https://www.canadiantire.ca/fr/pdp/jeu-de-cartes-pobody-s-nerfect-8-ans-et-plus-1501652p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/toys/toys-games/1501652/pobody-s-nerfect-board-game-a59c4abc-21b8-452a-bf44-82a89ad5bd66-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/toys/toys-games/1501652/pobody-s-nerfect-board-game-a59c4abc-21b8-452a-bf44-82a89ad5bd66-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1501652,150-1652-4,,Liquidation◊Mieux notés,51.88,"14,43","29,99"
654,"Leslie & Lake Shore, ON","Enduit céramique hydrofuge en vaporisateur Chemical Guys pour tissu, 473 mL","Enduit céramique hydrofuge en vaporisateur Chemical Guys pour tissu, 473 mL",19.93,"19,93 $",47.99,"Était±  47,99 $prix était 47,99 $",19.93,"19,93 $",19.93,"19,93 $",true,https://www.canadiantire.ca/fr/pdp/enduit-ceramique-hydrofuge-en-vaporisateur-chemical-guys-pour-tissu-473-ml-0390546p.html,https://www.canadiantire.ca/fr/pdp/enduit-ceramique-hydrofuge-en-vaporisateur-chemical-guys-pour-tissu-473-ml-0390546p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-cleaning-chemicals/0390546/chemical-guys-hydrothread-ceramic-fabric-protectant-473ml-ee08964c-35b8-4493-8664-6a524e77f879.png?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-cleaning-chemicals/0390546/chemical-guys-hydrothread-ceramic-fabric-protectant-473ml-ee08964c-35b8-4493-8664-6a524e77f879.png?im=whresize&wid=200&hei=200,,0390546,039-0546-2,,Liquidation◊Mieux notés,58.47,"19,93","47,99"
654,"Leslie & Lake Shore, ON",Récepteur BOSS Audio BE10ACP à technologie Bluetooth,Récepteur BOSS Audio BE10ACP à technologie Bluetooth,349.93,"349,93 $",749.99,"Était±  749,99 $prix était 749,99 $",349.93,"349,93 $",349.93,"349,93 $",true,https://www.canadiantire.ca/fr/pdp/recepteur-boss-audio-be10acp-a-technologie-bluetooth-0355592p.html,https://www.canadiantire.ca/fr/pdp/recepteur-boss-audio-be10acp-a-technologie-bluetooth-0355592p.html,https://media-www.canadiantire.ca/product/automotive/electronics/auto-electronics/0355592/bose-audio-10acp-bluetooth-receiver-903b2a73-014c-45d8-a931-d009e5bf1224-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/electronics/auto-electronics/0355592/bose-audio-10acp-bluetooth-receiver-903b2a73-014c-45d8-a931-d009e5bf1224-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0355592,035-5592-8,Il n’en reste que 1 #035-5592-8,Liquidation◊,53.34,"349,93","749,99"
