store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
657,"Hanmer, ON","Friteuse à air chaud à deux zones T-Fal Easy Fry, 8,3 L/8,7 ptes","Friteuse à air chaud à deux zones T-Fal Easy Fry, 8,3 L/8,7 ptes",99.93,"99,93 $",199.99,"Était±  199,99 $prix était 199,99 $",99.93,"99,93 $",99.93,"99,93 $",true,https://www.canadiantire.ca/fr/pdp/friteuse-a-air-chaud-a-deux-zones-t-fal-easy-fry-8-3-l-8-7-ptes-0430340p.html,https://www.canadiantire.ca/fr/pdp/friteuse-a-air-chaud-a-deux-zones-t-fal-easy-fry-8-3-l-8-7-ptes-0430340p.html,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0430340/t-fal-dual-zone-air-fryer-f30f9c50-9b02-4977-a8b9-2e9b9249a74e-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0430340/t-fal-dual-zone-air-fryer-f30f9c50-9b02-4977-a8b9-2e9b9249a74e-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0430340,043-0340-8,Il n’en reste que 4 #043-0340-8,Liquidation◊Mieux notés,50.03,"99,93","199,99"
657,"Hanmer, ON","Four à pizza de table portatif au gaz Vida par PADERNO, 1 brûleur, 12 po","Four à pizza de table portatif au gaz Vida par PADERNO, 1 brûleur, 12 po",179.93,"179,93 $",399.99,"Était±  399,99 $prix était 399,99 $",179.93,"179,93 $",179.93,"179,93 $",true,https://www.canadiantire.ca/fr/pdp/four-a-pizza-de-table-portatif-au-gaz-vida-par-paderno-1-bruleur-12-po-0850001p.html,https://www.canadiantire.ca/fr/pdp/four-a-pizza-de-table-portatif-au-gaz-vida-par-paderno-1-bruleur-12-po-0850001p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-cooking/0850001/vida-by-paderno-pizza-oven-c3f6852d-30b5-4ad8-96fe-41ea01ff0eaa-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-cooking/0850001/vida-by-paderno-pizza-oven-c3f6852d-30b5-4ad8-96fe-41ea01ff0eaa-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0850001,085-0001-6,Il n’en reste que 4 #085-0001-6,Liquidation◊Exclusivité,55.02,"179,93","399,99"
657,"Hanmer, ON",Everlast Powercore - Sac de frappe sur pied,Everlast Powercore - Sac de frappe sur pied,139.93,"139,93 $",329.99,"Était±  329,99 $prix était 329,99 $",139.93,"139,93 $",139.93,"139,93 $",true,https://www.canadiantire.ca/fr/pdp/everlast-powercore-sac-de-frappe-sur-pied-1840501p.html,https://www.canadiantire.ca/fr/pdp/everlast-powercore-sac-de-frappe-sur-pied-1840501p.html,https://media-www.canadiantire.ca/product/playing/exercise/exercise-accessories/1840501/everlast-powercore-freestanding-bag-be591a5f-7573-43c7-913c-02740ae51204-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/exercise/exercise-accessories/1840501/everlast-powercore-freestanding-bag-be591a5f-7573-43c7-913c-02740ae51204-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1840501,184-0501-0,Il n’en reste que 1 #184-0501-0,Liquidation◊,57.6,"139,93","329,99"
657,"Hanmer, ON","Mouton de bonbon Pâques Aero au chocolat au lait lisse, 25 g","Mouton de bonbon Pâques Aero au chocolat au lait lisse, 25 g",0.79,"0,79 $",1.69,"Était±  1,69 $prix était 1,69 $",0.79,"0,79 $",0.79,"0,79 $",true,https://www.canadiantire.ca/fr/pdp/mouton-de-bonbon-paques-aero-au-chocolat-au-lait-lisse-25-g-1515226p.html,https://www.canadiantire.ca/fr/pdp/mouton-de-bonbon-paques-aero-au-chocolat-au-lait-lisse-25-g-1515226p.html,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1515226/aero-lamb-25-g-318ce1ae-3c45-4a22-889a-4c5854f74a73-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1515226/aero-lamb-25-g-318ce1ae-3c45-4a22-889a-4c5854f74a73-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1515226,151-5226-4,,Liquidation◊Mieux notés,53.25,"0,79","1,69"
657,"Hanmer, ON",Everlast Recovery 3.0 - Pistolet de massage à percussion accessoires inclus,Everlast Recovery 3.0 - Pistolet de massage à percussion accessoires inclus,79.93,"79,93 $",174.99,"Était±  174,99 $prix était 174,99 $",79.93,"79,93 $",79.93,"79,93 $",true,https://www.canadiantire.ca/fr/pdp/everlast-recovery-3-0-pistolet-de-massage-a-percussion-accessoires-inclus-1841208p.html,https://www.canadiantire.ca/fr/pdp/everlast-recovery-3-0-pistolet-de-massage-a-percussion-accessoires-inclus-1841208p.html,https://media-www.canadiantire.ca/product/playing/exercise/exercise-accessories/1841208/everlast-3-0-recovery-percussion-massage-gun-65d6fe3f-733a-4891-8e4c-3dbc4043b5de-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/exercise/exercise-accessories/1841208/everlast-3-0-recovery-percussion-massage-gun-65d6fe3f-733a-4891-8e4c-3dbc4043b5de-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1841208,184-1208-4,13 En Stock#184-1208-4,Liquidation◊Mieux notés,54.32,"79,93","174,99"
657,"Hanmer, ON",Affûteuse à forets et à couteaux Drill Doctor,Affûteuse à forets et à couteaux Drill Doctor,99.93,"99,93 $",199.99,"Était±  199,99 $prix était 199,99 $",99.93,"99,93 $",99.93,"99,93 $",true,https://www.canadiantire.ca/fr/pdp/affuteuse-a-forets-et-a-couteaux-drill-doctor-0540567p.html,https://www.canadiantire.ca/fr/pdp/affuteuse-a-forets-et-a-couteaux-drill-doctor-0540567p.html,https://media-www.canadiantire.ca/product/fixing/tools/power-tool-accessories/0540567/drill-doctor-multi-functional-sharpener-0cd2f0c3-f95f-4855-a3a5-94b4a927be62-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/tools/power-tool-accessories/0540567/drill-doctor-multi-functional-sharpener-0cd2f0c3-f95f-4855-a3a5-94b4a927be62-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0540567,054-0567-4,Il n’en reste que 2 #054-0567-4,Liquidation◊Mieux notés,50.03,"99,93","199,99"
657,"Hanmer, ON","Bols pour chiens Woods pliants étanches PAW-THORN, camping et voyage, paq. 2, 2 L chacun","Bols pour chiens Woods pliants étanches PAW-THORN, camping et voyage, paq. 2, 2 L chacun",9.93,"9,93 $",19.99,"Était±  19,99 $prix était 19,99 $",9.93,"9,93 $",9.93,"9,93 $",true,https://www.canadiantire.ca/fr/pdp/bols-pour-chiens-woods-pliants-etanches-paw-thorn-camping-et-voyage-paq-2-2-l-chacun-0766426p.html,https://www.canadiantire.ca/fr/pdp/bols-pour-chiens-woods-pliants-etanches-paw-thorn-camping-et-voyage-paq-2-2-l-chacun-0766426p.html,https://media-www.canadiantire.ca/product/playing/camping/camping-accessories/0766426/woods-pawthorn-pet-bowls-10c337e6-6f18-495f-a5d6-0f0ef4d7ab3b-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/camping/camping-accessories/0766426/woods-pawthorn-pet-bowls-10c337e6-6f18-495f-a5d6-0f0ef4d7ab3b-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0766426,076-6426-2,Il n’en reste que 3 #076-6426-2,Liquidation◊Mieux notés,50.33,"9,93","19,99"
657,"Hanmer, ON","Pistolet graisseur pneumatique à simple action MotoMaster, 3 méthodes de remplissage, jusqu'à 3 600 lb/po2","Pistolet graisseur pneumatique à simple action MotoMaster, 3 méthodes de remplissage, jusqu'à 3 600 lb/po2",24.93,"24,93 $",99.99,"Était±  99,99 $prix était 99,99 $",24.93,"24,93 $",24.93,"24,93 $",true,https://www.canadiantire.ca/fr/pdp/pistolet-graisseur-pneumatique-a-simple-action-motomaster-3-methodes-de-remplissage-jusqu-a-3-600-lb-po2-0282705p.html,https://www.canadiantire.ca/fr/pdp/pistolet-graisseur-pneumatique-a-simple-action-motomaster-3-methodes-de-remplissage-jusqu-a-3-600-lb-po2-0282705p.html,https://media-www.canadiantire.ca/product/automotive/auto-maintenance/oil-change-and-fuel-accessories/0282705/air-powered-single-action-grease-gun-fd456a91-30fa-4ce9-b019-cb019ea086c5-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/auto-maintenance/oil-change-and-fuel-accessories/0282705/air-powered-single-action-grease-gun-fd456a91-30fa-4ce9-b019-cb019ea086c5-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0282705,028-2705-8,9 En Stock#028-2705-8,Liquidation◊Exclusivité,75.07,"24,93","99,99"
657,"Hanmer, ON","Interrupteur à bascule silencieux unipolaire CA Decorator, 15 A, 120 V, mise à la terre, qualité résidentielle, couleurs variées","Interrupteur à bascule silencieux unipolaire CA Decorator, 15 A, 120 V, mise à la terre, qualité résidentielle, couleurs variées",0.93,"0,93 $",2.79,"2,79 $Était   et+ prix était à partir de 2,79 $",0.93,"0,93 $",0.93,"0,93 $",true,https://www.canadiantire.ca/fr/pdp/interrupteur-a-bascule-silencieux-unipolaire-ca-decorator-15-a-120-v-mise-a-la-terre-qualite-residentielle-couleurs-variees-0528222p.html,https://www.canadiantire.ca/fr/pdp/interrupteur-a-bascule-silencieux-unipolaire-ca-decorator-15-a-120-v-mise-a-la-terre-qualite-residentielle-couleurs-variees-0528222p.html,https://media-www.canadiantire.ca/product/fixing/electrical/rough-electrical/0528352/decora-switch-1-pole-black-c26060b3-be73-4c84-bfd0-55a05b4de038-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/electrical/rough-electrical/0528352/decora-switch-1-pole-black-c26060b3-be73-4c84-bfd0-55a05b4de038-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0528222,052-8222,,Liquidation◊Mieux notés,66.67,"0,93","2,79"
657,"Hanmer, ON",Émerillon Danielson triple,Émerillon Danielson triple,1.73,"1,73 $",4.49,"Était±  4,49 $prix était 4,49 $",1.73,"1,73 $",1.73,"1,73 $",true,https://www.canadiantire.ca/fr/pdp/emerillon-danielson-triple-0783499p.html,https://www.canadiantire.ca/fr/pdp/emerillon-danielson-triple-0783499p.html,https://media-www.canadiantire.ca/product/playing/fishing/fishing-lures/0783499/red-wolf-swivel-assortment-25-pack-ce2b024b-14e1-4986-a554-7158dc1934f9-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/fishing/fishing-lures/0783499/red-wolf-swivel-assortment-25-pack-ce2b024b-14e1-4986-a554-7158dc1934f9-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0783499,078-3499-2,Il n’en reste que 3 #078-3499-2,Liquidation◊Exclusivité,61.47,"1,73","4,49"
