store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
660,"Peterborough North, ON","Bouchées au chocolat Laura Secord, 210 g","Bouchées au chocolat Laura Secord, 210 g",3.99,"3,99 $",9.99,"Était±  9,99 $prix était 9,99 $",3.99,"3,99 $",3.99,"3,99 $",true,https://www.canadiantire.ca/fr/pdp/bouchees-au-chocolat-laura-secord-210-g-1519554p.html,https://www.canadiantire.ca/fr/pdp/bouchees-au-chocolat-laura-secord-210-g-1519554p.html,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1519554/laura-secord-chocolate-bites-210g-a3bb2f43-c3fc-4067-9a4e-8c29a52be682-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1519554/laura-secord-chocolate-bites-210g-a3bb2f43-c3fc-4067-9a4e-8c29a52be682-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1519554,151-9554-8,Il n’en reste que 4 #151-9554-8,Liquidation◊Mieux notés,60.06,"3,99","9,99"
660,"Peterborough North, ON","Chocolat au lait de Noël M&M's avec livre de contes des Fêtes, 8 sacs de taille amusante, 104 g","Chocolat au lait de Noël M&M's avec livre de contes des Fêtes, 8 sacs de taille amusante, 104 g",1.99,"1,99 $",4.29,"Était±  4,29 $prix était 4,29 $",1.99,"1,99 $",1.99,"1,99 $",true,https://www.canadiantire.ca/fr/pdp/chocolat-au-lait-de-noel-m-m-s-avec-livre-de-contes-des-fetes-8-sacs-de-taille-amusante-104-g-1515245p.html,https://www.canadiantire.ca/fr/pdp/chocolat-au-lait-de-noel-m-m-s-avec-livre-de-contes-des-fetes-8-sacs-de-taille-amusante-104-g-1515245p.html,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1515245/mms-milk-chocolate-fun-book-8-pk-c37583f9-937f-4253-899f-10d95b033754-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1515245/mms-milk-chocolate-fun-book-8-pk-c37583f9-937f-4253-899f-10d95b033754-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1515245,151-5245-8,10 En Stock#151-5245-8,Liquidation◊Mieux notés,53.61,"1,99","4,29"
660,"Peterborough North, ON","Tabouret de comptoir/bar For Living, noir, en similicuir et chrome à hauteur réglable","Tabouret de comptoir/bar For Living, noir, en similicuir et chrome à hauteur réglable",69.99,"69,99 $",149.99,"Était±  149,99 $prix était 149,99 $",69.99,"69,99 $",69.99,"69,99 $",true,https://www.canadiantire.ca/fr/pdp/tabouret-de-comptoir-bar-for-living-noir-en-similicuir-et-chrome-a-hauteur-reglable-0687902p.html,https://www.canadiantire.ca/fr/pdp/tabouret-de-comptoir-bar-for-living-noir-en-similicuir-et-chrome-a-hauteur-reglable-0687902p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/0687902/for-living-adjustable-stool-black-256c59c3-179d-40fc-b31b-d58f52d91477-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/0687902/for-living-adjustable-stool-black-256c59c3-179d-40fc-b31b-d58f52d91477-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0687902,068-7902-2,Il n’en reste que 1 #068-7902-2,Liquidation◊Exclusivité,53.34,"69,99","149,99"
660,"Peterborough North, ON","Tabouret de comptoir/bar similicuir et chrome hauteur réglable For Living, blanc","Tabouret de comptoir/bar similicuir et chrome hauteur réglable For Living, blanc",74.93,"74,93 $",149.99,"Était±  149,99 $prix était 149,99 $",74.93,"74,93 $",74.93,"74,93 $",true,https://www.canadiantire.ca/fr/pdp/tabouret-de-comptoir-bar-similicuir-et-chrome-hauteur-reglable-for-living-blanc-0687040p.html,https://www.canadiantire.ca/fr/pdp/tabouret-de-comptoir-bar-similicuir-et-chrome-hauteur-reglable-for-living-blanc-0687040p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/0687040/for-living-adjustable-stool-white-2f17af77-f6a6-4354-921b-b7aa9a01dd8a-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/0687040/for-living-adjustable-stool-white-2f17af77-f6a6-4354-921b-b7aa9a01dd8a-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0687040,068-7040-2,Il n’en reste que 5 #068-7040-2,Liquidation◊Exclusivité,50.04,"74,93","149,99"
660,"Peterborough North, ON","Mélange de maïs soufflé et de noix de cajou sucré et croquant Poppycock, 300 g","Mélange de maïs soufflé et de noix de cajou sucré et croquant Poppycock, 300 g",5.99,"5,99 $",11.99,"Était±  11,99 $prix était 11,99 $",5.99,"5,99 $",5.99,"5,99 $",true,https://www.canadiantire.ca/fr/pdp/melange-de-mais-souffle-et-de-noix-de-cajou-sucre-et-croquant-poppycock-300-g-0514112p.html,https://www.canadiantire.ca/fr/pdp/melange-de-mais-souffle-et-de-noix-de-cajou-sucre-et-croquant-poppycock-300-g-0514112p.html,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/0514112/poppycock-cashews-5b3c41ed-38be-46f3-8432-1bef61c033a5-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/0514112/poppycock-cashews-5b3c41ed-38be-46f3-8432-1bef61c033a5-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0514112,051-4112-8,Il n’en reste que 2 #051-4112-8,Liquidation◊Mieux notés,50.04,"5,99","11,99"
660,"Peterborough North, ON","Pot of Gold - Collection de chocolats noirs, 245 g","Pot of Gold - Collection de chocolats noirs, 245 g",4.99,"4,99 $",9.99,"Était±  9,99 $prix était 9,99 $",4.99,"4,99 $",4.99,"4,99 $",true,https://www.canadiantire.ca/fr/pdp/pot-of-gold-collection-de-chocolats-noirs-245-g-0514000p.html,https://www.canadiantire.ca/fr/pdp/pot-of-gold-collection-de-chocolats-noirs-245-g-0514000p.html,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/0514000/pot-of-gold-dark-chocolate-248g-582a43f9-6a1b-425e-a242-11479990f63c-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/0514000/pot-of-gold-dark-chocolate-248g-582a43f9-6a1b-425e-a242-11479990f63c-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0514000,051-4000-4,,Liquidation◊,50.05,"4,99","9,99"
660,"Peterborough North, ON","Sucettes au chocolat Laura Secord, assorties, 25 g","Sucettes au chocolat Laura Secord, assorties, 25 g",0.99,"0,99 $",2.49,"Était±  2,49 $prix était 2,49 $",0.99,"0,99 $",0.99,"0,99 $",true,https://www.canadiantire.ca/fr/pdp/sucettes-au-chocolat-laura-secord-assorties-25-g-1515253p.html,https://www.canadiantire.ca/fr/pdp/sucettes-au-chocolat-laura-secord-assorties-25-g-1515253p.html,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1515253/laura-secord-chocolate-pops-25-g-64b8e4f0-0f66-45ed-8383-735c0e9bf488-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1515253/laura-secord-chocolate-pops-25-g-64b8e4f0-0f66-45ed-8383-735c0e9bf488-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1515253,151-5253-8,,Liquidation◊Mieux notés,60.24,"0,99","2,49"
660,"Peterborough North, ON","Armoire-penderie à 2 portes avec miroir rétractable CANVAS Carleton, 36 x 19,5 x 78 po, blanc","Armoire-penderie à 2 portes avec miroir rétractable CANVAS Carleton, 36 x 19,5 x 78 po, blanc",249.93,"249,93 $",499.99,"Était±  499,99 $prix était 499,99 $",249.93,"249,93 $",249.93,"249,93 $",true,https://www.canadiantire.ca/fr/pdp/armoire-penderie-a-2-portes-avec-miroir-retractable-canvas-carleton-36-x-19-5-x-78-po-blanc-1680179p.html,https://www.canadiantire.ca/fr/pdp/armoire-penderie-a-2-portes-avec-miroir-retractable-canvas-carleton-36-x-19-5-x-78-po-blanc-1680179p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680179/canvas-carleton-wardrobe-with-pull-out-mirror-6eaed36e-5f34-4314-b204-c884d88daceb-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680179/canvas-carleton-wardrobe-with-pull-out-mirror-6eaed36e-5f34-4314-b204-c884d88daceb-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1680179,168-0179-8,Il n’en reste que 1 #168-0179-8,Liquidation◊Exclusivité,50.01,"249,93","499,99"
660,"Peterborough North, ON","Robot culinaire, hachoir et mélangeur tout-en-un WizNMix de Salton","Robot culinaire, hachoir et mélangeur tout-en-un WizNMix de Salton",79.99,"79,99 $",199.99,"Était±  199,99 $prix était 199,99 $",79.99,"79,99 $",79.99,"79,99 $",true,https://www.canadiantire.ca/fr/pdp/robot-culinaire-hachoir-et-melangeur-tout-en-un-wiznmix-de-salton-0439025p.html,https://www.canadiantire.ca/fr/pdp/robot-culinaire-hachoir-et-melangeur-tout-en-un-wiznmix-de-salton-0439025p.html,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0439025/salton-wiznmix-all-in-one-food-processor-f9063688-840f-4650-ab5f-c8254407d308-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0439025/salton-wiznmix-all-in-one-food-processor-f9063688-840f-4650-ab5f-c8254407d308-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0439025,043-9025-6,Il n’en reste que 2 #043-9025-6,Liquidation◊Mieux notés,60,"79,99","199,99"
660,"Peterborough North, ON","Luminaire encastré à DEL rond très mince Globe Electric, 3 po, choix de couleurs","Luminaire encastré à DEL rond très mince Globe Electric, 3 po, choix de couleurs",9.99,"9,99 $",19.99,"19,99 $Était   et+ prix était à partir de 19,99 $",9.99,"9,99 $",9.99,"9,99 $",true,https://www.canadiantire.ca/fr/pdp/luminaire-encastre-a-del-rond-tres-mince-globe-electric-3-po-choix-de-couleurs-0529522p.html,https://www.canadiantire.ca/fr/pdp/luminaire-encastre-a-del-rond-tres-mince-globe-electric-3-po-choix-de-couleurs-0529522p.html,https://media-www.canadiantire.ca/product/living/home-decor/lighting/0529525/slim-recessed-led-3-brush-nickel-round-warm-white-single-3737fce5-1aab-4d94-88ae-f161ffe4ef9d.png?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/lighting/0529525/slim-recessed-led-3-brush-nickel-round-warm-white-single-3737fce5-1aab-4d94-88ae-f161ffe4ef9d.png?im=whresize&wid=200&hei=200,,0529522,052-9522,,Liquidation◊Mieux notés,50.03,"9,99","19,99"
