store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
690,"Laval Fabreville, QC","Cintres pivotants compacts en velours Type A avec barre à pantalon, couleurs variées, paq. 40","Cintres pivotants compacts en velours Type A avec barre à pantalon, couleurs variées, paq. 40",12.93,"12,93 $",32.99,"32,99 $Était   et+ prix était à partir de 32,99 $",12.93,"12,93 $",12.93,"12,93 $",true,https://www.canadiantire.ca/fr/pdp/cintres-pivotants-compacts-en-velours-type-a-avec-barre-a-pantalon-couleurs-variees-paq-40-0688307p.html,https://www.canadiantire.ca/fr/pdp/cintres-pivotants-compacts-en-velours-type-a-avec-barre-a-pantalon-couleurs-variees-paq-40-0688307p.html,https://media-www.canadiantire.ca/product/living/home-organization/closet-organization/0688308/type-a-velvet-suit-hanger-black-10pk-4afb3f73-0449-46d6-975c-369ae2760de2-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-organization/closet-organization/0688308/type-a-velvet-suit-hanger-black-10pk-4afb3f73-0449-46d6-975c-369ae2760de2-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0688307,068-8307,,Liquidation◊Mieux notés,60.81,"12,93","32,99"
690,"Laval Fabreville, QC","Coussin de fauteuil de jardin CANVAS Summer Palm, résistant à l'eau et aux taches, bleu","Coussin de fauteuil de jardin CANVAS Summer Palm, résistant à l'eau et aux taches, bleu",29.93,"29,93 $",65.99,"Était±  65,99 $prix était 65,99 $",29.93,"29,93 $",29.93,"29,93 $",true,https://www.canadiantire.ca/fr/pdp/coussin-de-fauteuil-de-jardin-canvas-summer-palm-resistant-a-l-eau-et-aux-taches-bleu-1880350p.html,https://www.canadiantire.ca/fr/pdp/coussin-de-fauteuil-de-jardin-canvas-summer-palm-resistant-a-l-eau-et-aux-taches-bleu-1880350p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-living-accessories/1880350/canvas-summer-palm-chair-cushion-a1bc1dff-b919-4c5d-bfa5-fa973e83d8bc-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-living-accessories/1880350/canvas-summer-palm-chair-cushion-a1bc1dff-b919-4c5d-bfa5-fa973e83d8bc-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1880350,188-0350-0,Il n’en reste que 1 #188-0350-0,Liquidation◊Articles à succès,54.64,"29,93","65,99"
690,"Laval Fabreville, QC","T-shirt sport à manches courtes et extensibles avec encolure ras du cou Mooselander, hommes, couleur unie, tailles variées, noir/gris, paq. 2","T-shirt sport à manches courtes et extensibles avec encolure ras du cou Mooselander, hommes, couleur unie, tailles variées, noir/gris, paq. 2",2.93,"2,93 $",21.99,"21,99 $Était   et+ prix était à partir de 21,99 $",2.93,"2,93 $",2.93,"2,93 $",true,https://www.canadiantire.ca/fr/pdp/t-shirt-sport-a-manches-courtes-et-extensibles-avec-encolure-ras-du-cou-mooselander-hommes-couleur-unie-tailles-variees-noir-gris-paq-2-1874066p.html,https://www.canadiantire.ca/fr/pdp/t-shirt-sport-a-manches-courtes-et-extensibles-avec-encolure-ras-du-cou-mooselander-hommes-couleur-unie-tailles-variees-noir-gris-paq-2-1874066p.html,https://media-www.canadiantire.ca/product/playing/footwear-apparel/summer-footwear-apparel/1874066/active-2-pack-short-sleeve-tees-m-l-ce888845-ad24-41df-8604-c50d7052ca02-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/footwear-apparel/summer-footwear-apparel/1874066/active-2-pack-short-sleeve-tees-m-l-ce888845-ad24-41df-8604-c50d7052ca02-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1874066,187-4066,,Liquidation◊Mieux notés,86.68,"2,93","21,99"
690,"Laval Fabreville, QC","Barbecue MASTER Chef G70220 Turismo, 4 brûleurs, propane avec tablettes latérales, 36 po","Barbecue MASTER Chef G70220 Turismo, 4 brûleurs, propane avec tablettes latérales, 36 po",199.93,"199,93 $",399.99,"Était±  399,99 $prix était 399,99 $",199.93,"199,93 $",199.93,"199,93 $",true,https://www.canadiantire.ca/fr/pdp/barbecue-master-chef-g70220-turismo-4-bruleurs-propane-avec-tablettes-laterales-36-po-0850106p.html,https://www.canadiantire.ca/fr/pdp/barbecue-master-chef-g70220-turismo-4-bruleurs-propane-avec-tablettes-laterales-36-po-0850106p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-cooking/0850106/master-chef-grill-turismo-4-burner-gas-griddle-cart-19667163-bb41-4715-b58c-645b95721288-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-cooking/0850106/master-chef-grill-turismo-4-burner-gas-griddle-cart-19667163-bb41-4715-b58c-645b95721288-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0850106,085-0106-8,Il n’en reste que 2 #085-0106-8,Liquidation◊Mieux notés,50.02,"199,93","399,99"
690,"Laval Fabreville, QC","Distributeur d'eau chaude de MASTER Chef avec poignée, noir, 3,5 L","Distributeur d'eau chaude de MASTER Chef avec poignée, noir, 3,5 L",49.93,"49,93 $",99.99,"Était±  99,99 $prix était 99,99 $",49.93,"49,93 $",49.93,"49,93 $",true,https://www.canadiantire.ca/fr/pdp/distributeur-d-eau-chaude-de-master-chef-avec-poignee-noir-3-5-l-0430196p.html,https://www.canadiantire.ca/fr/pdp/distributeur-d-eau-chaude-de-master-chef-avec-poignee-noir-3-5-l-0430196p.html,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0430196/master-chef-hot-water-dispenser-9e2e8ff7-2445-4f25-9bde-ac042fe07b54-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0430196/master-chef-hot-water-dispenser-9e2e8ff7-2445-4f25-9bde-ac042fe07b54-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0430196,043-0196-2,Il n’en reste que 1 #043-0196-2,Liquidation◊Mieux notés,50.07,"49,93","99,99"
690,"Laval Fabreville, QC","Tapis d'intérieur et d'extérieur CANVAS Basca, 8 x 10 pi","Tapis d'intérieur et d'extérieur CANVAS Basca, 8 x 10 pi",34.93,"34,93 $",72.99,"Était±  72,99 $prix était 72,99 $",34.93,"34,93 $",34.93,"34,93 $",true,https://www.canadiantire.ca/fr/pdp/tapis-d-interieur-et-d-exterieur-canvas-basca-8-x-10-pi-0680048p.html,https://www.canadiantire.ca/fr/pdp/tapis-d-interieur-et-d-exterieur-canvas-basca-8-x-10-pi-0680048p.html,https://media-www.canadiantire.ca/product/living/home-decor/floor-window-decor/0680048/basca-outdoor-rug-9605a092-adeb-4af7-9752-a7e7577775cb-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/floor-window-decor/0680048/basca-outdoor-rug-9605a092-adeb-4af7-9752-a7e7577775cb-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0680048,068-0048-8,Il n’en reste que 1 #068-0048-8,Liquidation◊Mieux notés,52.14,"34,93","72,99"
690,"Laval Fabreville, QC","Tapis d'intérieur et d'extérieur CANVAS Fresco Marven, 8 x 10 pi","Tapis d'intérieur et d'extérieur CANVAS Fresco Marven, 8 x 10 pi",99.93,"99,93 $",199.99,"Était±  199,99 $prix était 199,99 $",99.93,"99,93 $",99.93,"99,93 $",true,https://www.canadiantire.ca/fr/pdp/tapis-d-interieur-et-d-exterieur-canvas-fresco-marven-8-x-10-pi-0680038p.html,https://www.canadiantire.ca/fr/pdp/tapis-d-interieur-et-d-exterieur-canvas-fresco-marven-8-x-10-pi-0680038p.html,https://media-www.canadiantire.ca/product/living/home-decor/floor-window-decor/0680038/marven-indoor-outdoor-rug-f51c7cd9-ed84-43e2-8599-b714280d7a6c-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/floor-window-decor/0680038/marven-indoor-outdoor-rug-f51c7cd9-ed84-43e2-8599-b714280d7a6c-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0680038,068-0038-2,,Liquidation◊Mieux notés,50.03,"99,93","199,99"
690,"Laval Fabreville, QC","Ampoules à DEL à intensité variable à culot E12 NOMA B10, 2700K, 350 lumens, blanc chaud, 40 W, paq. 2","Ampoules à DEL à intensité variable à culot E12 NOMA B10, 2700K, 350 lumens, blanc chaud, 40 W, paq. 2",1.93,"1,93 $",12.99,"Était±  12,99 $prix était 12,99 $",1.93,"1,93 $",1.93,"1,93 $",true,https://www.canadiantire.ca/fr/pdp/ampoules-a-del-a-intensite-variable-a-culot-e12-noma-b10-2700k-350-lumens-blanc-chaud-40-w-paq-2-0529347p.html,https://www.canadiantire.ca/fr/pdp/ampoules-a-del-a-intensite-variable-a-culot-e12-noma-b10-2700k-350-lumens-blanc-chaud-40-w-paq-2-0529347p.html,https://media-www.canadiantire.ca/product/fixing/electrical/light-bulbs/0529347/noma-2-pack-40w-e12-soft-white-led-lightbulbs-2abc2edf-7b69-449d-b49f-8024c6332e19-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/electrical/light-bulbs/0529347/noma-2-pack-40w-e12-soft-white-led-lightbulbs-2abc2edf-7b69-449d-b49f-8024c6332e19-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0529347,052-9347-8,0 En Stock#052-9347-8,Liquidation◊Exclusivité,85.14,"1,93","12,99"
690,"Laval Fabreville, QC","Meuble de rangement d'angle ouvert à 9 cubes For Living, blanc","Meuble de rangement d'angle ouvert à 9 cubes For Living, blanc",79.93,"79,93 $",159.99,"Était±  159,99 $prix était 159,99 $",79.93,"79,93 $",79.93,"79,93 $",true,https://www.canadiantire.ca/fr/pdp/meuble-de-rangement-d-angle-ouvert-a-9-cubes-for-living-blanc-1680221p.html,https://www.canadiantire.ca/fr/pdp/meuble-de-rangement-d-angle-ouvert-a-9-cubes-for-living-blanc-1680221p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680221/for-living-corner-9-cube-organizer-7b7dc5f9-de00-4529-ab60-96254faa2854-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680221/for-living-corner-9-cube-organizer-7b7dc5f9-de00-4529-ab60-96254faa2854-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1680221,168-0221-6,Il n’en reste que 2 #168-0221-6,Liquidation◊Exclusivité,50.04,"79,93","159,99"
690,"Laval Fabreville, QC","Présentoir d'articles saisonniers Mastercraft avec chariot à plateforme roulante, noir","Présentoir d'articles saisonniers Mastercraft avec chariot à plateforme roulante, noir",149.93,"149,93 $",299.99,"Était±  299,99 $prix était 299,99 $",149.93,"149,93 $",149.93,"149,93 $",true,https://www.canadiantire.ca/fr/pdp/presentoir-d-articles-saisonniers-mastercraft-avec-chariot-a-plateforme-roulante-noir-0681822p.html,https://www.canadiantire.ca/fr/pdp/presentoir-d-articles-saisonniers-mastercraft-avec-chariot-a-plateforme-roulante-noir-0681822p.html,https://media-www.canadiantire.ca/product/fixing/tools/garage-organization/0681822/mastercraft-seasonal-storage-rack-4657eb31-2d51-419f-a388-3dcc3e45f853-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/tools/garage-organization/0681822/mastercraft-seasonal-storage-rack-4657eb31-2d51-419f-a388-3dcc3e45f853-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0681822,068-1822-8,Il n’en reste que 2 #068-1822-8,Liquidation◊Mieux notés,50.02,"149,93","299,99"
