store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
692,"Ancienne Lorette, QC","Meuble-lavabo simple CANVAS Milford à 2 portes, dessus en marbre, 24 po, blanc","Meuble-lavabo simple CANVAS Milford à 2 portes, dessus en marbre, 24 po, blanc",199.93,"199,93 $",399.99,"Était±  399,99 $prix était 399,99 $",199.93,"199,93 $",199.93,"199,93 $",true,https://www.canadiantire.ca/fr/pdp/meuble-lavabo-simple-canvas-milford-a-2-portes-dessus-en-marbre-24-po-blanc-0636411p.html,https://www.canadiantire.ca/fr/pdp/meuble-lavabo-simple-canvas-milford-a-2-portes-dessus-en-marbre-24-po-blanc-0636411p.html,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0636411/canvas-milford-24-vanity-double-doors-white-601b53df-7ae6-48af-a16b-17edb896c846-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0636411/canvas-milford-24-vanity-double-doors-white-601b53df-7ae6-48af-a16b-17edb896c846-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0636411,063-6411-6,Il n’en reste que 1 #063-6411-6,Liquidation◊Articles à succès,50.02,"199,93","399,99"
692,"Ancienne Lorette, QC","Système d'attelage pour chien de camping Woods BALSAM-FUR avec corde réfléchissante, sac de rangement et mousqueton, 26,2 pi","Système d'attelage pour chien de camping Woods BALSAM-FUR avec corde réfléchissante, sac de rangement et mousqueton, 26,2 pi",24.93,"24,93 $",59.99,"Était±  59,99 $prix était 59,99 $",24.93,"24,93 $",24.93,"24,93 $",true,https://www.canadiantire.ca/fr/pdp/systeme-d-attelage-pour-chien-de-camping-woods-balsam-fur-avec-corde-reflechissante-sac-de-rangement-et-mousqueton-26-2-pi-0766428p.html,https://www.canadiantire.ca/fr/pdp/systeme-d-attelage-pour-chien-de-camping-woods-balsam-fur-avec-corde-reflechissante-sac-de-rangement-et-mousqueton-26-2-pi-0766428p.html,https://media-www.canadiantire.ca/product/playing/camping/camping-accessories/0766428/woods-balsam-fir-leash-hitch-system-7ceb8dca-bd85-4168-9006-4a582dc9b9c8-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/camping/camping-accessories/0766428/woods-balsam-fir-leash-hitch-system-7ceb8dca-bd85-4168-9006-4a582dc9b9c8-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0766428,076-6428-8,Il n’en reste que 1 #076-6428-8,Liquidation◊Mieux notés,58.44,"24,93","59,99"
692,"Ancienne Lorette, QC","Bottes de randonnée de sécurité CSA Altra, hommes, coupe basse","Bottes de randonnée de sécurité CSA Altra, hommes, coupe basse",52.43,"52,43 $",109.99,"109,99 $Était   et+ prix était à partir de 109,99 $",52.43,"52,43 $",52.43,"52,43 $",true,https://www.canadiantire.ca/fr/pdp/bottes-de-randonnee-de-securite-csa-altra-hommes-coupe-basse-1871804p.html,https://www.canadiantire.ca/fr/pdp/bottes-de-randonnee-de-securite-csa-altra-hommes-coupe-basse-1871804p.html,https://media-www.canadiantire.ca/product/playing/footwear-apparel/work-footwear-apparel/1871804/altra-men-s-low-cut-csa-hiker-size-7-8ae84625-753c-41db-bd49-4b1be1339da1-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/footwear-apparel/work-footwear-apparel/1871804/altra-men-s-low-cut-csa-hiker-size-7-8ae84625-753c-41db-bd49-4b1be1339da1-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1871804,187-1804,,Liquidation◊Exclusivité,52.33,"52,43","109,99"
692,"Ancienne Lorette, QC","Tasse en grès empilable CANVAS, pois, 16 oz","Tasse en grès empilable CANVAS, pois, 16 oz",1.88,"1,88 $",5.49,"Était±  5,49 $prix était 5,49 $",1.88,"1,88 $",1.88,"1,88 $",true,https://www.canadiantire.ca/fr/pdp/tasse-en-gres-empilable-canvas-pois-16-oz-1427924p.html,https://www.canadiantire.ca/fr/pdp/tasse-en-gres-empilable-canvas-pois-16-oz-1427924p.html,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/1427924/canvas-stackable-dot-mug-15c20672-2627-4064-80d2-8430fe95cfc2-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/1427924/canvas-stackable-dot-mug-15c20672-2627-4064-80d2-8430fe95cfc2-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1427924,142-7924-2,341 En Stock#142-7924-2,Liquidation◊Mieux notés,65.76,"1,88","5,49"
692,"Ancienne Lorette, QC","Tabouret de bar réglable CANVAS Dutton avec siège pivotant, noir","Tabouret de bar réglable CANVAS Dutton avec siège pivotant, noir",54.93,"54,93 $",139.99,"Était±  139,99 $prix était 139,99 $",54.93,"54,93 $",54.93,"54,93 $",true,https://www.canadiantire.ca/fr/pdp/tabouret-de-bar-reglable-canvas-dutton-avec-siege-pivotant-noir-1680125p.html,https://www.canadiantire.ca/fr/pdp/tabouret-de-bar-reglable-canvas-dutton-avec-siege-pivotant-noir-1680125p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680125/canvas-dutton-stool-5e8f6bb1-d167-4f04-905a-2ffac877a377-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680125/canvas-dutton-stool-5e8f6bb1-d167-4f04-905a-2ffac877a377-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1680125,168-0125-6,Il n’en reste que 1 #168-0125-6,Liquidation◊Mieux notés,60.76,"54,93","139,99"
692,"Ancienne Lorette, QC","Meuble-lavabo simple CANVAS Bayfield à 2 portes, dessus en pierre, 30 po, bleu marine","Meuble-lavabo simple CANVAS Bayfield à 2 portes, dessus en pierre, 30 po, bleu marine",229.93,"229,93 $",499.99,"Était±  499,99 $prix était 499,99 $",229.93,"229,93 $",229.93,"229,93 $",true,https://www.canadiantire.ca/fr/pdp/meuble-lavabo-simple-canvas-bayfield-a-2-portes-dessus-en-pierre-30-po-bleu-marine-0636381p.html,https://www.canadiantire.ca/fr/pdp/meuble-lavabo-simple-canvas-bayfield-a-2-portes-dessus-en-pierre-30-po-bleu-marine-0636381p.html,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0636381/canvas-30a-bayfield-2-door-navy-2b7e841c-a407-4bdc-8fa4-524a8b62f383-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0636381/canvas-30a-bayfield-2-door-navy-2b7e841c-a407-4bdc-8fa4-524a8b62f383-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0636381,063-6381-6,Il n’en reste que 1 #063-6381-6,Liquidation◊Exclusivité,54.01,"229,93","499,99"
692,"Ancienne Lorette, QC","Panneau solaire cristallin de type mallette Coleman, 60 W","Panneau solaire cristallin de type mallette Coleman, 60 W",107.93,"107,93 $",459.99,"Était±  459,99 $prix était 459,99 $",107.93,"107,93 $",107.93,"107,93 $",true,https://www.canadiantire.ca/fr/pdp/panneau-solaire-cristallin-de-type-mallette-coleman-60-w-0112523p.html,https://www.canadiantire.ca/fr/pdp/panneau-solaire-cristallin-de-type-mallette-coleman-60-w-0112523p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/outdoor-tools/power-creation/0112523/coleman-60w-crystalline-briefcase-style-solar-panel-d6d81007-a614-43fd-aab6-343fbf5e6a28-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/outdoor-tools/power-creation/0112523/coleman-60w-crystalline-briefcase-style-solar-panel-d6d81007-a614-43fd-aab6-343fbf5e6a28-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0112523,011-2523-8,Il n’en reste que 4 #011-2523-8,Liquidation◊Exclusivité,76.54,"107,93","459,99"
692,"Ancienne Lorette, QC","Bec verseur de rechange Reliance, 53 mm","Bec verseur de rechange Reliance, 53 mm",4.93,"4,93 $",9.99,"Était±  9,99 $prix était 9,99 $",4.93,"4,93 $",4.93,"4,93 $",true,https://www.canadiantire.ca/fr/pdp/bec-verseur-de-rechange-reliance-53-mm-0854308p.html,https://www.canadiantire.ca/fr/pdp/bec-verseur-de-rechange-reliance-53-mm-0854308p.html,https://media-www.canadiantire.ca/product/playing/camping/hydration-coolers/0854308/reliance-replacement-spout-assembly-084b6ed6-c410-4129-915c-26becd3c163c-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/camping/hydration-coolers/0854308/reliance-replacement-spout-assembly-084b6ed6-c410-4129-915c-26becd3c163c-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0854308,085-4308-4,Il n’en reste que 3 #085-4308-4,Liquidation◊,50.65,"4,93","9,99"
692,"Ancienne Lorette, QC","Pagaie 2-en-1 pour kayak ou planche à pagaie Outbound, réglable, 85 po","Pagaie 2-en-1 pour kayak ou planche à pagaie Outbound, réglable, 85 po",37.49,"37,49 $",74.99,"Était±  74,99 $prix était 74,99 $",37.49,"37,49 $",37.49,"37,49 $",true,https://www.canadiantire.ca/fr/pdp/pagaie-2-en-1-pour-kayak-ou-planche-a-pagaie-outbound-reglable-85-po-0792067p.html,https://www.canadiantire.ca/fr/pdp/pagaie-2-en-1-pour-kayak-ou-planche-a-pagaie-outbound-reglable-85-po-0792067p.html,https://media-www.canadiantire.ca/product/playing/seasonal-recreation/marine-power-boating/0792067/outbound-2-in-1-kayak-sup-paddle-d4eb97d2-7846-423b-9b2d-8b7e6efd9d90-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/seasonal-recreation/marine-power-boating/0792067/outbound-2-in-1-kayak-sup-paddle-d4eb97d2-7846-423b-9b2d-8b7e6efd9d90-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0792067,079-2067-4,Il n’en reste que 1 #079-2067-4,Liquidation◊Exclusivité,50.01,"37,49","74,99"
692,"Ancienne Lorette, QC","Lapins de Pâques aux cerises Twizzlers, 200 g, 105 pièces","Lapins de Pâques aux cerises Twizzlers, 200 g, 105 pièces",1.99,"1,99 $",3.99,"Était±  3,99 $prix était 3,99 $",1.99,"1,99 $",1.99,"1,99 $",true,https://www.canadiantire.ca/fr/pdp/lapins-de-paques-aux-cerises-twizzlers-200-g-105-pieces-1519510p.html,https://www.canadiantire.ca/fr/pdp/lapins-de-paques-aux-cerises-twizzlers-200-g-105-pieces-1519510p.html,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1519510/twizzlers-cherry-bunnies-200g-bba3d18a-7895-4c00-893f-4831a291b72a-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/food-drink/seasonal-confectionery/1519510/twizzlers-cherry-bunnies-200g-bba3d18a-7895-4c00-893f-4831a291b72a-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1519510,151-9510-2,,TaxableLiquidation◊,50.13,"1,99","3,99"
