store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
74,"Orillia, ON",Trousse de départ pour conservation et entreposage d'aliments Fresh & Save de Zwilling avec pompe à dépression portative,Trousse de départ pour conservation et entreposage d'aliments Fresh & Save de Zwilling avec pompe à dépression portative,49.93,"49,93 $",189.99,"Était±  189,99 $prix était 189,99 $",49.93,"49,93 $",49.93,"49,93 $",true,https://www.canadiantire.ca/fr/pdp/trousse-de-depart-pour-conservation-et-entreposage-d-aliments-fresh-save-de-zwilling-avec-pompe-a-depression-portative-0430335p.html,https://www.canadiantire.ca/fr/pdp/trousse-de-depart-pour-conservation-et-entreposage-d-aliments-fresh-save-de-zwilling-avec-pompe-a-depression-portative-0430335p.html,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0430335/zwilling-food-storage-starter-kit-8pc-ee27a980-a5f6-4ca9-860b-310987524806-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0430335/zwilling-food-storage-starter-kit-8pc-ee27a980-a5f6-4ca9-860b-310987524806-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0430335,043-0335-2,Il n’en reste que 7 #043-0335-2,Liquidation◊Mieux notés,73.72,"49,93","189,99"
74,"Orillia, ON",Armoire de cuisine de camping Woods Renfrew,Armoire de cuisine de camping Woods Renfrew,49.98,"49,98 $",124.99,"Était±  124,99 $prix était 124,99 $",49.98,"49,98 $",49.98,"49,98 $",true,https://www.canadiantire.ca/fr/pdp/armoire-de-cuisine-de-camping-woods-renfrew-0766619p.html,https://www.canadiantire.ca/fr/pdp/armoire-de-cuisine-de-camping-woods-renfrew-0766619p.html,https://media-www.canadiantire.ca/product/playing/camping/camping-furniture/0766619/woods-kitchen-cupboard-1c48223a-adca-4248-bcdd-d38fef7edf80-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/camping/camping-furniture/0766619/woods-kitchen-cupboard-1c48223a-adca-4248-bcdd-d38fef7edf80-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0766619,076-6619-4,66 En Stock#076-6619-4,Liquidation◊Exclusivité,60.01,"49,98","124,99"
74,"Orillia, ON","Lit de camp pliant rembourré portatif pour chien Woods Dog-Wood, bleu corail, grand","Lit de camp pliant rembourré portatif pour chien Woods Dog-Wood, bleu corail, grand",34.98,"34,98 $",99.99,"Était±  99,99 $prix était 99,99 $",34.98,"34,98 $",34.98,"34,98 $",true,https://www.canadiantire.ca/fr/pdp/lit-de-camp-pliant-rembourre-portatif-pour-chien-woods-dog-wood-bleu-corail-grand-0766812p.html,https://www.canadiantire.ca/fr/pdp/lit-de-camp-pliant-rembourre-portatif-pour-chien-woods-dog-wood-bleu-corail-grand-0766812p.html,https://media-www.canadiantire.ca/product/playing/camping/camping-accessories/0766812/woods-large-padded-dog-cot-ee167b2b-8e9d-405c-a046-44f2b4c6ec5a-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/camping/camping-accessories/0766812/woods-large-padded-dog-cot-ee167b2b-8e9d-405c-a046-44f2b4c6ec5a-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0766812,076-6812-2,77 En Stock#076-6812-2,Liquidation◊Mieux notés,65.02,"34,98","99,99"
74,"Orillia, ON","Sac de couchage double isotherme pour temps froid Coleman Flatlands avec sac de rangement, 10 °C","Sac de couchage double isotherme pour temps froid Coleman Flatlands avec sac de rangement, 10 °C",29.98,"29,98 $",99.99,"Était±  99,99 $prix était 99,99 $",29.98,"29,98 $",29.98,"29,98 $",true,https://www.canadiantire.ca/fr/pdp/sac-de-couchage-double-isotherme-pour-temps-froid-coleman-flatlands-avec-sac-de-rangement-10-c-0766638p.html,https://www.canadiantire.ca/fr/pdp/sac-de-couchage-double-isotherme-pour-temps-froid-coleman-flatlands-avec-sac-de-rangement-10-c-0766638p.html,https://media-www.canadiantire.ca/product/playing/camping/camping-furniture/0766638/coleman-flatlands-10c-sleeping-bag-cda9afb3-1271-4c50-9ed4-56d12c8e2b36-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/camping/camping-furniture/0766638/coleman-flatlands-10c-sleeping-bag-cda9afb3-1271-4c50-9ed4-56d12c8e2b36-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0766638,076-6638-8,201 En Stock#076-6638-8,Liquidation◊Mieux notés,70.02,"29,98","99,99"
74,"Orillia, ON",Affûteur de couteaux et de ciseaux facile à utiliser en 3 étapes MASTER Chef,Affûteur de couteaux et de ciseaux facile à utiliser en 3 étapes MASTER Chef,4.93,"4,93 $",18.99,"Était±  18,99 $prix était 18,99 $",4.93,"4,93 $",4.93,"4,93 $",true,https://www.canadiantire.ca/fr/pdp/affuteur-de-couteaux-et-de-ciseaux-facile-a-utiliser-en-3-etapes-master-chef-2421029p.html,https://www.canadiantire.ca/fr/pdp/affuteur-de-couteaux-et-de-ciseaux-facile-a-utiliser-en-3-etapes-master-chef-2421029p.html,https://media-www.canadiantire.ca/product/living/kitchen/cutlery/2421029/master-chef-3stage-knife-sharpener-b9ab2767-c8c0-473e-a296-6cb70527856a-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/cutlery/2421029/master-chef-3stage-knife-sharpener-b9ab2767-c8c0-473e-a296-6cb70527856a-jpgrendition.jpg?im=whresize&wid=200&hei=200,,2421029,242-1029-2,Il n’en reste que 4 #242-1029-2,Liquidation◊Exclusivité,74.04,"4,93","18,99"
74,"Orillia, ON","Fauteuil de salle à manger de jardin/d'extérieur en osier CANVAS Jasper, toute saison, paq. 2","Fauteuil de salle à manger de jardin/d'extérieur en osier CANVAS Jasper, toute saison, paq. 2",199.98,"199,98 $",499.99,"Était±  499,99 $prix était 499,99 $",199.98,"199,98 $",199.98,"199,98 $",true,https://www.canadiantire.ca/fr/pdp/fauteuil-de-salle-a-manger-de-jardin-d-exterieur-en-osier-canvas-jasper-toute-saison-paq-2-1880272p.html,https://www.canadiantire.ca/fr/pdp/fauteuil-de-salle-a-manger-de-jardin-d-exterieur-en-osier-canvas-jasper-toute-saison-paq-2-1880272p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/1880272/canvas-jasper-dining-chair-2pk-2a5479fd-5f27-4f3d-85e2-8b4b9fa230c9-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/1880272/canvas-jasper-dining-chair-2pk-2a5479fd-5f27-4f3d-85e2-8b4b9fa230c9-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1880272,188-0272-6,30 En Stock#188-0272-6,Liquidation◊Exclusivité,60,"199,98","499,99"
74,"Orillia, ON","Ampoules à DEL à intensité variable à culot E12 NOMA B10, 2700K, 350 lumens, blanc chaud, 40 W, paq. 2","Ampoules à DEL à intensité variable à culot E12 NOMA B10, 2700K, 350 lumens, blanc chaud, 40 W, paq. 2",5.98,"5,98 $",12.99,"Était±  12,99 $prix était 12,99 $",5.98,"5,98 $",5.98,"5,98 $",true,https://www.canadiantire.ca/fr/pdp/ampoules-a-del-a-intensite-variable-a-culot-e12-noma-b10-2700k-350-lumens-blanc-chaud-40-w-paq-2-0529347p.html,https://www.canadiantire.ca/fr/pdp/ampoules-a-del-a-intensite-variable-a-culot-e12-noma-b10-2700k-350-lumens-blanc-chaud-40-w-paq-2-0529347p.html,https://media-www.canadiantire.ca/product/fixing/electrical/light-bulbs/0529347/noma-2-pack-40w-e12-soft-white-led-lightbulbs-2abc2edf-7b69-449d-b49f-8024c6332e19-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/electrical/light-bulbs/0529347/noma-2-pack-40w-e12-soft-white-led-lightbulbs-2abc2edf-7b69-449d-b49f-8024c6332e19-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0529347,052-9347-8,521 En Stock#052-9347-8,Liquidation◊Exclusivité,53.96,"5,98","12,99"
74,"Orillia, ON","Système de chasse-neige Kolpin Switchblade 17-0000 pour VTT, 48 à 60 po","Système de chasse-neige Kolpin Switchblade 17-0000 pour VTT, 48 à 60 po",259.93,"259,93 $",539.99,"Était±  539,99 $prix était 539,99 $",259.93,"259,93 $",259.93,"259,93 $",true,https://www.canadiantire.ca/fr/pdp/systeme-de-chasse-neige-kolpin-switchblade-17-0000-pour-vtt-48-a-60-po-0278190p.html,https://www.canadiantire.ca/fr/pdp/systeme-de-chasse-neige-kolpin-switchblade-17-0000-pour-vtt-48-a-60-po-0278190p.html,https://media-www.canadiantire.ca/product/automotive/automotive-outdoor-adventure/powersport/0278190/kolpin-switchblade-atv-snow-plow-52354734-5dda-4ae2-b6c8-873c986b6c5e-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/automotive-outdoor-adventure/powersport/0278190/kolpin-switchblade-atv-snow-plow-52354734-5dda-4ae2-b6c8-873c986b6c5e-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0278190,027-8190-6,Il n’en reste que 6 #027-8190-6,Liquidation◊Mieux notés,51.86,"259,93","539,99"
74,"Orillia, ON","Ensemble de détente For Living Avenue, 4 pièces","Ensemble de détente For Living Avenue, 4 pièces",349.93,"349,93 $",699.99,"Était±  699,99 $prix était 699,99 $",349.93,"349,93 $",349.93,"349,93 $",true,https://www.canadiantire.ca/fr/pdp/ensemble-de-detente-for-living-avenue-4-pieces-1881372p.html,https://www.canadiantire.ca/fr/pdp/ensemble-de-detente-for-living-avenue-4-pieces-1881372p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/1881372/for-living-avenue-4-pc-conversation-set-3f6194c7-af31-4b20-8c68-e15c8926954d-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/1881372/for-living-avenue-4-pc-conversation-set-3f6194c7-af31-4b20-8c68-e15c8926954d-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1881372,188-1372-2,8 En Stock#188-1372-2,Liquidation◊Exclusivité,50.01,"349,93","699,99"
74,"Orillia, ON","Bibliothèque à cadre en métal à 5 niveaux avec rangement CANVAS Robson, fini chêne","Bibliothèque à cadre en métal à 5 niveaux avec rangement CANVAS Robson, fini chêne",139.93,"139,93 $",349.99,"Était±  349,99 $prix était 349,99 $",139.93,"139,93 $",139.93,"139,93 $",true,https://www.canadiantire.ca/fr/pdp/bibliotheque-a-cadre-en-metal-a-5-niveaux-avec-rangement-canvas-robson-fini-chene-1680047p.html,https://www.canadiantire.ca/fr/pdp/bibliotheque-a-cadre-en-metal-a-5-niveaux-avec-rangement-canvas-robson-fini-chene-1680047p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680047/canvas-robson-wide-bookcase-cc404526-7e49-447a-b2ad-88a6bd2c5a81-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680047/canvas-robson-wide-bookcase-cc404526-7e49-447a-b2ad-88a6bd2c5a81-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1680047,168-0047-2,Il n’en reste que 1 #168-0047-2,Liquidation◊Mieux notés,60.02,"139,93","349,99"
