store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
92,"St. Thomas, ON","Échelle de piscine en A en acier Bestway Flowclear avec rampe, 42 po","Échelle de piscine en A en acier Bestway Flowclear avec rampe, 42 po",9.93,"9,93 $",99.99,"Était±  99,99 $prix était 99,99 $",9.93,"9,93 $",9.93,"9,93 $",true,https://www.canadiantire.ca/fr/pdp/echelle-de-piscine-en-a-en-acier-bestway-flowclear-avec-rampe-42-po-0813926p.html,https://www.canadiantire.ca/fr/pdp/echelle-de-piscine-en-a-en-acier-bestway-flowclear-avec-rampe-42-po-0813926p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-fun/pool-maintenance/0813926/42-pool-ladder-1e5af39a-d711-4efc-88d9-7f79508fac9d-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-fun/pool-maintenance/0813926/42-pool-ladder-1e5af39a-d711-4efc-88d9-7f79508fac9d-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0813926,081-3926-6,26 En Stock#081-3926-6,Liquidation◊,90.07,"9,93","99,99"
92,"St. Thomas, ON","Dispositif de géolocalisation Bluetooth Bluehive, paq. 2","Dispositif de géolocalisation Bluetooth Bluehive, paq. 2",14.93,"14,93 $",37.99,"Était±  37,99 $prix était 37,99 $",14.93,"14,93 $",14.93,"14,93 $",true,https://www.canadiantire.ca/fr/pdp/dispositif-de-geolocalisation-bluetooth-bluehive-paq-2-0355475p.html,https://www.canadiantire.ca/fr/pdp/dispositif-de-geolocalisation-bluetooth-bluehive-paq-2-0355475p.html,https://media-www.canadiantire.ca/product/automotive/electronics/mobile-electronics/0355475/bluetooth-item-tracker-2-pack-86e73bc6-6622-4979-abea-6a9516c11a63-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/electronics/mobile-electronics/0355475/bluetooth-item-tracker-2-pack-86e73bc6-6622-4979-abea-6a9516c11a63-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0355475,035-5475-8,16 En Stock#035-5475-8,Liquidation◊Mieux notés,60.7,"14,93","37,99"
92,"St. Thomas, ON","Bouteille d'eau isotherme en acier inoxydable à rotation Owala FreeSip, sans BPA, choix de couleurs, 24 oz","Bouteille d'eau isotherme en acier inoxydable à rotation Owala FreeSip, sans BPA, choix de couleurs, 24 oz",19.93,"19,93 $",41.99,"41,99 $Était   et+ prix était à partir de 41,99 $",19.93,"19,93 $",19.93,"19,93 $",true,https://www.canadiantire.ca/fr/pdp/bouteille-d-eau-isotherme-en-acier-inoxydable-a-rotation-owala-freesip-sans-bpa-choix-de-couleurs-24-oz-2425435p.html,https://www.canadiantire.ca/fr/pdp/bouteille-d-eau-isotherme-en-acier-inoxydable-a-rotation-owala-freesip-sans-bpa-choix-de-couleurs-24-oz-2425435p.html,https://media-www.canadiantire.ca/product/living/kitchen/food-storage/2425436/owala-24oz-freesip-twist-water-bottle-sleepy-lavender-5af8f9a9-6c8d-4f41-bcba-abcafe8f1759-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/food-storage/2425436/owala-24oz-freesip-twist-water-bottle-sleepy-lavender-5af8f9a9-6c8d-4f41-bcba-abcafe8f1759-jpgrendition.jpg?im=whresize&wid=200&hei=200,,2425435,242-5435,Vérifiez la disponibilité#242-5435X,Liquidation◊Mieux notés,52.54,"19,93","41,99"
92,"St. Thomas, ON","Bluehive - Ecouteurs boutons sans fil, 22h autonomie et charge rapide","Bluehive - Ecouteurs boutons sans fil, 22h autonomie et charge rapide",14.93,"14,93 $",39.99,"Était±  39,99 $prix était 39,99 $",14.93,"14,93 $",14.93,"14,93 $",true,https://www.canadiantire.ca/fr/pdp/bluehive-ecouteurs-boutons-sans-fil-22h-autonomie-et-charge-rapide-0355551p.html,https://www.canadiantire.ca/fr/pdp/bluehive-ecouteurs-boutons-sans-fil-22h-autonomie-et-charge-rapide-0355551p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-electronics/0355551/bluehive-bluepods-true-wireless-earbuds-d801aae0-977a-4b93-998a-00bad4241385-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-electronics/0355551/bluehive-bluepods-true-wireless-earbuds-d801aae0-977a-4b93-998a-00bad4241385-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0355551,035-5551-6,10 En Stock#035-5551-6,Liquidation◊Exclusivité,62.67,"14,93","39,99"
92,"St. Thomas, ON","Pagaie de planche debout en aluminium Pelican, noir","Pagaie de planche debout en aluminium Pelican, noir",29.93,"29,93 $",79.99,"Était±  79,99 $prix était 79,99 $",29.93,"29,93 $",29.93,"29,93 $",true,https://www.canadiantire.ca/fr/pdp/pagaie-de-planche-debout-en-aluminium-pelican-noir-0793303p.html,https://www.canadiantire.ca/fr/pdp/pagaie-de-planche-debout-en-aluminium-pelican-noir-0793303p.html,https://media-www.canadiantire.ca/product/playing/seasonal-recreation/marine-power-boating/0793303/sup-paddle-for-079-8296-30bd6ee2-2f95-4886-a97b-5c810063b32e-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/seasonal-recreation/marine-power-boating/0793303/sup-paddle-for-079-8296-30bd6ee2-2f95-4886-a97b-5c810063b32e-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0793303,079-3303-6,,Liquidation◊,62.58,"29,93","79,99"
92,"St. Thomas, ON","Bibliothèque à cadre en métal à 5 niveaux avec rangement CANVAS Robson, fini chêne","Bibliothèque à cadre en métal à 5 niveaux avec rangement CANVAS Robson, fini chêne",139.93,"139,93 $",349.99,"Était±  349,99 $prix était 349,99 $",139.93,"139,93 $",139.93,"139,93 $",true,https://www.canadiantire.ca/fr/pdp/bibliotheque-a-cadre-en-metal-a-5-niveaux-avec-rangement-canvas-robson-fini-chene-1680047p.html,https://www.canadiantire.ca/fr/pdp/bibliotheque-a-cadre-en-metal-a-5-niveaux-avec-rangement-canvas-robson-fini-chene-1680047p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680047/canvas-robson-wide-bookcase-cc404526-7e49-447a-b2ad-88a6bd2c5a81-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680047/canvas-robson-wide-bookcase-cc404526-7e49-447a-b2ad-88a6bd2c5a81-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1680047,168-0047-2,Il n’en reste que 3 #168-0047-2,Liquidation◊Mieux notés,60.02,"139,93","349,99"
92,"St. Thomas, ON","Lampe à faisceau large à DEL Mastercraft, 1500 lumens, compatible PWR POD","Lampe à faisceau large à DEL Mastercraft, 1500 lumens, compatible PWR POD",31.93,"31,93 $",119.99,"Était±  119,99 $prix était 119,99 $",31.93,"31,93 $",31.93,"31,93 $",true,https://www.canadiantire.ca/fr/pdp/lampe-a-faisceau-large-a-del-mastercraft-1500-lumens-compatible-pwr-pod-0372969p.html,https://www.canadiantire.ca/fr/pdp/lampe-a-faisceau-large-a-del-mastercraft-1500-lumens-compatible-pwr-pod-0372969p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-accessories/0372969/mastercraft-1500-lumens-spotlight-pwr-pod-compatible-363c7083-04a4-4a37-b863-da8214fd1958-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-accessories/0372969/mastercraft-1500-lumens-spotlight-pwr-pod-compatible-363c7083-04a4-4a37-b863-da8214fd1958-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0372969,037-2969-8,Il n’en reste que 1 #037-2969-8,Liquidation◊Mieux notés,73.39,"31,93","119,99"
92,"St. Thomas, ON","Sac banane/Sac de taille pour hanche/épaule Outbound avec sangle ajustable, choix varié, 2 l","Sac banane/Sac de taille pour hanche/épaule Outbound avec sangle ajustable, choix varié, 2 l",4.93,"4,93 $",9.99,"Était±  9,99 $prix était 9,99 $",4.93,"4,93 $",4.93,"4,93 $",true,https://www.canadiantire.ca/fr/pdp/sac-banane-sac-de-taille-pour-hanche-epaule-outbound-avec-sangle-ajustable-choix-varie-2-l-0766195p.html,https://www.canadiantire.ca/fr/pdp/sac-banane-sac-de-taille-pour-hanche-epaule-outbound-avec-sangle-ajustable-choix-varie-2-l-0766195p.html,https://media-www.canadiantire.ca/product/playing/camping/backpacks-luggage-accessories/0766195/outbound-hip-pack-27a2088e-6a32-45e0-ab5f-bf6f9f92e327-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/camping/backpacks-luggage-accessories/0766195/outbound-hip-pack-27a2088e-6a32-45e0-ab5f-bf6f9f92e327-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0766195,076-6195-0,Il n’en reste que 1 #076-6195-0,Liquidation◊Mieux notés,50.65,"4,93","9,99"
92,"St. Thomas, ON",Jeu d'arcade de tir de basketball REC-Tek avec 4 balles et tableau de pointage électronique,Jeu d'arcade de tir de basketball REC-Tek avec 4 balles et tableau de pointage électronique,54.93,"54,93 $",129.99,"Était±  129,99 $prix était 129,99 $",54.93,"54,93 $",54.93,"54,93 $",true,https://www.canadiantire.ca/fr/pdp/jeu-d-arcade-de-tir-de-basketball-rec-tek-avec-4-balles-et-tableau-de-pointage-electronique-1840694p.html,https://www.canadiantire.ca/fr/pdp/jeu-d-arcade-de-tir-de-basketball-rec-tek-avec-4-balles-et-tableau-de-pointage-electronique-1840694p.html,https://media-www.canadiantire.ca/product/playing/team-sports-and-golf/indoor-games/1840694/rec-tek-basketball-shootout-challenge-game-b5d7e061-32a3-40d8-a913-45673257eaf7-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/team-sports-and-golf/indoor-games/1840694/rec-tek-basketball-shootout-challenge-game-b5d7e061-32a3-40d8-a913-45673257eaf7-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1840694,184-0694-0,10 En Stock#184-0694-0,Liquidation◊Exclusivité,57.74,"54,93","129,99"
92,"St. Thomas, ON","Bibliothèque étroite à cadre en métal à 4 niveaux avec porte de rangement CANVAS Robson, fini chêne","Bibliothèque étroite à cadre en métal à 4 niveaux avec porte de rangement CANVAS Robson, fini chêne",119.93,"119,93 $",299.99,"Était±  299,99 $prix était 299,99 $",119.93,"119,93 $",119.93,"119,93 $",true,https://www.canadiantire.ca/fr/pdp/bibliotheque-etroite-a-cadre-en-metal-a-4-niveaux-avec-porte-de-rangement-canvas-robson-fini-chene-1680046p.html,https://www.canadiantire.ca/fr/pdp/bibliotheque-etroite-a-cadre-en-metal-a-4-niveaux-avec-porte-de-rangement-canvas-robson-fini-chene-1680046p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680046/canvas-robson-narrow-bookcase-e1615183-0b8a-49f9-8dc3-0a09bf7290ad-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680046/canvas-robson-narrow-bookcase-e1615183-0b8a-49f9-8dc3-0a09bf7290ad-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1680046,168-0046-4,Il n’en reste que 2 #168-0046-4,Liquidation◊Articles à succès,60.02,"119,93","299,99"
