store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
94,"Sarnia, ON",Luge rapide H2O Spider avec direction et freins,Luge rapide H2O Spider avec direction et freins,49.98,"49,98 $",99.99,"Était±  99,99 $prix était 99,99 $",49.98,"49,98 $",49.98,"49,98 $",true,https://www.canadiantire.ca/fr/pdp/luge-rapide-h2o-spider-avec-direction-et-freins-0821088p.html,https://www.canadiantire.ca/fr/pdp/luge-rapide-h2o-spider-avec-direction-et-freins-0821088p.html,https://media-www.canadiantire.ca/product/playing/seasonal-recreation/winter-recreation/0821088/spider-snow-bike-e7a5d494-3744-4104-9151-337a07902637-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/seasonal-recreation/winter-recreation/0821088/spider-snow-bike-e7a5d494-3744-4104-9151-337a07902637-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0821088,082-1088-0,8 En Stock#082-1088-0,Liquidation◊Exclusivité,50.02,"49,98","99,99"
94,"Sarnia, ON","Liquide de préparation Evans, 1 gal","Liquide de préparation Evans, 1 gal",9.98,"9,98 $",49.99,"Était±  49,99 $prix était 49,99 $",9.98,"9,98 $",9.98,"9,98 $",true,https://www.canadiantire.ca/fr/pdp/liquide-de-preparation-evans-1-gal-0293102p.html,https://www.canadiantire.ca/fr/pdp/liquide-de-preparation-evans-1-gal-0293102p.html,https://media-www.canadiantire.ca/product/automotive/auto-maintenance/auto-fluids/0293102/evans-prep-fluid-1gal-5e8adf31-ac7c-40e9-9306-c6aa92e46670-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/auto-maintenance/auto-fluids/0293102/evans-prep-fluid-1gal-5e8adf31-ac7c-40e9-9306-c6aa92e46670-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0293102,029-3102-4,Il n’en reste que 2 #029-3102-4,Liquidation◊Mieux notés,80.04,"9,98","49,99"
94,"Sarnia, ON","Revêtement antidérapant DAP Tank Bond Liquid Grip pour fixations, vis et boulons, 6 mL","Revêtement antidérapant DAP Tank Bond Liquid Grip pour fixations, vis et boulons, 6 mL",3.93,"3,93 $",13.99,"Était±  13,99 $prix était 13,99 $",3.93,"3,93 $",3.93,"3,93 $",true,https://www.canadiantire.ca/fr/pdp/revetement-antiderapant-dap-tank-bond-liquid-grip-pour-fixations-vis-et-boulons-6-ml-0670057p.html,https://www.canadiantire.ca/fr/pdp/revetement-antiderapant-dap-tank-bond-liquid-grip-pour-fixations-vis-et-boulons-6-ml-0670057p.html,https://media-www.canadiantire.ca/product/fixing/paint/surface-prep-maintenance/0670057/dap-tank-bond-liquid-grip-74962919-e563-41c7-a786-f07ef6736345-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/paint/surface-prep-maintenance/0670057/dap-tank-bond-liquid-grip-74962919-e563-41c7-a786-f07ef6736345-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0670057,067-0057-8,Il n’en reste que 5 #067-0057-8,Liquidation◊,71.91,"3,93","13,99"
94,"Sarnia, ON","Liquide de protection contre les inondations Flex Seal, protection imperméable contre les inondations, 10 oz","Liquide de protection contre les inondations Flex Seal, protection imperméable contre les inondations, 10 oz",14.93,"14,93 $",29.99,"Était±  29,99 $prix était 29,99 $",14.93,"14,93 $",14.93,"14,93 $",true,https://www.canadiantire.ca/fr/pdp/liquide-de-protection-contre-les-inondations-flex-seal-protection-impermeable-contre-les-inondations-10-oz-0641544p.html,https://www.canadiantire.ca/fr/pdp/liquide-de-protection-contre-les-inondations-flex-seal-protection-impermeable-contre-les-inondations-10-oz-0641544p.html,https://media-www.canadiantire.ca/product/fixing/paint/surface-prep-maintenance/0641544/flex-seal-liquid-flood-protection-10-oz--1160382c-9005-48e6-a50c-ea4ef2e9c99d-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/fixing/paint/surface-prep-maintenance/0641544/flex-seal-liquid-flood-protection-10-oz--1160382c-9005-48e6-a50c-ea4ef2e9c99d-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0641544,064-1544-8,Il n’en reste que 3 #064-1544-8,Liquidation◊,50.22,"14,93","29,99"
94,"Sarnia, ON","Détachant liquide pour traînées noires Silverwax Streak Out, 4 L","Détachant liquide pour traînées noires Silverwax Streak Out, 4 L",19.98,"19,98 $",99.99,"Était±  99,99 $prix était 99,99 $",19.98,"19,98 $",19.98,"19,98 $",true,https://www.canadiantire.ca/fr/pdp/detachant-liquide-pour-trainees-noires-silverwax-streak-out-4-l-0396588p.html,https://www.canadiantire.ca/fr/pdp/detachant-liquide-pour-trainees-noires-silverwax-streak-out-4-l-0396588p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-cleaning-chemicals/0396588/silverwax-streak-out-4l-45845725-bbac-4c0c-992b-fb90027c9d0f-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-cleaning-chemicals/0396588/silverwax-streak-out-4l-45845725-bbac-4c0c-992b-fb90027c9d0f-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0396588,039-6588-6,Il n’en reste que 2 #039-6588-6,Liquidation◊,80.02,"19,98","99,99"
94,"Sarnia, ON","Chaise de salle à manger CANVAS Minto, noir","Chaise de salle à manger CANVAS Minto, noir",34.98,"34,98 $",129.99,"Était±  129,99 $prix était 129,99 $",34.98,"34,98 $",34.98,"34,98 $",true,https://www.canadiantire.ca/fr/pdp/chaise-de-salle-a-manger-canvas-minto-noir-1680107p.html,https://www.canadiantire.ca/fr/pdp/chaise-de-salle-a-manger-canvas-minto-noir-1680107p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680107/canvas-minto-dining-chair-black-2349305a-ab0e-40fa-9e1e-605f6260be95.png?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680107/canvas-minto-dining-chair-black-2349305a-ab0e-40fa-9e1e-605f6260be95.png?im=whresize&wid=200&hei=200,,1680107,168-0107-0,Il n’en reste que 3 #168-0107-0,Liquidation◊Mieux notés,73.09,"34,98","129,99"
94,"Sarnia, ON","Fauteuil de salle à manger de jardin/d'extérieur en osier CANVAS Jasper, toute saison, paq. 2","Fauteuil de salle à manger de jardin/d'extérieur en osier CANVAS Jasper, toute saison, paq. 2",199.98,"199,98 $",499.99,"Était±  499,99 $prix était 499,99 $",199.98,"199,98 $",199.98,"199,98 $",true,https://www.canadiantire.ca/fr/pdp/fauteuil-de-salle-a-manger-de-jardin-d-exterieur-en-osier-canvas-jasper-toute-saison-paq-2-1880272p.html,https://www.canadiantire.ca/fr/pdp/fauteuil-de-salle-a-manger-de-jardin-d-exterieur-en-osier-canvas-jasper-toute-saison-paq-2-1880272p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/1880272/canvas-jasper-dining-chair-2pk-2a5479fd-5f27-4f3d-85e2-8b4b9fa230c9-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/1880272/canvas-jasper-dining-chair-2pk-2a5479fd-5f27-4f3d-85e2-8b4b9fa230c9-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1880272,188-0272-6,Il n’en reste que 1 #188-0272-6,Liquidation◊Exclusivité,60,"199,98","499,99"
94,"Sarnia, ON",Démarreur à distance SmartStart 3G,Démarreur à distance SmartStart 3G,26.98,"26,98 $",249.99,"Était±  249,99 $prix était 249,99 $",26.98,"26,98 $",26.98,"26,98 $",true,https://www.canadiantire.ca/fr/pdp/demarreur-a-distance-smartstart-3g-0340841p.html,https://www.canadiantire.ca/fr/pdp/demarreur-a-distance-smartstart-3g-0340841p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-electronics/0340841/smartstart-3g-remote-starter-d554ce87-b7eb-4d01-828e-af7e593ef90b-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-electronics/0340841/smartstart-3g-remote-starter-d554ce87-b7eb-4d01-828e-af7e593ef90b-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0340841,034-0841-8,Il n’en reste que 2 #034-0841-8,Liquidation◊,89.21,"26,98","249,99"
94,"Sarnia, ON","Jeu de lumière créatif intelligent des Fêtes Noma, 520 lumières à DEL, 56 po","Jeu de lumière créatif intelligent des Fêtes Noma, 520 lumières à DEL, 56 po",39.99,"39,99 $",159.99,"Était±  159,99 $prix était 159,99 $",39.99,"39,99 $",39.99,"39,99 $",true,https://www.canadiantire.ca/fr/pdp/jeu-de-lumiere-creatif-intelligent-des-fetes-noma-520-lumieres-a-del-56-po-2511108p.html,https://www.canadiantire.ca/fr/pdp/jeu-de-lumiere-creatif-intelligent-des-fetes-noma-520-lumieres-a-del-56-po-2511108p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/christmas-lights-outdoor-decor/2511108/noma-smart-creative-lightshow-217a4b65-e393-4e73-b7d9-090b7e3b5400-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/christmas-lights-outdoor-decor/2511108/noma-smart-creative-lightshow-217a4b65-e393-4e73-b7d9-090b7e3b5400-jpgrendition.jpg?im=whresize&wid=200&hei=200,,2511108,251-1108-2,11 En Stock#251-1108-2,Liquidation◊Exclusivité,75,"39,99","159,99"
94,"Sarnia, ON","Snuggles le bonhomme de neige CANVAS Arctic, 8 pi","Snuggles le bonhomme de neige CANVAS Arctic, 8 pi",149.99,"149,99 $",299.99,"Était±  299,99 $prix était 299,99 $",149.99,"149,99 $",149.99,"149,99 $",true,https://www.canadiantire.ca/fr/pdp/snuggles-le-bonhomme-de-neige-canvas-arctic-8-pi-2511172p.html,https://www.canadiantire.ca/fr/pdp/snuggles-le-bonhomme-de-neige-canvas-arctic-8-pi-2511172p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/christmas-lights-outdoor-decor/2511172/canvas-arctic-snuggles-the-snowman-8--c9229be0-5141-4142-8dc4-55acde6092da-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/seasonal/christmas-lights-outdoor-decor/2511172/canvas-arctic-snuggles-the-snowman-8--c9229be0-5141-4142-8dc4-55acde6092da-jpgrendition.jpg?im=whresize&wid=200&hei=200,,2511172,251-1172-6,Il n’en reste que 4 #251-1172-6,Liquidation◊Exclusivité,50,"149,99","299,99"
