store_id,city,name,title,price,price_raw,regular_price,regular_price_raw,liquidation_price,liquidation_price_raw,sale_price,sale_price_raw,liquidation,url,link,image,image_url,product_id,sku,sku_formatted,availability,badges,discount_percent,price_sale_clean,price_original_clean
99,"Shawville, QC","Garde-robe à 2 portes Sauder, blanc","Garde-robe à 2 portes Sauder, blanc",79.93,"79,93 $",199.99,"Était±  199,99 $prix était 199,99 $",79.93,"79,93 $",79.93,"79,93 $",true,https://www.canadiantire.ca/fr/pdp/garde-robe-a-2-portes-sauder-blanc-1680208p.html,https://www.canadiantire.ca/fr/pdp/garde-robe-a-2-portes-sauder-blanc-1680208p.html,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680208/sauder-2-door-wardrobe-white-46b84ecb-6c99-4d6b-a82c-a46023dd83a0-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680208/sauder-2-door-wardrobe-white-46b84ecb-6c99-4d6b-a82c-a46023dd83a0-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1680208,168-0208-0,Il n’en reste que 1 #168-0208-0,Liquidation◊,60.03,"79,93","199,99"
99,"Shawville, QC","Tasses à mesurer empilables en plastique MASTER Chef, paq. 10","Tasses à mesurer empilables en plastique MASTER Chef, paq. 10",8.93,"8,93 $",24.99,"Était±  24,99 $prix était 24,99 $",8.93,"8,93 $",8.93,"8,93 $",true,https://www.canadiantire.ca/fr/pdp/tasses-a-mesurer-empilables-en-plastique-master-chef-paq-10-1429676p.html,https://www.canadiantire.ca/fr/pdp/tasses-a-mesurer-empilables-en-plastique-master-chef-paq-10-1429676p.html,https://media-www.canadiantire.ca/product/living/kitchen/bakeware-baking-prep/1429676/master-chef-10pc-measuring-cup-set-73c761cb-c28c-42fe-a32e-f57a30c6b9a6-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/bakeware-baking-prep/1429676/master-chef-10pc-measuring-cup-set-73c761cb-c28c-42fe-a32e-f57a30c6b9a6-jpgrendition.jpg?im=whresize&wid=200&hei=200,,1429676,142-9676-0,9 En Stock#142-9676-0,Liquidation◊Mieux notés,64.27,"8,93","24,99"
99,"Shawville, QC","Lit de camp pliant portatif pour chiens Woods DOG-WOOD avec sac de transport, capacité de 70 lb, bleu","Lit de camp pliant portatif pour chiens Woods DOG-WOOD avec sac de transport, capacité de 70 lb, bleu",19.93,"19,93 $",79.99,"Était±  79,99 $prix était 79,99 $",19.93,"19,93 $",19.93,"19,93 $",true,https://www.canadiantire.ca/fr/pdp/lit-de-camp-pliant-portatif-pour-chiens-woods-dog-wood-avec-sac-de-transport-capacite-de-70-lb-bleu-0766424p.html,https://www.canadiantire.ca/fr/pdp/lit-de-camp-pliant-portatif-pour-chiens-woods-dog-wood-avec-sac-de-transport-capacite-de-70-lb-bleu-0766424p.html,https://media-www.canadiantire.ca/product/playing/camping/camping-accessories/0766424/woods-dogwood-quad-fold-pet-cot-fe2e4cef-58fa-4578-93b8-795fe70105e1-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/playing/camping/camping-accessories/0766424/woods-dogwood-quad-fold-pet-cot-fe2e4cef-58fa-4578-93b8-795fe70105e1-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0766424,076-6424-6,Il n’en reste que 2 #076-6424-6,Liquidation◊Mieux notés,75.08,"19,93","79,99"
99,"Shawville, QC","Housse de pare-brise 2-en-1 MyRide pour soleil et neige, convient à la plupart des véhicules","Housse de pare-brise 2-en-1 MyRide pour soleil et neige, convient à la plupart des véhicules",9.93,"9,93 $",32.99,"Était±  32,99 $prix était 32,99 $",9.93,"9,93 $",9.93,"9,93 $",true,https://www.canadiantire.ca/fr/pdp/housse-de-pare-brise-2-en-1-myride-pour-soleil-et-neige-convient-a-la-plupart-des-vehicules-0304491p.html,https://www.canadiantire.ca/fr/pdp/housse-de-pare-brise-2-en-1-myride-pour-soleil-et-neige-convient-a-la-plupart-des-vehicules-0304491p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-winter-accessories/0304491/myride-sun-and-snow-windshield-cover-1d0e1f73-cc79-4090-b8a5-bdaefbe970b7-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-winter-accessories/0304491/myride-sun-and-snow-windshield-cover-1d0e1f73-cc79-4090-b8a5-bdaefbe970b7-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0304491,030-4491-4,Il n’en reste que 1 #030-4491-4,Liquidation◊Articles à succès,69.9,"9,93","32,99"
99,"Shawville, QC","Dispositif de géolocalisation Bluetooth Bluehive, paq. 2","Dispositif de géolocalisation Bluetooth Bluehive, paq. 2",14.93,"14,93 $",37.99,"Était±  37,99 $prix était 37,99 $",14.93,"14,93 $",14.93,"14,93 $",true,https://www.canadiantire.ca/fr/pdp/dispositif-de-geolocalisation-bluetooth-bluehive-paq-2-0355475p.html,https://www.canadiantire.ca/fr/pdp/dispositif-de-geolocalisation-bluetooth-bluehive-paq-2-0355475p.html,https://media-www.canadiantire.ca/product/automotive/electronics/mobile-electronics/0355475/bluetooth-item-tracker-2-pack-86e73bc6-6622-4979-abea-6a9516c11a63-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/electronics/mobile-electronics/0355475/bluetooth-item-tracker-2-pack-86e73bc6-6622-4979-abea-6a9516c11a63-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0355475,035-5475-8,15 En Stock#035-5475-8,Liquidation◊Mieux notés,60.7,"14,93","37,99"
99,"Shawville, QC","Remise de rangement extérieur Suncast Modernist, gris, 6 x 5 pi","Remise de rangement extérieur Suncast Modernist, gris, 6 x 5 pi",749.93,"749,93 $",1499.99,"Était±  1 499,99 $prix était 1 499,99 $",749.93,"749,93 $",749.93,"749,93 $",true,https://www.canadiantire.ca/fr/pdp/remise-de-rangement-exterieur-suncast-modernist-gris-6-x-5-pi-0603509p.html,https://www.canadiantire.ca/fr/pdp/remise-de-rangement-exterieur-suncast-modernist-gris-6-x-5-pi-0603509p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-storage/0603509/suncast-6x5-modern-shed-d72d50fb-bf68-40d0-9364-5119765ed1b5-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-storage/0603509/suncast-6x5-modern-shed-d72d50fb-bf68-40d0-9364-5119765ed1b5-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0603509,060-3509-0,,Liquidation◊Mieux notés,50,"749,93","1499,99"
99,"Shawville, QC","Sorbetière numérique Vida par PADERNO, machine à crème glacée et gâteries 4-en-1, acier inoxydable, 1,9 L","Sorbetière numérique Vida par PADERNO, machine à crème glacée et gâteries 4-en-1, acier inoxydable, 1,9 L",49.93,"49,93 $",149.99,"Était±  149,99 $prix était 149,99 $",49.93,"49,93 $",49.93,"49,93 $",true,https://www.canadiantire.ca/fr/pdp/sorbetiere-numerique-vida-par-paderno-machine-a-creme-glacee-et-gateries-4-en-1-acier-inoxydable-1-9-l-0431564p.html,https://www.canadiantire.ca/fr/pdp/sorbetiere-numerique-vida-par-paderno-machine-a-creme-glacee-et-gateries-4-en-1-acier-inoxydable-1-9-l-0431564p.html,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0431564/vida-by-paderno-ice-cream-maker-cab802eb-a002-46c2-b174-7fca7a24c75c-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0431564/vida-by-paderno-ice-cream-maker-cab802eb-a002-46c2-b174-7fca7a24c75c-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0431564,043-1564-0,Il n’en reste que 1 #043-1564-0,Liquidation◊Mieux notés,66.71,"49,93","149,99"
99,"Shawville, QC","Toile pare soleil triangulaire ShelterLogic, 12 pi","Toile pare soleil triangulaire ShelterLogic, 12 pi",14.93,"14,93 $",54.99,"Était±  54,99 $prix était 54,99 $",14.93,"14,93 $",14.93,"14,93 $",true,https://www.canadiantire.ca/fr/pdp/toile-pare-soleil-triangulaire-shelterlogic-12-pi-0882307p.html,https://www.canadiantire.ca/fr/pdp/toile-pare-soleil-triangulaire-shelterlogic-12-pi-0882307p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/0882240/shelter-logic-triangle-shade-sail-12--2c190960-0271-482d-a439-b31dbf8f42e7-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/0882240/shelter-logic-triangle-shade-sail-12--2c190960-0271-482d-a439-b31dbf8f42e7-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0882307,088-2307-2,,Liquidation◊,72.85,"14,93","54,99"
99,"Shawville, QC","Table d'appoint d'extérieur en plastique recyclé Muskoka Arrowhead CANVAS, 16,4 x 19 x 18 po, couleurs variées","Table d'appoint d'extérieur en plastique recyclé Muskoka Arrowhead CANVAS, 16,4 x 19 x 18 po, couleurs variées",39.93,"39,93 $",149.99,"149,99 $Était   et+ prix était à partir de 149,99 $",39.93,"39,93 $",39.93,"39,93 $",true,https://www.canadiantire.ca/fr/pdp/table-d-appoint-d-exterieur-en-plastique-recycle-muskoka-arrowhead-canvas-16-4-x-19-x-18-po-couleurs-variees-0882257p.html,https://www.canadiantire.ca/fr/pdp/table-d-appoint-d-exterieur-en-plastique-recycle-muskoka-arrowhead-canvas-16-4-x-19-x-18-po-couleurs-variees-0882257p.html,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/0882285/canvas-arrowhead-muskoka-side-table-red-e8712c87-417b-4724-bd2f-f884d7195dc0-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/0882285/canvas-arrowhead-muskoka-side-table-red-e8712c87-417b-4724-bd2f-f884d7195dc0-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0882257,088-2257,Vérifiez la disponibilité#088-2257X,Liquidation◊Mieux notés,73.38,"39,93","149,99"
99,"Shawville, QC","Tasse de voyage à double paroi avec poignée Bubba Keg Classic, 20 oz, choix de couleurs","Tasse de voyage à double paroi avec poignée Bubba Keg Classic, 20 oz, choix de couleurs",9.93,"9,93 $",24.99,"24,99 $Était   et+ prix était à partir de 24,99 $",9.93,"9,93 $",9.93,"9,93 $",true,https://www.canadiantire.ca/fr/pdp/tasse-de-voyage-a-double-paroi-avec-poignee-bubba-keg-classic-20-oz-choix-de-couleurs-2425153p.html,https://www.canadiantire.ca/fr/pdp/tasse-de-voyage-a-double-paroi-avec-poignee-bubba-keg-classic-20-oz-choix-de-couleurs-2425153p.html,https://media-www.canadiantire.ca/product/living/kitchen/food-storage/2425154/bubba-20-oz-keg-mug-magenta-0effc0af-c6a5-482f-b1fb-0de772f237a0-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/food-storage/2425154/bubba-20-oz-keg-mug-magenta-0effc0af-c6a5-482f-b1fb-0de772f237a0-jpgrendition.jpg?im=whresize&wid=200&hei=200,,2425153,242-5153,Vérifiez la disponibilité#242-5153X,Liquidation◊Mieux notés,60.26,"9,93","24,99"
99,"Shawville, QC","Bouteille d'eau isotherme en acier inoxydable à rotation Owala FreeSip, sans BPA, choix de couleurs, 24 oz","Bouteille d'eau isotherme en acier inoxydable à rotation Owala FreeSip, sans BPA, choix de couleurs, 24 oz",19.93,"19,93 $",41.99,"41,99 $Était   et+ prix était à partir de 41,99 $",19.93,"19,93 $",19.93,"19,93 $",true,https://www.canadiantire.ca/fr/pdp/bouteille-d-eau-isotherme-en-acier-inoxydable-a-rotation-owala-freesip-sans-bpa-choix-de-couleurs-24-oz-2425435p.html,https://www.canadiantire.ca/fr/pdp/bouteille-d-eau-isotherme-en-acier-inoxydable-a-rotation-owala-freesip-sans-bpa-choix-de-couleurs-24-oz-2425435p.html,https://media-www.canadiantire.ca/product/living/kitchen/food-storage/2425436/owala-24oz-freesip-twist-water-bottle-sleepy-lavender-5af8f9a9-6c8d-4f41-bcba-abcafe8f1759-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/living/kitchen/food-storage/2425436/owala-24oz-freesip-twist-water-bottle-sleepy-lavender-5af8f9a9-6c8d-4f41-bcba-abcafe8f1759-jpgrendition.jpg?im=whresize&wid=200&hei=200,,2425435,242-5435,Vérifiez la disponibilité#242-5435X,Liquidation◊Mieux notés,52.54,"19,93","41,99"
99,"Shawville, QC","Bluehive - Ecouteurs boutons sans fil, 22h autonomie et charge rapide","Bluehive - Ecouteurs boutons sans fil, 22h autonomie et charge rapide",15.88,"15,88 $",39.99,"Était±  39,99 $prix était 39,99 $",15.88,"15,88 $",15.88,"15,88 $",true,https://www.canadiantire.ca/fr/pdp/bluehive-ecouteurs-boutons-sans-fil-22h-autonomie-et-charge-rapide-0355551p.html,https://www.canadiantire.ca/fr/pdp/bluehive-ecouteurs-boutons-sans-fil-22h-autonomie-et-charge-rapide-0355551p.html,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-electronics/0355551/bluehive-bluepods-true-wireless-earbuds-d801aae0-977a-4b93-998a-00bad4241385-jpgrendition.jpg?im=whresize&wid=200&hei=200,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-electronics/0355551/bluehive-bluepods-true-wireless-earbuds-d801aae0-977a-4b93-998a-00bad4241385-jpgrendition.jpg?im=whresize&wid=200&hei=200,,0355551,035-5551-6,8 En Stock#035-5551-6,Liquidation◊Exclusivité,60.29,"15,88","39,99"
