name,sale_price,stock,url
"Blizzard



Skis Hustle 9 [2024]","339,98 $",,https://www.sportinglife.ca/fr-CA/liquidation/skis-hustle-9-2024/25659327-00145179.html?cgid=last-run-clearance
"Blizzard



Skis Hustle 11 [2024]","379,98 $",,https://www.sportinglife.ca/fr-CA/liquidation/skis-hustle-11-2024/25659335_000_164.html?cgid=last-run-clearance
"Blizzard



Skis Hustle 10 [2024]","339,98 $",,https://www.sportinglife.ca/fr-CA/liquidation/skis-hustle-10-2024/25919002-00145183.html?cgid=last-run-clearance
"Columbia



Veste isolée Abbott Peak II pour femmes","154,98 $",,https://www.sportinglife.ca/fr-CA/femmes/v%C3%AAtements/vestes-et-manteaux/manteaux-de-ski/veste-isolee-abbott-peak-ii-pour-femmes/25887860.html?dwvar_25887860_color=RED&dwvar_25887860_size=Xs%20%20%20X-Sma&cgid=last-run-clearance
"Rossignol



Skis Super Blackops 98 Open [2025]","509,98 $",,https://www.sportinglife.ca/fr-CA/liquidation/skis-super-blackops-98-open-2025/25920522-00164310.html?cgid=last-run-clearance
"Burton



Manteau Prowess 2.0 2L pour femmes","238,98 $",,https://www.sportinglife.ca/fr-CA/femmes/v%C3%AAtements/vestes-et-manteaux/manteaux-de-planche-%C3%A0-neige/manteau-prowess-2.0-2l-pour-femmes/25775081.html?dwvar_25775081_color=MULTI&dwvar_25775081_size=Xs%20%20%20X-Sma&cgid=last-run-clearance
"Burton



Salopette de planche à neige Maven pour enfants [2-5]","97,98 $",,https://www.sportinglife.ca/fr-CA/enfants/gar%C3%A7ons/pantalons/salopette-de-planche-%C3%A0-neige-maven-pour-enfants-2-5/24382616.html?dwvar_24382616_color=INDIGO&dwvar_24382616_size=2T&cgid=last-run-clearance
"Rossignol



Manteau Staci pour filles [8-16]","161,98 $",,https://www.sportinglife.ca/fr-CA/enfants/filles/manteaux-et-vestes/manteau-staci-pour-filles-8-16/25916298.html?dwvar_25916298_color=BLACK&dwvar_25916298_size=8&cgid=last-run-clearance
"Salomon



Bottes de ski S/Pro Supra Boa 120 pour hommes [2025]","479,98 $",,https://www.sportinglife.ca/fr-CA/liquidation/bottes-de-ski-s-pro-supra-boa-120-pour-hommes-2025/25766650_000_255.html?cgid=last-run-clearance
"Salomon



Bottes de ski S/Pro Supra Boa 105 W pour femmes [2025]","419,98 $",,https://www.sportinglife.ca/fr-CA/liquidation/bottes-de-ski-s-pro-supra-boa-105-w-pour-femmes-2025/25766643_000_255.html?cgid=last-run-clearance
"Nobis



Parka Dory pour femmes","646,94 $",,https://www.sportinglife.ca/fr-CA/femmes/v%C3%AAtements/vestes-et-manteaux/manteaux-dhiver/parka-dory-pour-femmes/25776311.html?dwvar_25776311_color=NAVY&dwvar_25776311_size=Xs%20%20%20X-Sma&cgid=last-run-clearance
"Nobis



Parka Inara pour femmes","596,94 $",,https://www.sportinglife.ca/fr-CA/femmes/v%C3%AAtements/vestes-et-manteaux/manteaux-dhiver/parka-inara-pour-femmes/25776337.html?dwvar_25776337_color=NAVY&dwvar_25776337_size=Xs%20%20%20X-Sma&cgid=last-run-clearance
"Saxx



Caleçon boxeur Ultra pour hommes",,,https://www.sportinglife.ca/fr-CA/hommes/v%C3%AAtements/v%C3%AAtements-de-nuit-et-sous-v%C3%AAtements/cale%C3%A7on-boxeur-ultra-pour-hommes/24130601.html?dwvar_24130601_color=GREY&dwvar_24130601_size=Xs%20%20%20X-Sma&cgid=last-run-clearance
"Knix



Sous-vêtement taille haute très mince sans fuite pour femmes",,,https://www.sportinglife.ca/fr-CA/femmes/v%C3%AAtements/v%C3%AAtements-de-nuit-et-sous-v%C3%AAtements/sous-v%C3%AAtement-taille-haute-tr%C3%A8s-mince-sans-fuite-pour-femmes/25883497.html?dwvar_25883497_color=BLACK&dwvar_25883497_size=Xxxl%20X-X-X&cgid=last-run-clearance
"Knix



Soutien-gorge ajustable Revolution pour femmes (A-C)",,,https://www.sportinglife.ca/fr-CA/femmes/v%C3%AAtements/v%C3%AAtements-de-nuit-et-sous-v%C3%AAtements/soutien-gorge-ajustable-revolution-pour-femmes-a-c/25883356.html?dwvar_25883356_color=BROWN&dwvar_25883356_size=Xs%20%20%20X-Sma&cgid=last-run-clearance
"Knix



Sous-vêtement coupe française sans fuite pour femmes",,,https://www.sportinglife.ca/fr-CA/femmes/v%C3%AAtements/v%C3%AAtements-de-nuit-et-sous-v%C3%AAtements/sous-v%C3%AAtement-coupe-fran%C3%A7aise-sans-fuite-pour-femmes/25883448.html?dwvar_25883448_color=SABLE&dwvar_25883448_size=Xs%20%20%20X-Sma&cgid=last-run-clearance
"Nike



Chandail à capuchon surdimensionné en molleton Sportswear Club pour juniors [7-16]","41,96 $",,https://www.sportinglife.ca/fr-CA/enfants/filles/chandails-%C3%A0-capuchon-et-en-molleton/chandail-%C3%A0-capuchon-surdimensionne-en-molleton-sportswear-club-pour-juniors-7-16/25861790.html?dwvar_25861790_color=ASTER-PINK&dwvar_25861790_size=Xs%20%20%20X-Sma&cgid=last-run-clearance
"Knix



Soutien-gorge Revolution à col en V pour femmes (A-C)",,,https://www.sportinglife.ca/fr-CA/femmes/v%C3%AAtements/v%C3%AAtements-de-nuit-et-sous-v%C3%AAtements/soutien-gorge-revolution-%C3%A0-col-en-v-pour-femmes-a-c/25883315.html?dwvar_25883315_color=BLACK&dwvar_25883315_size=Xs%20%20%20X-Sma&cgid=last-run-clearance
"Knix



Culotte tanga ultra-mince sans couture anti-fuite pour femmes",,,https://www.sportinglife.ca/fr-CA/femmes/v%C3%AAtements/v%C3%AAtements-de-nuit-et-sous-v%C3%AAtements/culotte-tanga-ultra-mince-sans-couture-anti-fuite-pour-femmes/25904566.html?dwvar_25904566_color=BROWN&dwvar_25904566_size=Xs%20%20%20X-Sma&cgid=last-run-clearance
"Salomon



Casque de ski Icon LT pour femmes","124,97 $",,https://www.sportinglife.ca/fr-CA/liquidation/casque-de-ski-icon-lt-pour-femmes/25487604_000_005.html?cgid=last-run-clearance
"Nike



Veste à capuchon Windrunner Repel Sportswear pour juniors [7-16]","39,98 $",,https://www.sportinglife.ca/fr-CA/enfants/gar%C3%A7ons/manteaux-et-vestes/veste-%C3%A0-capuchon-windrunner-repel-sportswear-pour-juniors-7-16/25918434.html?dwvar_25918434_color=BLACK&dwvar_25918434_size=Xs&cgid=last-run-clearance
"Burton



Tuque haute recyclée Ractusbunch unisexe",,,https://www.sportinglife.ca/fr-CA/hommes/accessoires/accessoires-dhiver/tuques-dhiver/tuque-haute-recyclee-ractusbunch-unisexe/25635905.html?dwvar_25635905_color=GREEN&cgid=last-run-clearance
"Knix



 Sous-vêtements bikini KT par Knix Teen Leakproof (paquet de 3)",,,https://www.sportinglife.ca/fr-CA/enfants/filles/pyjamas/-sous-v%C3%AAtements-bikini-kt-par-knix-teen-leakproof-paquet-de-3/25883562.html?dwvar_25883562_color=ASSORTED&dwvar_25883562_size=Xxs%20%20X-X-S&cgid=last-run-clearance
"The North Face



Veste Antora pour hommes",,,https://www.sportinglife.ca/fr-CA/hommes/v%C3%AAtements/vestes-et-manteaux/impermeables/veste-antora-pour-hommes/25579111.html?dwvar_25579111_color=SUMMIT-NAVY-TNF-BLACK&dwvar_25579111_size=Sml%20%20Small&cgid=last-run-clearance
"Arc'teryx



Tuque Word unisexe","30,97 $",,https://www.sportinglife.ca/fr-CA/hommes/accessoires/accessoires-dhiver/tuques-dhiver/tuque-word-unisexe/25618448.html?dwvar_25618448_color=EDEN&cgid=last-run-clearance
"Patagonia



Veste en duvet Sweater pour hommes",,,https://www.sportinglife.ca/fr-CA/hommes/v%C3%AAtements/vestes-et-manteaux/vestes-intermediaires/veste-en-duvet-sweater-pour-hommes/25627431.html?dwvar_25627431_color=BLACK&dwvar_25627431_size=Sml%20%20Small&cgid=last-run-clearance
"Sunice



Pantalon isolant Laser Tech pour garçons juniors [8-16]",,,https://www.sportinglife.ca/fr-CA/enfants/gar%C3%A7ons/pantalons/pantalon-isolant-laser-tech-pour-gar%C3%A7ons-juniors-8-16/25066267.html?dwvar_25066267_color=BLACK&dwvar_25066267_size=8%20%20%20%20Size&cgid=last-run-clearance
"Knix



Short menstruel super absorbant Dream pour femmes",,,https://www.sportinglife.ca/fr-CA/femmes/v%C3%AAtements/v%C3%AAtements-de-nuit-et-sous-v%C3%AAtements/short-menstruel-super-absorbant-dream-pour-femmes/25883539.html?dwvar_25883539_color=BLACK&dwvar_25883539_size=Xs%20%20%20X-Sma&cgid=last-run-clearance
"Fjallraven



Pantalon Keb Agile Winter pour hommes",,,https://www.sportinglife.ca/fr-CA/hommes/v%C3%AAtements/pantalons/pantalons-techniques-et-isoles/pantalon-keb-agile-winter-pour-hommes/25773375.html?dwvar_25773375_color=BLACK&dwvar_25773375_size=30%20%20%2F46&cgid=last-run-clearance
"UGG



Mitaines en fourrure de mouton brodées pour femmes",,,https://www.sportinglife.ca/fr-CA/femmes/accessoires/accessoires-dhiver/gants-et-mitaines/mitaines/mitaines-en-fourrure-de-mouton-brodees-pour-femmes/25555350.html?dwvar_25555350_color=TAN&dwvar_25555350_size=Sm%2FMed&cgid=last-run-clearance
"Smith



Casque Holt Jr pour juniors","49,94 $",,https://www.sportinglife.ca/fr-CA/liquidation/casque-holt-jr-pour-juniors/25096934_000_003.html?cgid=last-run-clearance
"Patagonia



Veste en molleton Marsupial Retro Pile pour femmes",,,https://www.sportinglife.ca/fr-CA/femmes/v%C3%AAtements/chandails-%C3%A0-capuchon-et-chandails-en-molleton/veste-en-molleton-marsupial-retro-pile-pour-femmes/25213489.html?dwvar_25213489_color=RIVER-ROCK-GREEN&dwvar_25213489_size=Xs%20%20%20X-Sma&cgid=last-run-clearance
"The North Face



Veste à fermeture éclair complète Yumiori pour filles [7-20]",,,https://www.sportinglife.ca/fr-CA/enfants/filles/chandails-%C3%A0-capuchon-et-en-molleton/veste-%C3%A0-fermeture-eclair-compl%C3%A8te-yumiori-pour-filles-7-20/25878638.html?dwvar_25878638_color=SLATE-MOSS-WHITE-DUNE&dwvar_25878638_size=Xs%20%20%20X-Sma&cgid=last-run-clearance
"Atomic



Bâtons de ski AMT Jr pour juniors [2025]","29,97 $",,https://www.sportinglife.ca/fr-CA/liquidation/batons-de-ski-amt-jr-pour-juniors-2025/25798430_000_085.html?cgid=last-run-clearance
"Knix



Soutien-gorge Revolution à col en V pour femmes (D-E/DDD)",,,https://www.sportinglife.ca/fr-CA/femmes/v%C3%AAtements/v%C3%AAtements-de-nuit-et-sous-v%C3%AAtements/soutien-gorge-revolution-%C3%A0-col-en-v-pour-femmes-d-e-ddd/25883323.html?dwvar_25883323_color=BLACK&dwvar_25883323_size=Sml%20%20Small&cgid=last-run-clearance
"Patagonia



Manteau Houdini® pour femmes",,,https://www.sportinglife.ca/fr-CA/femmes/v%C3%AAtements/vestes-et-manteaux/coquilles-souples/manteau-houdini-pour-femmes/25109778A.html?dwvar_25109778A_color=BLACK&dwvar_25109778A_size=Xs%20%20%20X-Sma&cgid=last-run-clearance
